temperatura_mel,viscosidade_mel,atividade_agua,densidade_mel,peso_target,desvio_peso,precisao_balanca,velocidade_envase,pressao_vedacao,tempo_exposicao_ar,temperatura_ambiente,umidade_relativa,experiencia_operador,turno_trabalho,fadiga_operador,limpeza_equipamento,manutencao_recente,tipo_enchedora,calibracao_ok,tipo_embalagem,qualidade_rotulo,adesao_rotulo,teste_vedacao,risco
38.99,471507.8,0.619,1.445,995,0.84,1.45,22.1,30.05,57.6,21.6,60.4,0.6,1,1,4,5.7,1,1,2,4.8,1,1,0
34.03,762886.7,0.593,1.416,245,-2.14,0.19,80.8,22.0,6.5,25.8,49.0,0.4,2,2,5,3.0,2,1,1,5.0,1,1,0
31.69,521376.9,0.622,1.418,245,-3.03,0.62,102.9,17.08,11.6,24.0,37.4,0.5,3,3,5,14.8,1,1,1,5.0,1,0,2
40.55,382087.5,0.591,1.422,995,1.46,0.22,51.1,30.9,20.2,20.3,54.3,0.4,2,3,4,14.7,2,1,2,5.0,1,1,0
37.35,449309.8,0.603,1.375,495,-0.43,1.54,42.9,17.52,6.2,20.6,50.0,8.0,3,4,5,16.3,3,1,2,5.0,1,0,2
37.7,398138.1,0.59,1.407,245,-1.17,1.74,20.7,11.72,8.8,24.0,51.6,8.6,1,1,4,4.5,3,1,3,4.6,1,0,2
29.32,487583.1,0.602,1.464,245,1.43,0.56,34.5,23.7,15.1,26.4,62.5,0.8,2,2,4,10.0,1,1,1,3.6,1,1,2
34.73,609630.7,0.571,1.404,245,3.29,1.89,59.8,31.24,21.9,23.2,46.6,2.3,2,2,2,40.3,1,1,1,5.0,1,1,1
37.25,571288.2,0.596,1.419,995,1.22,1.73,60.5,27.36,37.8,25.0,66.0,2.6,1,3,5,3.3,2,1,1,3.8,1,1,0
35.47,735363.8,0.578,1.396,245,1.66,1.07,83.6,27.7,62.9,18.5,64.1,1.7,1,2,4,20.0,2,1,1,5.0,1,1,0
36.95,520398.3,0.618,1.408,995,-0.1,1.15,77.2,26.71,63.9,22.3,50.2,0.6,1,1,3,5.0,3,1,3,4.4,1,1,0
42.56,361320.3,0.565,1.424,995,2.67,0.9,45.6,21.34,5.1,23.6,43.2,0.2,1,1,5,0.3,2,1,1,5.0,1,1,1
33.35,428763.3,0.588,1.427,995,1.06,0.72,102.8,15.6,9.8,22.9,60.2,5.5,1,1,4,1.5,1,0,3,4.3,1,0,2
29.04,394495.3,0.583,1.412,245,-1.19,0.21,111.5,17.26,6.5,22.0,57.7,3.2,2,3,1,8.3,2,1,1,5.0,1,0,2
39.8,588386.4,0.586,1.373,995,-0.49,0.13,113.3,27.62,15.4,28.8,59.1,2.9,3,5,5,10.1,2,1,2,4.5,1,1,0
35.92,691262.8,0.613,1.392,495,0.89,0.51,57.7,25.55,11.2,21.7,43.4,3.4,1,1,3,11.8,2,1,3,5.0,1,1,0
34.48,639343.1,0.617,1.401,245,-0.02,0.81,97.6,25.59,11.3,27.7,50.6,4.2,1,3,4,17.5,3,1,2,4.4,1,1,0
34.55,505988.4,0.618,1.399,245,3.14,0.72,87.3,28.85,28.4,25.0,54.9,0.2,2,3,5,4.3,2,0,1,4.6,1,1,1
33.71,528752.8,0.607,1.405,245,1.68,0.25,28.5,29.36,69.7,18.7,40.9,5.0,3,5,4,4.7,1,0,2,4.0,1,1,1
43.28,488681.1,0.57,1.415,245,-0.87,0.33,31.8,31.36,18.1,25.3,53.9,1.0,3,3,5,0.1,1,1,1,5.0,1,1,1
37.9,493337.1,0.603,1.4,245,1.82,1.42,65.5,27.03,19.8,25.6,56.8,0.1,1,3,5,6.1,3,1,1,4.9,1,1,0
31.58,391378.5,0.605,1.422,995,2.81,1.65,88.5,28.71,13.1,27.4,66.8,13.1,1,1,3,35.0,2,1,2,3.0,1,1,1
37.02,498452.9,0.586,1.427,995,-2.05,1.38,81.8,27.68,11.7,24.0,47.5,2.2,3,4,5,8.0,2,1,2,4.5,1,1,2
35.92,587301.1,0.636,1.419,245,0.07,1.31,75.5,26.26,16.9,21.6,63.7,1.1,2,3,4,6.1,2,1,2,4.9,1,1,0
36.98,554657.4,0.634,1.386,995,0.55,0.45,54.6,20.3,39.1,29.2,51.8,0.6,1,1,2,3.3,2,1,1,4.0,1,1,1
36.23,886102.3,0.601,1.401,245,0.17,1.85,26.1,29.26,25.7,21.1,49.7,1.4,2,3,3,6.2,3,1,1,4.7,1,1,0
39.31,539579.4,0.692,1.437,995,4.57,0.56,46.9,12.72,12.1,21.1,44.2,0.4,3,4,4,15.6,1,1,1,5.0,1,0,2
41.06,360049.3,0.594,1.397,995,-2.07,1.18,55.6,25.14,9.1,23.4,48.5,0.6,1,1,5,0.8,2,1,1,4.8,1,1,0
36.04,374333.0,0.583,1.43,995,1.58,1.16,77.2,26.04,9.9,21.0,60.7,1.2,2,3,3,1.2,1,1,1,4.4,1,1,0
38.07,404181.5,0.601,1.398,995,-1.15,1.98,52.2,21.99,22.2,25.3,60.3,1.9,2,2,5,17.8,1,1,1,5.0,1,1,0
37.35,469051.1,0.635,1.42,495,-1.78,0.41,36.4,27.94,30.3,23.9,75.8,1.3,3,4,4,5.8,1,1,1,4.1,0,1,0
43.71,457447.1,0.625,1.433,245,0.14,0.32,114.0,17.61,7.2,26.4,60.1,2.3,3,5,2,3.7,2,1,2,5.0,1,0,2
38.92,543219.5,0.631,1.405,495,3.86,0.38,42.9,22.78,24.2,25.6,68.6,3.6,2,2,3,2.0,1,1,2,4.2,0,1,0
36.78,518828.9,0.679,1.411,995,0.04,1.87,76.5,27.41,23.4,23.7,57.5,2.8,2,3,5,26.0,3,1,1,4.4,1,1,1
47.15,575132.6,0.582,1.412,495,-1.52,1.12,112.0,16.73,11.4,26.8,46.8,1.8,1,1,2,1.9,2,1,1,4.6,1,0,2
29.62,453388.0,0.567,1.466,245,0.18,1.52,41.0,24.43,8.2,23.5,54.7,2.5,1,2,3,7.4,1,1,1,4.7,1,1,1
35.63,439651.6,0.558,1.399,245,-0.54,0.4,91.6,24.65,21.1,25.2,43.7,0.1,1,2,2,10.6,2,1,1,5.0,1,1,1
33.24,441035.4,0.635,1.393,995,0.92,1.8,21.3,16.65,38.5,28.3,49.8,0.9,1,1,3,9.8,2,1,2,5.0,1,0,2
40.89,486933.4,0.59,1.442,495,0.92,1.3,45.8,16.45,7.3,19.1,56.0,1.0,1,3,2,8.6,1,1,2,5.0,1,0,2
38.89,799171.0,0.647,1.395,495,0.41,0.9,58.3,21.88,7.7,23.1,51.5,2.8,1,1,3,4.4,3,1,1,5.0,1,1,0
