temperatura_armazenamento_c,umidade_relativa_ambiente_pct,tempo_armazenado_dias,bombonas_integra_limpa,lacres_integro,segregacao_de_produtos_quimicos,piso_limpo_seco,PEPS_FEFO_aplicado,lote_identificado,probabilidade
30.4,43.0,171.0,1,0,0,1,0,1,1
34.4,36.0,164.0,0,1,1,1,1,0,2
28.7,85.0,266.0,1,0,0,1,0,0,2
17.3,51.0,319.0,1,0,0,0,1,0,1
13.8,70.0,34.0,0,0,1,0,0,1,0
25.6,72.0,176.0,1,1,0,1,1,0,1
34.4,55.0,148.0,1,1,0,1,0,1,2
16.2,42.0,230.0,0,1,1,0,1,1,0
11.1,68.0,226.0,0,1,0,0,1,0,1
16.6,66.0,253.0,1,1,0,0,1,0,1
23.9,57.0,267.0,0,1,1,1,0,0,1
16.0,68.0,249.0,1,1,1,1,0,0,1
18.2,76.0,96.0,1,0,1,0,1,0,0
31.0,49.0,60.0,1,1,0,0,1,0,1
29.9,55.0,105.0,1,0,0,1,1,0,1
16.6,65.0,291.0,1,0,0,1,0,1,1
28.5,59.0,315.0,0,1,0,1,1,1,2
24.6,69.0,4.0,0,0,1,1,1,1,1
16.4,49.0,151.0,0,1,1,1,0,0,0
21.6,62.0,41.0,0,0,1,0,1,0,0
30.2,39.0,22.0,1,1,1,1,0,1,1
31.5,77.0,167.0,0,1,1,0,0,1,2
27.0,70.0,324.0,0,1,1,0,1,0,2
17.3,85.0,128.0,0,0,0,1,1,0,1
13.7,47.0,68.0,1,0,0,0,1,0,0
27.5,77.0,172.0,1,1,1,0,1,0,2
16.9,80.0,162.0,0,1,1,1,0,1,1
33.9,33.0,70.0,1,1,1,1,0,1,1
25.4,75.0,182.0,1,0,0,0,0,0,1
23.4,37.0,103.0,0,0,1,1,0,0,0
22.4,76.0,73.0,1,1,1,1,1,1,1
23.4,45.0,103.0,1,1,0,0,0,1,0
22.0,36.0,141.0,0,0,0,1,0,0,0
28.7,54.0,107.0,1,0,0,0,1,0,1
13.9,72.0,112.0,1,1,0,1,1,1,0
18.3,75.0,98.0,1,0,0,1,0,0,0
11.6,60.0,142.0,1,1,1,0,1,1,0
32.0,46.0,294.0,1,0,1,0,1,1,2
26.2,58.0,321.0,1,1,0,1,1,1,1
20.1,48.0,309.0,1,0,0,1,0,0,1
27.0,42.0,283.0,0,1,1,0,1,1,1
22.8,62.0,1.0,1,1,1,1,1,0,0
17.8,59.0,58.0,0,0,1,1,0,0,0
31.8,76.0,150.0,1,0,1,1,1,1,2
