temperatura_armazenamento_c,umidade_relativa_ambiente_pct,tempo_armazenado_dias,bombonas_integra_limpa,lacres_integro,segregacao_de_produtos_quimicos,piso_limpo_seco,PEPS_FEFO_aplicado,lote_identificado,probabilidade
11.6,74.0,184.0,0,1,1,0,0,0,0
23.9,61.0,59.0,1,1,0,1,1,1,3
18.0,88.0,223.0,1,0,0,0,1,1,3
16.2,58.0,68.0,0,1,0,0,0,1,3
23.9,87.0,92.0,0,0,1,0,1,0,0
19.9,71.0,102.0,0,1,0,1,0,1,3
33.2,69.0,84.0,1,1,1,0,0,1,0
23.0,56.0,24.0,0,1,0,1,0,0,3
14.1,69.0,28.0,1,1,1,1,0,0,0
34.2,85.0,93.0,0,0,0,0,1,0,3
22.9,78.0,361.0,1,0,0,0,1,1,3
30.3,40.0,305.0,1,1,1,0,0,0,0
19.9,57.0,139.0,1,0,1,1,1,0,0
24.0,50.0,188.0,0,0,1,0,0,0,0
31.3,59.0,87.0,0,1,0,0,1,0,3
23.6,43.0,200.0,1,1,0,1,1,0,3
27.5,62.0,66.0,1,1,0,0,1,0,3
30.9,89.0,70.0,0,1,0,0,0,1,3
29.0,67.0,81.0,0,0,1,0,0,1,0
34.3,37.0,86.0,1,1,0,0,1,1,3
17.2,61.0,62.0,1,1,1,0,1,1,0
27.3,63.0,178.0,0,0,0,0,1,1,3
11.9,82.0,233.0,1,0,0,0,0,0,3
23.0,88.0,3.0,1,0,1,1,1,1,0
22.3,86.0,251.0,0,1,0,1,0,0,3
13.6,35.0,126.0,0,0,1,0,1,0,0
29.4,50.0,23.0,1,1,0,1,0,0,3
27.9,86.0,230.0,0,0,0,1,0,1,3
25.1,74.0,107.0,0,1,0,0,1,1,3
25.7,71.0,40.0,1,1,0,1,1,1,3
27.2,79.0,276.0,0,0,1,0,0,1,0
26.0,32.0,349.0,1,1,0,0,0,0,3
16.2,79.0,61.0,0,1,1,1,1,0,0
19.0,84.0,189.0,1,0,0,1,0,0,3
34.8,30.0,279.0,1,0,1,0,1,1,0
12.8,60.0,128.0,1,1,1,1,1,0,0
33.4,32.0,48.0,1,0,0,0,0,0,3
31.8,69.0,76.0,1,1,0,1,0,0,3
25.6,86.0,44.0,1,1,1,1,1,0,0
22.4,34.0,124.0,0,0,0,1,1,1,3
12.2,65.0,61.0,1,0,0,1,0,1,3
19.9,50.0,319.0,0,0,1,1,0,0,0
24.3,42.0,153.0,1,0,1,0,1,0,0
29.2,35.0,350.0,1,1,0,1,0,1,3
16.0,68.0,61.0,1,1,0,1,0,1,3
20.6,45.0,236.0,0,0,0,1,1,1,3
25.8,76.0,66.0,1,1,0,1,1,0,3
33.6,46.0,365.0,0,0,0,1,0,1,3
21.6,43.0,209.0,0,1,1,1,1,0,0
30.6,66.0,158.0,1,0,1,1,0,1,0
21.6,54.0,67.0,1,0,1,0,1,0,0
30.2,87.0,108.0,1,0,1,1,1,0,0
33.6,80.0,264.0,0,0,0,1,1,0,3
27.8,59.0,149.0,0,1,1,0,0,1,0
24.4,71.0,44.0,0,0,0,0,0,0,3
34.5,65.0,204.0,0,0,0,1,1,1,3
32.7,88.0,222.0,0,1,1,1,0,1,0
17.8,57.0,190.0,0,1,0,0,0,1,3
16.0,48.0,11.0,0,0,1,1,0,0,0
29.1,44.0,174.0,0,1,0,0,0,1,3
14.4,77.0,254.0,1,1,1,0,1,0,0
32.9,86.0,335.0,0,1,0,0,0,0,3
23.6,54.0,82.0,0,1,0,1,1,0,3
29.3,47.0,242.0,0,1,1,1,0,0,0
26.1,53.0,67.0,0,0,1,1,0,1,0
14.4,76.0,232.0,0,1,1,0,1,0,0
32.8,73.0,203.0,1,1,0,1,0,1,3
29.9,72.0,315.0,0,1,1,1,0,1,0
18.7,40.0,109.0,0,0,1,1,1,0,0
22.8,75.0,15.0,1,1,1,1,0,0,0
10.6,39.0,334.0,1,1,0,1,0,0,3
28.9,36.0,324.0,1,0,1,1,1,1,0
18.6,57.0,359.0,1,0,1,0,1,1,0
28.0,66.0,337.0,1,1,0,1,1,0,3
17.9,32.0,3.0,1,1,0,0,1,1,3
25.5,54.0,269.0,1,0,0,1,1,1,3
21.0,79.0,315.0,0,1,1,1,0,0,0
13.6,89.0,192.0,0,1,1,1,0,0,0
21.1,45.0,84.0,1,1,0,0,0,0,3
28.4,78.0,161.0,0,1,0,1,0,1,3
32.8,52.0,65.0,0,1,0,0,0,0,3
32.1,70.0,44.0,0,1,0,1,0,1,3
15.8,73.0,190.0,1,1,1,0,1,1,0
11.8,80.0,145.0,1,1,0,0,1,0,3
22.1,87.0,242.0,0,1,0,1,0,0,3
15.4,72.0,327.0,0,0,0,1,0,0,3
25.8,46.0,199.0,1,0,1,1,0,0,0
10.8,65.0,120.0,0,1,1,0,1,0,0
27.0,71.0,356.0,1,0,0,0,0,1,3
23.6,74.0,16.0,0,1,1,0,1,0,0
33.1,64.0,123.0,1,0,1,1,0,1,0
10.3,37.0,157.0,1,1,0,1,0,0,3
32.9,84.0,83.0,0,1,0,1,0,0,3
29.2,73.0,253.0,0,0,1,1,1,1,0
31.8,43.0,166.0,0,0,1,1,0,1,0
26.0,83.0,214.0,1,1,0,0,0,1,3
27.1,38.0,226.0,1,0,1,0,1,1,0
31.7,80.0,264.0,1,0,1,1,0,0,0
15.3,49.0,256.0,1,0,0,1,0,1,3
15.8,50.0,331.0,0,0,1,1,0,0,0
18.7,32.0,123.0,1,0,1,1,0,1,0
