velocidade_centrifuga_rpm,tempo_centrifugacao_min,limpeza_equipamento_pre_turno,lubrificante_grau_alimentar,vazamento_lubrificante,uso_epi,higiene_das_maos,inspecao_fragmentos_cera_pos_centrifuga,lote_identificado,probabilidade
512.0,9.7,0,0,1,2,1,1,1,1
347.0,12.5,0,1,0,2,1,0,0,1
601.0,2.6,0,1,0,0,0,1,0,3
367.0,14.8,0,0,1,0,0,1,0,3
288.0,11.9,1,1,1,1,1,1,1,1
416.0,18.4,0,0,0,1,1,0,1,2
701.0,10.9,1,1,0,1,0,1,0,2
450.0,2.7,1,0,0,1,1,0,0,0
778.0,16.6,0,1,0,0,0,0,0,3
222.0,18.9,1,1,0,1,0,1,0,2
211.0,13.0,1,0,1,1,0,1,1,2
738.0,8.9,0,0,0,2,1,0,1,1
315.0,11.9,0,0,0,2,1,1,0,1
330.0,17.6,1,1,0,2,0,1,0,2
669.0,3.5,0,1,1,2,1,1,0,1
308.0,3.0,1,1,0,0,1,0,0,1
569.0,17.0,0,0,1,2,0,1,0,3
227.0,5.0,0,1,0,0,0,1,1,3
726.0,14.7,1,1,0,0,1,0,1,1
542.0,18.5,0,0,1,0,0,0,1,3
469.0,6.3,0,0,1,0,0,0,1,3
418.0,18.8,0,1,0,2,0,1,0,3
388.0,16.6,0,0,0,0,0,1,0,3
358.0,14.3,0,1,1,2,1,0,1,2
785.0,11.6,1,1,1,1,1,1,1,1
383.0,6.0,0,0,1,2,1,0,0,1
343.0,12.5,0,1,1,0,0,1,1,3
475.0,2.8,0,1,1,0,1,0,1,2
354.0,9.4,1,0,1,0,0,1,1,2
363.0,13.6,1,1,1,1,0,1,1,2
359.0,18.0,1,0,1,2,0,0,1,2
283.0,5.5,0,1,1,1,1,1,1,2
732.0,2.8,0,1,1,1,1,1,1,2
311.0,2.1,0,1,0,2,1,0,1,1
213.0,16.7,0,1,0,0,0,1,0,3
667.0,8.5,0,0,0,2,1,1,0,1
471.0,4.1,0,1,1,2,1,0,0,1
412.0,16.5,1,0,0,0,0,0,0,2
520.0,3.8,1,1,0,1,0,1,0,2
534.0,12.0,0,1,1,0,1,0,0,2
431.0,13.7,1,0,0,2,1,0,0,0
711.0,18.2,0,1,0,0,1,0,1,2
706.0,9.8,1,1,1,2,1,1,0,0
419.0,14.2,1,0,1,1,1,1,1,1
333.0,2.3,1,0,0,0,0,0,0,2
492.0,11.4,0,1,1,0,1,1,0,2
294.0,10.0,1,1,0,0,1,0,1,1
369.0,7.3,0,1,0,1,1,1,1,2
430.0,18.6,0,1,0,2,0,1,1,3
430.0,13.9,0,0,1,1,0,0,0,3
308.0,12.2,1,0,1,1,1,0,0,1
506.0,4.4,1,1,1,1,0,1,0,2
568.0,14.3,1,0,1,0,1,1,0,1
567.0,10.2,1,0,1,2,1,0,0,0
681.0,14.6,0,0,1,0,1,0,0,2
246.0,15.3,1,0,0,1,1,1,0,1
294.0,16.8,0,1,0,0,1,0,1,2
462.0,10.0,1,0,0,2,0,1,1,1
490.0,17.8,0,0,0,1,1,0,0,2
323.0,8.6,1,0,1,2,1,0,0,0
380.0,13.9,1,1,1,2,0,0,0,2
296.0,8.4,0,0,1,0,0,1,1,3
526.0,18.1,1,0,1,1,0,1,0,2
486.0,9.6,1,0,1,0,1,0,1,1
613.0,5.8,1,1,1,1,1,0,0,0
578.0,19.7,0,1,1,0,0,1,1,3
363.0,7.4,0,0,1,0,1,0,1,2
656.0,18.4,0,1,0,2,0,1,0,3
291.0,17.1,1,0,0,0,0,1,1,2
578.0,11.7,0,1,1,1,0,0,0,3
572.0,7.1,1,0,1,0,0,0,1,2
341.0,3.2,0,1,1,1,1,0,1,2
317.0,6.6,0,1,1,2,0,0,0,2
264.0,18.0,1,1,0,2,0,0,1,2
572.0,7.1,1,1,1,0,1,0,1,1
418.0,6.2,0,1,1,1,0,0,0,3
799.0,3.0,1,1,0,0,0,0,0,2
581.0,11.3,1,1,0,0,0,0,1,2
206.0,11.8,0,0,0,1,1,1,0,2
424.0,14.4,1,0,1,0,1,1,1,1
209.0,17.6,1,0,1,0,0,1,0,2
