velocidade_centrifuga_rpm,tempo_centrifugacao_min,limpeza_equipamento_pre_turno,lubrificante_grau_alimentar,vazamento_lubrificante,uso_epi,higiene_das_maos,inspecao_fragmentos_cera_pos_centrifuga,lote_identificado,probabilidade
364.0,3.9,0,1,1,1,0,0,0,2
573.0,6.8,1,1,1,2,0,1,1,2
734.0,17.3,1,1,1,2,0,1,0,2
245.0,13.1,1,0,1,2,0,1,1,3
344.0,11.5,1,0,1,2,0,1,1,3
213.0,3.8,1,1,1,0,1,1,0,2
498.0,4.9,0,0,1,2,0,0,1,3
417.0,4.0,0,1,0,2,0,1,0,0
747.0,5.5,0,0,1,2,1,1,1,3
276.0,6.2,1,0,1,1,1,0,0,3
496.0,9.8,0,0,0,2,1,0,1,2
701.0,8.0,1,1,1,1,0,1,1,2
634.0,2.6,0,0,0,1,0,1,1,2
568.0,16.8,0,1,1,0,0,1,1,2
611.0,16.9,1,0,0,1,0,0,0,2
702.0,8.7,1,1,1,1,0,0,0,2
479.0,18.2,0,1,1,2,1,1,1,2
488.0,19.4,0,1,0,2,1,0,1,0
271.0,8.8,0,1,0,0,1,0,0,0
782.0,14.1,1,0,1,1,0,1,1,3
749.0,17.5,1,0,1,2,1,1,1,3
602.0,16.1,1,1,0,1,1,1,1,0
511.0,6.2,0,0,0,0,1,0,0,2
545.0,12.0,0,0,1,2,1,1,0,3
305.0,9.7,0,0,1,2,0,1,0,3
615.0,7.1,0,1,0,1,1,1,1,0
637.0,13.4,1,0,0,1,1,0,0,2
568.0,2.1,0,0,0,1,0,1,0,2
204.0,4.9,0,0,1,1,0,1,1,3
245.0,3.8,0,0,0,2,1,0,0,2
287.0,19.9,0,0,1,2,1,0,1,3
628.0,4.8,0,1,0,1,0,1,1,0
456.0,17.0,1,1,0,0,1,0,1,0
687.0,17.5,1,0,0,2,0,1,0,2
778.0,11.0,0,1,1,2,1,1,1,2
510.0,3.0,0,0,1,1,1,0,0,3
389.0,15.7,0,0,1,0,0,0,0,3
547.0,12.7,0,1,1,1,0,0,0,2
