tempo_decantacao_h,temperatura_decantacao_c,tanque_limpio_sanitizado,cobertura_anti_pragas,remocao_espuma_impurezas,material_tanque_inox_grau_alimentar,claridade_visual_nota,lote_identificado,probabilidade
39.8,22.7,1,0,0,1,2.0,1,0
50.3,18.3,0,0,1,1,0.0,0,0
30.0,22.1,1,1,1,0,2.0,1,0
22.9,25.8,1,0,1,0,0.0,1,0
31.3,21.1,1,0,0,1,0.0,0,0
38.1,20.3,1,1,1,1,2.0,0,0
10.1,19.3,1,1,0,0,1.0,0,0
40.7,34.0,1,0,1,1,2.0,1,0
67.1,26.5,0,1,1,1,1.0,1,0
70.8,29.9,0,0,1,0,0.0,1,0
39.6,34.9,0,0,1,0,2.0,1,0
65.8,27.0,1,0,0,0,1.0,0,0
45.0,28.5,1,1,0,1,0.0,1,0
3.9,18.4,1,0,1,0,0.0,0,0
35.8,32.1,1,0,0,1,1.0,1,0
35.2,19.6,0,1,0,0,0.0,0,0
49.1,18.2,1,0,0,0,0.0,0,0
17.6,26.1,0,1,1,1,0.0,1,0
56.9,31.8,1,0,0,0,1.0,1,0
22.8,33.2,1,0,1,1,0.0,0,0
28.8,27.7,1,0,1,1,1.0,1,0
20.8,28.2,0,1,0,0,0.0,1,0
16.4,23.9,0,0,0,0,2.0,0,0
70.7,29.5,0,0,0,1,0.0,1,0
58.1,30.1,1,1,1,0,1.0,1,0
30.8,23.9,1,1,0,1,0.0,0,0
49.7,25.7,0,1,1,1,1.0,0,0
13.2,30.9,1,1,1,1,0.0,1,0
9.5,31.1,0,1,0,0,0.0,1,0
10.9,23.5,0,0,1,1,2.0,0,0
21.4,23.4,1,1,0,1,1.0,0,0
56.4,18.1,1,0,1,1,0.0,1,0
26.6,24.6,0,1,1,0,1.0,1,0
39.8,30.8,1,0,1,1,1.0,1,0
58.2,23.0,1,1,1,0,1.0,1,0
69.4,34.0,1,0,0,0,1.0,0,0
69.7,25.5,1,0,1,1,0.0,1,0
33.9,23.3,0,0,1,1,0.0,0,0
12.9,28.9,1,0,1,1,0.0,0,0
64.2,27.1,1,1,1,1,0.0,1,0
38.1,31.7,0,0,0,0,0.0,1,0
32.2,27.2,1,1,0,0,0.0,0,0
51.2,22.7,1,1,0,0,1.0,0,0
56.5,31.7,0,0,1,0,1.0,1,0
4.1,26.9,0,0,0,1,2.0,1,0
40.3,21.4,0,1,1,1,2.0,0,0
51.2,30.4,0,1,0,1,1.0,0,0
10.4,30.4,1,1,1,0,1.0,1,0
47.1,18.7,1,0,0,1,0.0,1,0
17.0,27.6,0,0,0,0,2.0,1,0
11.0,20.4,0,1,0,1,1.0,1,0
50.5,31.6,1,1,1,0,1.0,0,0
9.0,26.9,0,0,0,0,1.0,0,0
7.8,32.4,0,1,1,0,1.0,0,0
51.6,18.3,1,1,0,1,1.0,1,0
69.3,21.8,0,1,1,0,1.0,0,0
43.1,33.5,0,0,1,1,2.0,1,0
17.1,19.9,1,1,0,1,0.0,1,0
71.9,23.7,0,1,0,0,0.0,0,0
67.8,31.2,0,0,0,1,0.0,0,0
61.4,18.0,0,0,0,1,1.0,0,0
17.9,30.1,1,1,1,0,0.0,0,0
12.7,26.2,0,1,1,1,1.0,0,0
63.6,28.8,0,1,1,0,0.0,1,0
5.1,34.8,1,1,0,0,1.0,0,0
41.6,20.1,0,0,1,0,1.0,0,0
6.6,30.6,0,0,0,1,2.0,0,0
13.1,30.8,1,1,0,1,0.0,1,0
28.2,34.0,1,1,1,1,0.0,0,0
35.3,29.1,0,0,1,1,1.0,0,0
48.9,26.1,1,1,1,1,1.0,1,0
71.9,25.8,1,1,1,0,1.0,0,0
58.6,23.2,0,1,1,0,1.0,1,0
51.7,26.8,1,0,1,0,0.0,0,0
9.4,29.7,0,1,1,0,1.0,0,0
67.5,34.2,1,1,1,0,1.0,1,0
24.4,18.8,0,0,1,1,0.0,0,0
21.7,20.7,0,1,1,1,0.0,1,0
40.4,20.8,1,0,1,0,1.0,0,0
14.0,34.8,0,0,1,1,1.0,0,0
24.5,34.5,0,1,0,0,0.0,0,0
6.3,25.7,1,0,1,1,2.0,1,0
61.4,21.8,1,1,1,0,1.0,0,0
43.9,19.1,1,0,0,1,2.0,0,0
27.5,21.0,0,0,1,0,1.0,0,0
54.9,22.1,1,0,0,0,2.0,0,0
62.6,33.5,1,1,0,0,1.0,0,0
29.2,25.0,1,1,1,0,1.0,1,0
20.0,26.9,0,0,0,0,0.0,1,0
42.7,23.5,0,1,0,1,2.0,0,0
55.4,25.3,1,1,0,0,2.0,1,0
55.4,24.9,1,0,1,0,0.0,1,0
35.9,18.4,1,1,0,1,0.0,0,0
61.7,28.1,1,0,1,0,1.0,0,0
3.0,30.3,0,0,1,0,2.0,1,0
15.4,32.9,0,1,0,1,0.0,0,0
70.0,32.0,0,0,1,1,1.0,1,0
39.7,22.2,0,1,0,1,0.0,1,0
17.1,33.4,0,0,0,1,1.0,1,0
56.2,34.5,1,0,0,1,0.0,0,0
38.3,20.8,1,1,1,0,1.0,1,0
4.2,18.4,1,0,0,1,2.0,1,0
14.0,29.0,0,0,1,0,2.0,0,0
19.4,21.5,0,1,0,1,2.0,0,0
34.6,31.8,1,0,1,1,0.0,0,0
57.6,32.2,0,0,0,1,0.0,0,0
31.3,21.4,0,0,1,1,0.0,0,0
29.3,29.7,0,1,1,0,1.0,1,0
65.4,20.4,0,0,0,0,2.0,0,0
30.8,32.6,1,0,0,0,2.0,0,0
47.7,19.6,1,1,0,1,1.0,0,0
61.7,20.8,0,1,1,0,1.0,1,0
47.7,18.4,1,0,0,1,0.0,0,0
62.5,31.5,1,0,1,1,1.0,0,0
67.4,24.9,1,0,0,1,1.0,1,0
10.0,19.6,1,0,0,0,1.0,0,0
27.8,22.2,1,0,1,1,0.0,0,0
45.5,25.4,0,1,1,0,1.0,0,0
48.6,18.3,1,0,0,0,1.0,0,0
37.5,27.0,1,1,0,1,1.0,0,0
62.4,24.4,1,0,0,0,2.0,1,0
45.3,30.3,0,0,0,1,1.0,1,0
68.3,22.1,0,1,0,0,1.0,1,0
21.0,20.9,1,1,1,1,0.0,1,0
64.6,26.1,0,0,1,0,1.0,1,0
9.9,20.6,1,0,0,0,2.0,0,0
69.7,18.3,1,1,1,0,1.0,1,0
61.4,25.0,1,0,0,0,2.0,1,0
16.4,27.4,0,1,0,0,1.0,0,0
36.5,25.4,1,1,1,0,2.0,0,0
37.1,33.5,1,1,0,1,1.0,0,0
51.6,21.0,1,0,1,1,1.0,1,0
53.7,29.0,0,0,1,0,1.0,0,0
11.0,29.6,0,0,1,1,1.0,0,0
19.4,20.4,0,0,0,0,1.0,1,0
9.5,21.7,1,0,0,1,1.0,0,0
10.6,29.1,0,1,1,1,0.0,0,0
47.8,30.2,0,0,0,1,2.0,0,0
34.8,24.6,0,0,0,0,1.0,1,0
40.9,28.3,1,1,1,1,1.0,0,0
56.1,21.2,1,0,1,1,1.0,0,0
27.9,28.2,0,1,1,0,2.0,1,0
56.5,25.8,0,0,0,1,1.0,0,0
27.3,21.3,1,0,1,0,2.0,1,0
67.3,30.7,0,0,1,0,1.0,0,0
63.9,29.7,1,1,0,1,1.0,1,0
48.8,21.9,0,1,0,1,2.0,1,0
71.2,28.2,0,1,1,1,2.0,1,0
66.1,28.2,0,1,0,1,1.0,1,0
51.5,29.5,1,1,1,0,1.0,0,0
25.4,24.6,1,1,1,1,1.0,1,0
20.6,19.6,0,1,1,0,1.0,0,0
40.9,26.2,0,0,0,0,2.0,0,0
36.5,24.4,0,1,0,1,1.0,1,0
35.5,30.1,0,1,1,0,1.0,0,0
45.6,26.4,0,0,1,1,0.0,1,0
31.0,34.0,1,1,0,1,1.0,0,0
48.4,29.0,0,0,0,0,0.0,1,0
15.8,33.6,1,1,0,1,1.0,0,0
62.8,25.3,1,1,1,0,1.0,1,0
57.9,24.5,1,0,0,0,1.0,1,0
29.8,33.3,0,1,1,0,1.0,0,0
43.0,21.1,0,1,1,1,1.0,0,0
34.9,33.9,0,0,0,0,1.0,1,0
28.8,20.7,1,0,0,1,0.0,0,0
57.8,19.1,0,0,1,0,1.0,1,0
47.6,23.1,1,0,1,1,1.0,1,0
36.4,24.1,1,1,1,1,1.0,1,0
65.2,24.9,0,0,1,0,1.0,1,0
20.3,21.7,0,0,1,1,1.0,1,0
61.8,30.6,0,1,0,0,1.0,0,0
45.8,29.0,1,0,0,0,1.0,1,0
24.2,22.2,1,0,1,1,2.0,0,0
27.8,23.6,0,1,1,1,1.0,0,0
