temperatura_transporte_c,tempo_transporte_h,veiculo_higienizado,carga_compartilhada_quimicos,embalagem_secundaria_protecao,lacres_veiculo_integridade,registro_condicoes_transporte,lote_identificado,probabilidade
39.9,59.8,1,1,0,1,0,1,2
14.6,43.6,1,1,1,1,0,0,0
18.6,3.1,0,1,1,0,0,0,2
20.8,7.6,0,0,1,0,1,0,2
35.0,7.6,1,0,0,0,1,0,2
32.1,6.3,1,1,1,0,0,1,0
23.7,54.2,1,0,1,1,1,1,0
13.4,48.1,1,1,0,1,0,0,2
16.2,17.7,0,0,1,0,1,1,2
27.5,59.3,0,0,1,0,0,1,2
22.5,1.6,0,0,1,0,0,1,2
21.8,31.4,0,1,1,0,1,1,2
15.8,37.0,0,1,0,0,1,0,3
10.8,42.5,1,1,0,1,0,1,2
12.2,57.2,1,0,1,1,0,1,0
32.0,40.0,0,1,0,1,0,1,3
10.5,19.0,0,1,0,0,1,1,3
35.9,43.3,0,0,0,1,1,1,3
17.1,48.0,0,1,0,0,0,0,3
20.9,53.9,0,0,1,0,1,1,2
35.1,18.9,1,1,0,1,1,1,2
34.6,35.9,1,0,0,0,0,1,2
38.5,23.0,1,0,1,0,1,0,0
36.5,17.7,1,0,0,1,1,0,2
36.6,52.1,0,1,0,0,0,0,3
24.0,15.1,1,0,0,1,1,0,2
23.3,16.5,1,0,0,1,0,0,2
13.7,51.6,0,0,0,1,0,1,3
20.0,3.2,0,0,1,0,0,1,2
33.5,35.9,1,0,0,1,0,1,2
34.5,43.0,1,1,0,0,1,0,2
31.1,58.1,0,0,0,0,0,1,3
12.5,41.0,1,0,0,1,1,0,2
25.2,64.0,1,1,1,0,1,0,0
19.5,15.4,1,1,1,1,1,0,0
27.0,50.2,1,1,1,1,0,1,0
28.6,49.8,0,0,1,1,0,0,2
10.9,64.2,1,1,1,1,0,1,0
27.9,37.6,0,0,1,0,1,0,2
29.8,13.6,0,0,1,0,0,1,2
22.0,2.9,1,1,1,0,1,0,0
14.1,16.2,1,1,1,0,0,1,0
36.1,42.9,0,1,1,0,0,0,2
22.8,54.9,1,1,0,0,1,0,2
21.9,26.1,1,0,0,1,0,1,2
30.1,49.6,0,0,0,0,1,0,3
38.9,21.9,0,0,0,0,0,1,3
33.9,11.8,1,1,0,1,1,0,2
24.8,57.8,1,0,0,1,0,1,2
33.6,5.0,0,0,0,1,0,1,3
37.6,22.5,1,1,1,0,1,1,0
38.6,14.9,0,0,1,1,1,1,2
10.5,34.8,1,1,0,1,0,1,2
13.0,41.8,0,0,0,1,1,0,3
13.7,25.5,1,0,0,0,1,1,2
24.5,56.7,0,1,1,1,0,0,2
30.5,70.6,0,0,0,0,0,1,3
31.9,13.2,0,0,1,1,0,1,2
15.4,65.3,0,0,1,0,0,0,2
10.5,38.0,0,1,0,0,0,0,3
23.8,38.3,0,1,0,0,0,1,3
10.0,52.2,1,1,1,1,1,0,0
27.1,59.9,1,1,1,1,1,0,0
19.7,38.6,0,1,0,1,0,1,3
23.0,36.4,0,1,0,1,1,1,3
37.2,41.7,1,0,0,0,0,1,2
40.0,7.3,1,1,0,1,0,1,2
11.6,57.6,1,0,1,1,1,1,0
21.9,35.9,0,0,0,0,1,1,3
35.8,58.5,0,1,0,0,0,1,3
35.3,21.6,1,0,0,0,0,0,2
10.4,49.9,0,1,0,0,0,0,3
31.7,25.6,0,1,1,1,1,0,2
34.2,34.0,0,1,1,1,0,1,2
24.3,23.9,0,1,1,1,1,0,2
30.8,5.0,0,1,0,0,1,0,3
22.4,52.7,1,1,0,0,0,1,2
29.0,39.9,1,0,1,0,1,0,0
24.7,5.5,0,0,1,0,0,1,2
20.1,52.1,0,1,0,1,1,0,3
23.3,37.6,1,1,1,1,0,0,0
27.7,16.6,1,1,0,0,1,0,2
26.9,2.3,0,1,0,1,0,1,3
22.9,20.8,1,0,1,0,1,1,0
31.8,54.0,0,1,0,0,0,0,3
24.1,14.4,1,1,1,1,0,0,0
25.1,15.5,1,0,1,1,0,1,0
39.5,49.7,0,1,0,1,0,0,3
20.9,5.1,0,1,0,0,0,1,3
25.5,47.4,1,1,1,1,0,1,0
21.1,3.4,1,1,1,0,0,1,0
13.8,47.0,0,1,1,0,0,1,2
23.6,45.4,0,1,0,1,0,1,3
10.6,27.2,0,0,0,0,0,1,3
18.1,40.5,1,1,1,1,1,1,0
32.7,11.0,0,0,0,1,1,1,3
17.2,24.4,1,0,1,1,0,1,0
10.5,61.5,0,0,0,0,1,1,3
31.9,11.9,0,1,0,1,1,0,3
10.5,11.2,1,1,0,0,0,1,2
28.9,30.4,1,0,1,0,0,0,0
33.0,62.2,1,1,1,0,0,1,0
24.7,53.6,1,0,1,1,0,1,0
13.3,54.5,1,0,1,1,0,1,0
19.5,8.2,1,1,0,0,1,1,2
34.6,35.6,0,1,1,1,0,0,2
34.1,70.1,1,0,1,0,1,0,0
28.2,54.4,1,0,0,0,1,0,2
22.1,50.1,0,0,0,0,0,1,3
16.1,8.2,1,0,0,1,0,0,2
23.7,40.9,0,0,0,1,1,0,3
18.3,6.8,0,1,1,1,1,0,2
25.7,51.6,0,1,0,1,1,0,3
11.4,21.0,0,0,0,1,1,0,3
38.7,40.7,1,0,1,1,0,0,0
28.1,18.6,1,1,1,0,1,1,0
35.9,51.5,1,0,1,0,0,1,0
33.9,25.9,1,0,0,1,0,1,2
36.4,46.0,1,1,0,1,1,1,2
33.5,47.2,0,1,1,1,1,0,2
39.7,58.4,0,1,0,0,1,1,3
36.7,14.0,1,0,0,1,1,1,2
16.1,28.6,0,0,1,0,0,0,2
31.9,39.4,1,0,1,1,0,1,0
20.9,39.1,1,0,1,1,0,1,0
11.8,2.3,0,0,1,1,0,1,2
27.4,58.2,1,0,0,0,1,0,2
25.6,65.4,0,0,1,1,0,0,2
13.2,48.1,1,0,0,1,0,1,2
34.7,44.2,1,0,1,0,0,1,0
