temperatura_transporte_c,tempo_transporte_h,veiculo_higienizado,carga_compartilhada_quimicos,embalagem_secundaria_protecao,lacres_veiculo_integridade,registro_condicoes_transporte,lote_identificado,probabilidade
12.5,48.0,0,0,1,1,0,1,0
27.9,7.9,1,1,1,1,0,0,3
31.3,64.9,1,1,0,1,1,0,3
24.8,71.4,0,1,1,0,0,0,3
32.2,32.6,1,0,0,1,0,0,0
13.2,14.5,0,0,0,1,0,0,0
33.8,59.6,1,0,0,0,1,0,0
22.6,10.9,0,0,1,1,0,1,0
17.2,57.5,0,0,0,0,0,1,0
14.8,53.5,1,0,1,0,0,1,0
37.9,37.0,0,0,0,0,1,1,0
28.5,67.5,1,0,1,1,1,1,0
14.9,35.1,1,1,1,1,0,0,3
30.6,17.0,1,1,1,0,0,1,3
23.7,22.4,0,0,1,1,1,1,0
31.4,34.1,1,0,0,0,0,1,0
33.4,31.0,1,1,1,0,1,1,3
19.6,39.1,1,1,0,0,1,0,3
38.0,46.4,0,0,0,1,0,0,0
22.9,23.6,1,0,0,1,1,0,0
37.4,23.9,0,0,0,0,1,1,0
12.5,40.6,0,1,0,0,0,0,3
12.5,61.4,0,1,0,0,0,0,3
39.3,32.6,0,1,1,1,1,0,3
28.9,21.8,1,0,0,0,1,1,0
22.3,35.3,1,1,1,0,1,1,3
34.8,47.8,0,0,0,1,1,1,0
25.5,17.9,0,1,0,1,0,1,3
26.7,36.8,1,0,1,0,1,1,0
11.0,53.0,1,1,1,0,1,1,3
37.6,41.7,1,0,0,1,1,1,0
17.4,1.9,0,1,0,0,0,0,3
14.0,2.0,0,0,0,0,1,1,0
10.2,7.9,0,0,0,1,1,1,0
24.2,37.0,0,0,1,1,0,1,0
23.7,67.9,1,1,1,0,0,1,3
12.2,19.9,0,1,0,0,1,1,3
29.2,17.9,1,0,0,0,0,0,0
28.1,27.0,0,0,0,0,1,1,0
26.5,12.6,0,1,1,1,0,0,3
13.5,4.0,1,1,0,0,1,1,3
19.4,15.8,0,0,1,1,0,1,0
36.9,47.0,1,1,1,0,0,1,3
10.9,11.6,0,0,1,0,1,0,0
13.0,20.2,1,0,1,1,1,1,0
14.1,36.9,0,1,0,1,0,1,3
15.9,37.0,1,0,0,1,1,1,0
24.6,71.0,1,1,1,1,1,0,3
28.8,21.4,0,0,1,1,0,1,0
27.5,32.4,0,0,0,0,0,1,0
11.4,41.8,0,0,1,0,1,1,0
21.6,50.8,0,0,1,1,0,1,0
14.4,17.9,0,0,1,0,0,1,0
10.8,66.1,1,1,1,1,1,0,3
19.9,32.0,1,0,1,1,0,1,0
24.8,4.0,0,0,0,0,0,1,0
22.8,45.9,1,0,1,0,0,1,0
30.5,20.2,0,1,1,1,0,0,3
27.8,44.0,0,1,0,1,0,1,3
35.1,43.0,1,1,1,0,0,0,3
17.4,36.2,0,0,1,0,1,1,0
16.3,25.0,1,1,0,0,0,1,3
37.9,67.2,0,0,1,1,0,1,0
16.7,29.0,1,0,1,1,0,1,0
33.0,5.4,1,1,1,0,1,1,3
31.8,52.9,1,1,0,1,0,0,3
19.0,57.1,0,0,0,0,0,0,0
10.9,58.1,1,0,0,1,1,1,0
22.3,63.7,1,1,0,1,0,0,3
29.9,27.2,0,1,0,1,1,0,3
17.1,55.0,1,0,1,1,1,0,0
29.1,64.5,0,0,0,1,1,0,0
35.6,46.3,0,0,1,0,1,1,0
24.1,58.3,1,1,0,1,0,0,3
34.9,35.9,0,1,1,0,0,0,3
31.0,2.4,0,0,1,1,1,0,0
38.2,32.2,0,1,1,1,1,0,3
31.9,49.6,1,0,1,0,0,1,0
27.3,46.8,0,1,0,1,1,0,3
31.4,66.2,1,1,1,1,0,1,3
18.3,37.1,0,1,0,0,1,1,3
22.9,71.6,1,0,0,1,0,1,0
21.5,27.6,0,0,1,0,1,0,0
29.1,15.1,0,1,1,1,0,1,3
12.1,13.4,0,0,1,0,0,1,0
23.8,29.1,0,1,0,0,1,0,3
28.2,70.5,1,1,0,0,1,1,3
23.7,23.1,0,1,1,0,1,0,3
14.0,34.2,0,0,1,0,0,1,0
27.2,15.5,0,0,1,1,1,0,0
24.7,47.4,1,0,0,0,1,1,0
18.8,71.5,0,1,1,0,0,0,3
15.9,71.8,0,0,1,0,0,0,0
14.5,31.3,1,0,1,1,1,1,0
13.8,37.4,1,0,0,0,1,0,0
36.0,37.8,1,1,1,1,1,1,3
39.6,43.5,1,0,1,1,1,1,0
11.7,30.1,1,1,1,0,0,0,3
12.9,33.1,1,1,1,1,1,0,3
32.8,52.9,0,1,1,0,1,0,3
31.7,10.3,0,0,0,1,1,0,0
13.2,39.3,1,0,0,0,1,0,0
36.8,23.6,1,1,0,0,0,1,3
15.7,64.4,1,0,0,0,1,0,0
39.8,45.5,1,0,0,0,0,1,0
25.3,71.0,1,1,0,0,0,1,3
18.0,15.7,0,0,0,1,1,0,0
16.6,64.1,1,1,0,1,1,1,3
34.2,41.1,0,1,0,0,0,1,3
16.4,30.3,1,0,1,0,1,1,0
24.6,24.7,0,1,1,0,1,0,3
27.9,16.1,0,0,0,0,1,1,0
31.4,31.5,0,0,1,0,1,0,0
33.2,7.5,1,0,0,0,1,1,0
26.5,12.4,0,0,1,1,0,1,0
29.5,38.3,1,0,1,0,1,1,0
34.3,66.6,1,1,0,1,1,1,3
38.5,14.1,1,0,0,0,1,1,0
14.9,41.6,0,1,0,0,1,1,3
22.8,41.1,1,0,0,1,0,0,0
21.7,55.2,1,0,1,0,0,0,0
21.0,66.3,1,0,0,0,0,0,0
16.6,5.6,0,1,0,0,1,0,3
31.3,67.3,1,1,1,0,0,1,3
15.5,48.6,0,0,1,0,1,0,0
35.1,35.2,0,0,1,0,1,0,0
15.2,7.9,1,1,0,0,0,1,3
19.8,3.5,0,1,0,0,1,0,3
11.0,11.3,1,1,1,1,1,1,3
22.4,62.9,0,0,0,1,0,0,0
