feature,importance_mean,importance_std
manipulador_higiene,0.514706709613029,0.040476192637187616
higienizacao_previa,0.4951386431570618,0.02271604150939385
tipo_embalagem,0.0,0.0
estado_embalagem,0.0,0.0
vedacao_adequada,0.0,0.0
tampa_correta,0.0,0.0
uso_epi,0.0,0.0
local_envase,0.0,0.0
aspecto_visual,0.0,0.0
umidade_mel,0.0,0.0
temperatura_envase,0.0,0.0
cristalizacao,0.0,0.0
rotulo_presente,0.0,0.0
informacoes_completas,0.0,0.0
data_validade_legivel,0.0,0.0
lote_identificado,0.0,0.0
registro_lote,0.0,0.0
treinamento_equipe,0.0,0.0
historico_reclamacoes,0.0,0.0
tempo_exposicao_ar,0.0,0.0
