feature,importance_mean,importance_std
rotulo_presente,0.47345291542312784,0.042538998610189394
informacoes_completas,0.466518619719037,0.032499506209725186
tipo_embalagem,0.455965526476645,0.026354416922817443
registro_lote,0.4497066776181683,0.04048768221447954
tempo_exposicao_ar,0.003260869565217406,0.0049810605379955
vedacao_adequada,0.0,0.0
estado_embalagem,0.0,0.0
tampa_correta,0.0,0.0
higienizacao_previa,0.0,0.0
uso_epi,0.0,0.0
local_envase,0.0,0.0
manipulador_higiene,0.0,0.0
cristalizacao,0.0,0.0
temperatura_envase,0.0,0.0
umidade_mel,0.0,0.0
aspecto_visual,0.0,0.0
lote_identificado,0.0,0.0
data_validade_legivel,0.0,0.0
treinamento_equipe,0.0,0.0
historico_reclamacoes,0.0,0.0
