etapa,codigo,perigos,justificativa,probabilidade,severidade,risco,medidas preventivas,o perigo é significativo?
Estocagem da matéria-prima (câmara de refrigeração),B,Multiplicação de microrganismos por temperatura inadequada,"A alface é altamente perecível e sensível à temperatura. O aumento da temperatura acelera a proliferação de microrganismos, a transpiração e a respiração, causando rápida deterioração. O controle rigoroso da temperatura é essencial para preservar a qualidade e reduzir as perdas pós-colheita.",Alta,Alta,Alto,"Somente alfaces sadias e de alta qualidade devem ser armazenadas, pois a baixa temperatura não destrói os patógenos, apenas diminui sua atividade;
A temperatura da alface deve ser reduzida logo após a colheita (pré-resfriamento) para diminuir a atividade metabólica e a transpiração;
Manter a temperatura de armazenamento entre 0°C e 5°C , com umidade relativa entre 95-100%;
As câmaras de refrigeração devem ser limpas regularmente;
Monitorar e manter a ventilação adequada nas câmaras para evitar o acúmulo de etileno e calor;
Não exceder a capacidade da câmara, mantendo corredores livres para circulação de ar;
Evitar armazenar a alface com frutos climatéricos (como tomate, melancia, banana) que liberam etileno, pois este gás pode causar manchas escuras e acelerar o amadurecimento e deterioração da alface;",SIM
Estocagem da matéria-prima (câmara de refrigeração),Q,Resíduos de defensivos agrícolas,"A presença de resíduos de defensivos agrícolas acima dos limites permitidos na alface representa um perigo químico à saúde do consumidor. Embora a estocagem em si não cause a formação de resíduos, ela é a etapa final antes do transporte/distribuição onde o produto pode estar comprometido se as boas práticas agrícolas não foram seguidas na produção primária. Portanto, é fundamental garantir que a matéria-prima que entra na estocagem esteja em conformidade com a legislação vigente em relação aos níveis de agrotóxicos.",Média,Alta,Médio,"Controle na Origem: Exigir do fornecedor da matéria-prima o cumprimento das boas práticas agrícolas (BPA) na produção da alface;
Certificação/Rastreabilidade: Adquirir alface de fornecedores certificados ou com programas de rastreabilidade que comprovem o uso correto e dentro dos limites dos defensivos agrícolas;
Análise de Lotes: Realizar análises laboratoriais periódicas em amostras da alface recebida para verificar a presença e os níveis de resíduos de defensivos agrícolas [simulação];
Especificação de Compra: Ter uma especificação clara de compra que inclua os requisitos de conformidade com os limites máximos de resíduos (LMRs) estabelecidos pela legislação brasileira.",SIM
Estocagem da matéria-prima (câmara de refrigeração),F,Fragmentos de gelo,"A presença de fragmentos físicos na alface pode representar um risco de corpo estranho, causando lesões ao consumidor (cortes na boca, engasgos) e resultando em não conformidade do produto, impactando a segurança alimentar e a reputação da marca. Embora a refrigeração seja essencial, a formação excessiva de gelo na câmara (devido a falhas no equipamento, alta umidade ou temperatura muito baixa) pode levar à quebra e desprendimento de fragmentos que podem contaminar a alface. Além disso, o congelamento da alface pode causar deterioração do tecido e liberar ""água livre"", que ao recongelar, pode formar fragmentos.",Média,Alta,Médio,"Monitorar rigorosamente a temperatura da câmara para evitar que fique abaixo do ponto de congelamento da alface (0,2°C);
Controlar a umidade relativa dentro da faixa recomendada (95-100%) para evitar a formação excessiva de gelo no ambiente da câmara;
Realizar ciclos de degelo programados e manutenção preventiva regular dos equipamentos de refrigeração para evitar acúmulo de gelo nas serpentinas e outras superfícies [simulação];
Inspecionar as superfícies internas da câmara quanto à presença de gelo excessivo antes e durante a estocagem [simulação].",SIM
Estocagem da matéria-prima (câmara de refrigeração),F,Fragmentos de embalagem,"A presença de fragmentos físicos na alface pode representar um risco de corpo estranho, causando lesões ao consumidor (cortes na boca, engasgos) e resultando em não conformidade do produto, impactando a segurança alimentar e a reputação da marca. A integridade das embalagens (sejam as primárias que envolvem a alface ou as caixas de transporte) é fundamental. Embalagens danificadas durante o manuseio ou estocagem podem liberar pedaços (plástico, papelão, madeira) que contaminam o produto.",Média,Alta,Médio,"Treinar os funcionários para o manuseio cuidadoso das embalagens e do produto, evitando quedas, esmagamento ou rasgar as embalagens;
Utilizar embalagens adequadas (plásticas ou de papelão em bom estado) que protejam o produto e não se deteriorem facilmente;
Inspecionar visualmente as embalagens no recebimento e antes da estocagem, descartando ou isolando aquelas que apresentem danos [simulação];
Não reutilizar embalagens que estejam danificadas ou sujas.
",SIM
"Recepção/seleção da matéria-prima (retiradas folhas externas, forma manual)",B,contaminação cruzada por mãos ou utensílios,"As mãos dos trabalhadores e os utensílios (facas) são potenciais veículos de microrganismos patogênicos (como bactérias, vírus, vermes e protozoários) que podem ser transferidos de folhas sujas, solo ou outros materiais contaminados para as folhas sadias da alface durante o processo manual de retirada das folhas externas. Muitos microrganismos que causam doenças em humanos não causam danos visíveis às hortaliças.",Alta,Alta,Alto,"É essencial realizar treinamento contínuo dos trabalhadores sobre a correta higienização das mãos, que deve ocorrer antes e após o manuseio das hortaliças e após o uso de sanitários. O uso de luvas não substitui a lavagem das mãos. As facas devem ser de aço inox, limpas e frequentemente sanitizadas. Cada equipamento deve ter procedimentos de higiene documentados. A lavagem com água e detergente reduz microrganismos, mas a sanitização com produtos como hipoclorito de sódio é necessária para eliminar patógenos como Salmonella, E. coli e Staphylococcus aureus. Trabalhadores doentes ou com ferimentos devem ser afastados ou protegidos. Devem ser seguidas boas práticas de higiene pessoal e o ambiente de trabalho deve ser mantido limpo e organizado.",SIM
"Recepção/seleção da matéria-prima (retiradas folhas externas, forma manual)",Q,não identificado,,,,,,
"Recepção/seleção da matéria-prima (retiradas folhas externas, forma manual)",F,não aplicável,,,,,,
Pré-lavagem (feita com sabão específico para vegetais),B,Contaminação cruzada por utensílios sujos ou água contaminada,"A pré-lavagem, embora sirva para remover sujidades, pode se tornar uma fonte de contaminação se os utensílios (como tanques, escovas, ou cestos de imersão) estiverem sujos ou se a água utilizada não for potável. Microrganismos presentes nessas fontes podem ser transferidos para as hortaliças, anulando o propósito da etapa e introduzindo patógenos. A água contaminada pode veicular microrganismos patogênicos (bactérias, parasitas) que causam doenças em humanos.",Alta,Alta,Alto,"A água utilizada na lavagem de hortaliças deve ser potável;
Tanques e outros utensílios de lavagem devem ser limpos com água e sabão e sanitizados periodicamente com produtos indicados para a indústria de alimentos;
Realizar a limpeza e manutenção de todo o sistema de bombeamento da água de irrigação/lavagem;
Os tanques podem ser de alvenaria com revestimento de cerâmica, de fibra ou de plástico, com torneira ou chuveiro, e suas dimensões dependerão da capacidade de produção;
A área de lavagem deve ser independente e coberta, devidamente azulejada, longe dos depósitos de defensivos agrícolas e de adubos orgânicos. A recepção deve ser separada da etapa final para que não haja contaminação cruzada do material limpo e sujo;
A manipulação da hortaliça no processo de lavagem deve ser cuidadosa para evitar danos físicos.",SIM
Pré-lavagem (feita com sabão específico para vegetais),Q,Resíduo de sabão não alimentício,"O uso de sabão não específico ou não aprovado para contato com alimentos, ou o enxágue inadequado após a pré-lavagem, pode deixar resíduos químicos de sabão na superfície da alface. Esses resíduos podem ser tóxicos se ingeridos, causando irritação gastrointestinal ou outros problemas de saúde ao consumidor. Além disso, podem alterar as características sensoriais do produto (sabor e odor).",Média,Alta,Médio,"Seleção do Produto: Utilizar apenas sabão específico para vegetais ou detergentes aprovados para uso em superfícies que entram em contato com alimentos. Verificar se o produto possui registro e aprovação de órgãos reguladores para uso alimentício [simulação];
Treinamento: Treinar os funcionários sobre a dosagem correta do sabão e a importância do enxágue completo da alface após a pré-lavagem [simulação];
Padronização do Enxágue: Estabelecer procedimentos claros para o enxágue, garantindo a remoção de todo o sabão. Pode-se incluir duas etapas de lavagem com água corrente após a pré-lavagem para assegurar a remoção (conforme as próximas etapas da produção);
Armazenamento: Armazenar os produtos químicos de limpeza em locais separados e identificados, longe da área de manipulação e estocagem de alimentos, para evitar contaminação cruzada.",SIM
Pré-lavagem (feita com sabão específico para vegetais),F,não  identificado,"Não se identificou um perigo físico significativo específico nesta etapa, já que grandes corpos estranhos deveriam ser removidos na seleção e pequenos detritos serão tratados nas lavagens subsequentes. O risco de introdução de fragmentos da própria etapa é baixo se houver boas práticas.",Baixa,Baixa,Baixo,"Garantir que os utensílios e equipamentos de pré-lavagem estejam em bom estado de conservação, sem partes soltas ou deterioradas. Realizar inspeção visual da alface após a pré-lavagem para detecção de corpos estranhos visíveis. [simulação]",NÃO
