etapa,perigos,tipo,limite_critico,monitoramento_oque,monitoramento_como,monitoramento_quando,monitoramento_quem,acao_corretiva,registro,verificacao
Estocagem da matéria-prima (câmara de refrigeração),Multiplicação de microrganismos por temperatura inadequada,B,"Temperatura da câmara de refrigeração: entre 0°C e 5°C. A temperatura nunca deve ser inferior a -0,2°C.

Umidade relativa: 95-100%.",Temperatura e umidade relativa da câmara de refrigeração,"Verificação contínua por termômetros e higrômetros calibrados com registro automático, e/ou verificações manuais periódicas","A cada 2-4 horas (manual), ou continuamente com alarmes (automático) [simulação]","Funcionário responsável pelo armazenamento, gerente de produção ou profissional de controle de qualidade [simulação]","Ajustar imediatamente a temperatura e/ou umidade da câmara para a faixa correta [simulação];
Verificar o funcionamento do sistema de refrigeração e, se necessário, acionar a manutenção [simulação];
Inspecionar visualmente a alface armazenada para detectar sinais de deterioração. Se houver desvio de qualidade (murchamento, amarelamento, presença de podridões), avaliar o descarte ou redirecionamento do lote afetado para outro fim (ex: processamento mínimo, se ainda seguro, ou descarte total se comprometido) [simulação];
Isolar e identificar o lote afetado [simulação];
Treinar novamente a equipe sobre os procedimentos de monitoramento e ajustes [simulação];","Planilhas de monitoramento de temperatura e umidade da câmara;
Registros de manutenção do equipamento de refrigeração;
Registros de descarte ou redirecionamento de lotes;
Relatórios de ações corretivas;","Revisão diária dos registros de monitoramento para garantir que os limites críticos foram mantidos [simulação];
Calibração periódica dos termômetros e higrômetros (semestralmente ou conforme especificação do fabricante) [simulação];
Auditorias internas e externas (se aplicável) para verificar a conformidade com o plano APPCC e a eficácia das medidas preventivas e corretivas [simulação];
Análise de dados históricos de temperatura e perdas por deterioração para identificar tendências e otimizar o controle [simulação];"
Estocagem da matéria-prima (câmara de refrigeração),Resíduos de defensivos agrícolas,Q,Níveis de resíduos de defensivos agrícolas: devem estar em conformidade com os Limites Máximos de Resíduos (LMRs) estabelecidos pela Agência Nacional de Vigilância Sanitária (ANVISA) e pelo Ministério da Agricultura e Pecuária e Abastecimento (MAPA) no Brasil.,"Documentação de origem (certificados, registros de aplicação), resultados de análises laboratoriais de resíduos de defensivos agrícolas.","Verificação documental na recepção de cada lote (certificados de análise, declarações do produtor sobre as práticas e defensivos utilizados);
Coleta de amostras e envio a laboratório credenciado para análise de resíduos (frequência baseada em análise de risco do fornecedor e histórico de conformidade) [simulação].","Na recepção de cada lote de matéria-prima (documentação); periodicamente, conforme plano de amostragem definido (análises laboratoriais) [simulação].",Responsável pelo recebimento da matéria-prima ou controle de qualidade [simulação].,"Retenção e Descarte: Reter o lote de alface que apresentar resíduos de defensivos agrícolas acima dos limites permitidos. Este lote deve ser descartado ou devolvido ao fornecedor, conforme contrato e legislação [simulação];
Investigação do Fornecedor: Comunicar o fornecedor e exigir uma investigação da causa do problema. Avaliar a continuidade do fornecimento com base nos resultados da investigação e nas ações corretivas do fornecedor [simulação];
Aumento da Frequência de Análises: Aumentar a frequência de análises para lotes futuros do mesmo fornecedor até que a conformidade seja comprovada [simulação];
Notificação: Notificar os órgãos competentes, se exigido pela legislação [simulação].","Registros de recebimento da matéria-prima, incluindo dados do fornecedor e certificações;
Laudos de análises laboratoriais de resíduos de defensivos agrícolas;
Registros de não conformidades (lotes reprovados);
Registros de ações corretivas tomadas (descarte, devolução, comunicação ao fornecedor).","Revisão periódica dos laudos de análises e registros de não conformidades;
Auditorias nos fornecedores para verificar a implementação das boas práticas agrícolas;
Revisão anual ou bienal do plano APPCC para garantir a eficácia das medidas de controle do perigo de resíduos de defensivos agrícolas [simulação];
Análise de tendências de conformidade dos fornecedores [simulação]."
Estocagem da matéria-prima (câmara de refrigeração),Fragmentos de gelo,F,Ausência de formação excessiva de gelo nas superfícies internas da câmara ou sobre o produto.,"Temperatura da câmara de refrigeração (para controlar a formação de gelo);
Presença de gelo acumulado nas superfícies da câmara ou sobre o produto.","Verificação visual periódica da formação de gelo na câmara (parede, teto, equipamentos);
Uso de termômetros calibrados para monitorar a temperatura da câmara [simulação].","Temperatura da câmara: A cada 2-4 horas (manual), ou continuamente com alarmes (automático) [simulação].
Condição das embalagens e gelo na câmara: A cada turno de trabalho ou na entrada/saída de lotes [simulação].","Funcionário responsável pelo armazenamento ou operador da câmara [simulação];
Profissional de controle de qualidade (para inspeções mais detalhadas) [simulação].","Ajustar imediatamente a temperatura da câmara para a faixa correta [simulação];
Se houver formação excessiva de gelo, iniciar processo de degelo manual ou forçado conforme o procedimento da câmara;
Verificar a causa da formação excessiva de gelo (ex: porta aberta, vedação, sensor);
Isolar e descartar qualquer alface que apresente sinais de congelamento ou contaminação por fragmentos de gelo [simulação].","Planilhas de monitoramento de temperatura da câmara [simulação];
Registros de inspeção de gelo na câmara [simulação];
Registros de inspeção de integridade das embalagens [simulação];
Relatórios de não conformidades (embalagens danificadas, gelo excessivo, produtos afetados) e ações corretivas;
Registros de manutenção dos equipamentos de refrigeração.","Revisão semanal ou quinzenal dos registros de monitoramento e ações corretivas para identificar tendências e assegurar a eficácia do controle [simulação];
Auditorias internas periódicas para verificar a conformidade com os procedimentos operacionais e o cumprimento dos limites críticos [simulação];
Análise de reclamações de clientes relacionadas a corpos estranhos ou danos por gelo [simulação];
Calibração anual dos termômetros e outros equipamentos de monitoramento [simulação]."
Estocagem da matéria-prima (câmara de refrigeração),Fragmentos de embalagem,F,Ausência de embalagens danificadas ou com partes soltas em contato com o produto.,Condição das embalagens (integridade),Verificação visual da integridade das embalagens de alface na entrada da câmara e durante a estocagem.,Condição das embalagens na câmara: A cada turno de trabalho ou na entrada/saída de lotes [simulação].,"Funcionário responsável pelo armazenamento ou operador da câmara [simulação];
Profissional de controle de qualidade (para inspeções mais detalhadas) [simulação].","Remover e descartar embalagens danificadas imediatamente [simulação];
Inspecionar o produto contido na embalagem danificada e, se contaminado, isolar e descartar o lote afetado [simulação];
Investigar a causa da danificação da embalagem (manuseio, empilhamento, qualidade da embalagem) [simulação];
Rever e reforçar o treinamento de manuseio de embalagens [simulação].","Planilhas de monitoramento de temperatura da câmara [simulação];
Registros de inspeção de gelo na câmara [simulação];
Registros de inspeção de integridade das embalagens [simulação];
Relatórios de não conformidades (embalagens danificadas, gelo excessivo, produtos afetados) e ações corretivas;
Registros de manutenção dos equipamentos de refrigeração.","Revisão semanal ou quinzenal dos registros de monitoramento e ações corretivas para identificar tendências e assegurar a eficácia do controle [simulação];
Auditorias internas periódicas para verificar a conformidade com os procedimentos operacionais e o cumprimento dos limites críticos [simulação];
Análise de reclamações de clientes relacionadas a corpos estranhos ou danos por gelo [simulação];
Calibração anual dos termômetros e outros equipamentos de monitoramento [simulação]."
"Recepção/seleção da matéria-prima (retiradas folhas externas, forma manual)",contaminação cruzada por mãos ou utensílios,B,"Mãos dos manipuladores: Ausência de sujidade visível e estar em conformidade com padrões microbiológicos após higienização;
Utensílios (facas): Ausência de sujidade visível e estar em conformidade com padrões microbiológicos após higienização e sanitização;
Ausência de matéria orgânica visível nas facas e superfícies de contato antes do uso.",Higiene das mãos dos trabalhadores; higiene e estado dos utensílios (facas); saúde dos trabalhadores.,"Mãos: Observação visual contínua da prática de lavagem de mãos e aplicação de antisséptico. Testes microbiológicos periódicos das mãos dos manipuladores (swabs) [simulação];
Utensílios: Inspeção visual antes e durante o uso para verificar a limpeza. Testes microbiológicos periódicos das superfícies dos utensílios [simulação];
Saúde: Verificação diária da saúde dos trabalhadores (questionário ou observação de sintomas).","Higiene das mãos: Continuamente, antes de iniciar o trabalho e após cada interrupção;
Utensílios: Antes de iniciar a seleção e após cada uso ou a cada 2 horas (manual), ou mais frequentemente se houver acúmulo de sujidade;
Saúde: No início de cada turno.","Supervisor da área ou líder de equipe [simulação];
Responsável pelo controle de qualidade [simulação].","Reinstruir e retreinar o trabalhador imediatamente sobre os procedimentos de higiene das mãos e utensílios [simulação];
Remover o trabalhador da atividade até que a conformidade seja garantida;
Higienizar e sanitizar novamente os utensílios;
Isolar e inspecionar o lote de alface que pode ter sido contaminado. Se a contaminação for provável e o risco alto, o descarte do lote pode ser necessário [simulação];
Trabalhador Doente/Lesionado: Afastar imediatamente o trabalhador da atividade e direcioná-lo para atendimento médico;
Reforço de Treinamento: Se a falha for recorrente, reforçar o treinamento de toda a equipe e revisar os procedimentos operacionais padrão (POP).","ichas de monitoramento da higiene das mãos e utensílios;
Registros de treinamento dos funcionários em higiene e boas práticas de manipulação;
Registros de saúde dos trabalhadores;
Registros de não conformidades e ações corretivas;
Laudos de análises microbiológicas (se realizadas).","Revisão semanal dos registros de monitoramento para garantir a aplicação consistente dos procedimentos [simulação];
Auditorias internas periódicas (mensal ou trimestral) para avaliar a conformidade geral com os padrões de higiene e eficácia do treinamento [simulação];
Análise de reclamações de clientes relacionadas à presença de sujidade ou doenças transmitidas por alimentos para identificar falhas no controle [simulação];
Calibração periódica de qualquer equipamento de medição de concentração de sanitizantes, se aplicável (não se aplica diretamente aqui, mas em etapas futuras de sanitização)."
"Recepção/seleção da matéria-prima (retiradas folhas externas, forma manual)",não identificado,Q,,,,,,,,
"Recepção/seleção da matéria-prima (retiradas folhas externas, forma manual)",não aplicável,F,,,,,,,,
Pré-lavagem (feita com sabão específico para vegetais),Contaminação cruzada por utensílios sujos ou água contaminada,B,"Água de pré-lavagem: Potável e em conformidade com os padrões de potabilidade (ausência de coliformes termotolerantes e outros patógenos);
Utensílios e superfícies de contato: Limpos e sanitizados, ausência de sujidade visível e matéria orgânica, e conformidade com padrões microbiológicos.",Qualidade da água de pré-lavagem; limpeza e estado dos utensílios e superfícies de contato.,"Análise microbiológica e físico-química da água utilizada na pré-lavagem (ex: cloro residual livre, pH, presença de coliformes termotolerantes) [simulação];
Inspeção visual de sujidade nos tanques, bancadas e outros utensílios antes e durante a operação. Testes microbiológicos periódicos de swab nas superfícies dos equipamentos e utensílios [simulação].","Diariamente (cloro residual livre, pH) e semanalmente/mensalmente (análises microbiológicas) [simulação];
Antes de iniciar o turno e a cada interrupção, ou a cada 2-4 horas durante a operação [simulação].","Operador da linha de pré-lavagem ou funcionário responsável pela higiene [simulação];
Laboratório interno ou externo (para análises da água e superfícies) [simulação].","Interromper imediatamente o uso da água contaminada;
Identificar a fonte da contaminação e implementar medidas corretivas (ex: filtração, cloração da fonte de água, manutenção do sistema de abastecimento);
Reter e descartar o lote de alface que foi pré-lavado com água contaminada, ou submetê-lo a um processo de higienização mais rigoroso, se possível e seguro, conforme avaliação de risco [simulação];
Limpar e sanitizar imediatamente os utensílios e superfícies;
Reforçar o treinamento dos funcionários sobre a importância da higiene dos equipamentos [simulação];
Se necessário, revisar e ajustar a frequência e os procedimentos de limpeza e sanitização.","Registros de monitoramento da qualidade da água (cloro, pH, laudos microbiológicos);
Fichas de limpeza e sanitização dos equipamentos e utensílios de pré-lavagem;
Registros de não conformidades (água/utensílios contaminados) e ações corretivas.","Revisão diária ou semanal dos registros de monitoramento para garantir a conformidade com os limites críticos [simulação];
Calibração periódica dos equipamentos de medição (ex: medidor de cloro, pHmetro) [simulação];
Auditorias internas para verificar a aderência aos procedimentos de pré-lavagem e higiene."
Pré-lavagem (feita com sabão específico para vegetais),Resíduo de sabão não alimentício,Q,"Sabão utilizado: Apenas produtos aprovados para contato com alimentos;
Alface após lavagem: Ausência de sabor ou odor residual de sabão.",Tipo de sabão utilizado; procedimentos de enxágue; características sensoriais da alface (odor/sabor) após lavagem.,"Tipo de sabão: Verificação da ficha técnica e do rótulo do produto de limpeza no momento da compra e do uso [simulação];
Procedimento: Observação diária dos funcionários durante a pré-lavagem e as lavagens subsequentes para garantir o enxágue adequado [simulação];
Sensorial: Realização de avaliação sensorial (olfativa e gustativa) em amostras de alface após a lavagem e centrifugação [simulação].","Tipo de sabão: No recebimento e antes de cada uso;
Procedimento: Diariamente, no início do turno e periodicamente durante a operação;
Sensorial: Aleatoriamente, em alguns lotes por turno [simulação].","Supervisor da área ou responsável pelo controle de qualidade [simulação];
Funcionários treinados para avaliação sensorial [simulação].","Sabão Inadequado: Interromper imediatamente o uso do sabão não alimentício ou não aprovado. Descartar todo o sabão inadequado;
Se for detectado resíduo de sabão na alface, realizar enxágues adicionais no lote afetado, se possível, para tentar remover os resíduos [simulação];
Se o resíduo persistir ou se a segurança do produto for comprometida, o lote deve ser retido e descartado [simulação];
Investigar a causa do resíduo (dosagem excessiva, tempo de enxágue insuficiente, problema no equipamento).","Fichas de verificação do produto de limpeza;
Planilhas de monitoramento da avaliação sensorial;
Registros de não conformidades (detecção de resíduos) e ações corretivas;
Registros de treinamento dos funcionários.","Revisão semanal dos registros de monitoramento para garantir a aplicação consistente das medidas preventivas [simulação];
Auditorias internas periódicas (mensal ou trimestral) para verificar a conformidade com os POPs de pré-lavagem e a seleção de produtos químicos [simulação];
Análise de dados de reclamações de clientes relacionadas a sabor ou odor estranho no produto [simulação]."
Pré-lavagem (feita com sabão específico para vegetais),não  identificado,F,Não aplicável (perigo não significativo),Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Não aplicável,
