etapa,codigo,perigos,justificativa,probabilidade,severidade,risco,medidas preventivas,o perigo é significativo?
Recepção de Matérias-Primas,B,"Contaminação por pragas (insetos, fungos, roedores)","A farinha deve ser estocada em local adequado para evitar a infestação de insetos, fungos e roedores.",Média,Média,Médio,A farinha deve ser passada por peneira de 30 mesh antes da mistura para verificar a presença de partículas estranhas.,Sim
Recepção de Matérias-Primas,Q,Resíduos de produtos de limpeza ou saneantes,"A embalagem pode ser contaminada se o veículo de transporte não for higienizado corretamente, deixando resíduos químicos.",Baixa,Média,Médio,Adotar um programa de seleção de fornecedores que garantam a correta higienização dos veículos de transporte.,Não
Recepção de Matérias-Primas,F,"Fragmentos de sacarias (fiapos de juta, barbante)",Fragmentos de sacarias podem se soltar durante o manuseio e cair na matéria-prima.,Média,Baixa,Médio,Inspeção visual da matéria-prima e das embalagens no recebimento. Retirar as embalagens externas em uma área isolada antes de transferir a matéria-prima para o estoque.,Não
Pesagem,B,Não identificado,,,,,,
Pesagem,Q,Contaminação por resíduos de lubrificantes ou saneantes,"A balança e os utensílios de pesagem, se não forem limpos e mantidos adequadamente, podem transferir resíduos químicos para o produto.",Baixa,Baixa,Médio,Realizar a higienização regular da balança e utensílios. Usar lubrificantes de grau alimentício nos equipamentos.,Não
Pesagem,F,Fragmentos plásticos de utensílios,O desgaste de utensílios plásticos utilizados na pesagem pode gerar fragmentos que se misturam aos ingredientes.,Baixa,Baixa,Médio,Inspecionar e substituir utensílios danificados.,Não
Mistura,B,Contaminação por manipuladores ou ambiente,A má higiene e comportamento do manipulador podem contaminar a massa. A falta de limpeza do equipamento também é um risco.,Baixa,Baixa,Médio,Higiene pessoal e das mãos dos manipuladores. Higienização adequada do equipamento e utensílios. Uso de uniformes.,Não
Mistura,Q,Contaminação com lubrificantes da batedeira,Gotículas de óleo ou graxa da batedeira podem cair na massa durante o processo de mistura.,Baixa,Média,Médio,Utilizar lubrificantes de grau alimentício. Realizar manutenção preventiva dos equipamentos para evitar vazamentos.,Não
Mistura,F,"Fragmentos de metal (parafusos, lascas) da batedeira",Peças e parafusos da batedeira podem se soltar devido ao desgaste e se misturarem à massa.,Baixa,Alta,Alto,Realizar manutenção preventiva e periódica dos equipamentos. Inspecionar visualmente a batedeira antes de cada uso.,Sim
Formação,B,Crescimento de bolores (mofo),O excesso de umidade na massa pode propiciar o crescimento de microrganismos indesejados.,Baixa,Baixa,Médio,Manter a temperatura ambiente adequada (abaixo de 35°C) e controlar a umidade (acima de 60%).,Não
Formação,Q,Contaminação por lubrificantes da laminadora,O contato da massa com partes lubrificadas da laminadora pode causar contaminação química.,Baixa,Baixa,Médio,Utilizar lubrificantes de grau alimentício nos equipamentos de laminação.,Não
Formação,F,Fragmentos de metal do cilindro ou rolos,O atrito e o desgaste dos rolos de metal podem gerar pequenas lascas que se incorporam à massa durante a laminação.,Baixa,Alta,Alto,Inspecionar regularmente os rolos e cilindros para detectar sinais de desgaste. Realizar manutenção preventiva para evitar falhas mecânicas.,Sim
Forneamento,B,Sobrevivência de microrganismos patogênicos e deteriorantes,O tratamento térmico deve ser suficiente para eliminar microrganismos patogênicos. Temperaturas insuficientes no centro do alimento são um risco.,Baixa,Alta,Alto,Garantir que todas as partes do alimento atinjam no mínimo 70°C. Monitorar a temperatura do forno e o tempo de cozimento.,Sim
Forneamento,Q,Resíduos de produtos de limpeza ou fumaça,Fumaça tóxica de lubrificantes ou resíduos de limpeza na câmara do forno podem contaminar o produto assado.,Baixa,Média,Médio,Realizar a limpeza e manutenção periódica do forno. Utilizar apenas produtos de limpeza aprovados para uso em superfícies de contato com alimentos.,Não
Forneamento,F,Fragmentos de luminárias ou peças de equipamentos,Peças do forno (como lâmpadas ou isolamento) podem se soltar e cair sobre os biscoitos durante o forneamento.,Baixa,Alta,Alto,Realizar a manutenção preventiva do forno. As luminárias devem ser dotadas de sistema de proteção contra quedas.,Sim
Resfriamento,B,Proliferação de bolores,"O resfriamento lento permite que a umidade se condense na superfície do produto, criando um ambiente ideal para o crescimento de bolores.",Média,Baixa,Médio,"Resfriar os biscoitos em ambientes limpos, arejados e livres de odores estranhos. A embalagem deve ser feita somente após o resfriamento completo.",Não
Resfriamento,Q,Não identificado,,,,,,
Resfriamento,F,Poeira com partículas metálicas ou de insetos,O resfriamento em ambiente não controlado ou com ventilação sem filtro de ar pode depositar poeira e partículas estranhas sobre o produto.,Média,Baixa,Médio,Utilizar fluxo de ar filtrado para acelerar o processo. Manter a área de resfriamento fechada e com higiene rigorosa.,Não
Embalagem,B,Crescimento de bolores,"Embalar o produto ainda morno causa condensação de umidade, o que propicia o crescimento de bolores.",Baixa,Baixa,Médio,"Embalar os produtos somente quando estiverem completamente frios, a aproximadamente 30°C.",Não
Embalagem,Q,Resíduos de tinta ou plásticos da embalagem,A embalagem pode conter resíduos químicos devido a um processo de fabricação ou armazenamento inadequado.,Baixa,Baixa,Médio,Adquirir embalagens de fornecedores confiáveis e inspecionar a qualidade e integridade do material.,Não
Embalagem,F,"Grampos, fitas de metal ou plástico quebrados",O manuseio da embaladora pode fazer com que partes da máquina ou dos materiais de fechamento caiam no produto.,Baixa,Média,Médio,Realizar a manutenção preventiva da máquina de embalagem. Inspecionar o produto final antes do fechamento da embalagem.,Não
Expedição e Venda,B,Contaminação por manipulação ou pragas,"A exposição a umidade relativa acima de 40% faz com que o biscoito absorva água, perdendo a característica crocante e se tornando propício para o crescimento de microrganismos.",Média,Baixa,Médio,"Manter o produto em embalagens que o protejam da umidade, oxigênio e luz. Expor produtos em vitrines fechadas, protegidas de poeira, insetos e manuseio direto do consumidor.",Não
Expedição e Venda,Q,Resíduos de produtos de limpeza,"A limpeza da vitrine ou área de venda pode contaminar os biscoitos expostos, caso não haja proteção ou o produto seja borrifado acidentalmente.",Baixa,Média,Médio,Utilizar produtos de limpeza apropriados e realizar a higienização da área de venda com os produtos protegidos ou removidos da vitrine.,Não
Expedição e Venda,F,Poeira e objetos estranhos,"O ambiente de venda pode conter poeira, cabelos ou outros objetos estranhos que se depositam sobre o produto, principalmente se este não estiver embalado ou protegido.",Média,Baixa,Médio,"Manter os biscoitos em embalagens ou vitrines fechadas. A área de venda deve ter uma limpeza e higienização rigorosas, com funcionários treinados.",Não
