etapa,perigos,tipo,limite_critico,monitoramento_oque,monitoramento_como,monitoramento_quando,monitoramento_quem,acao_corretiva,registro,verificacao
Recepção de Matérias-Primas,"Contaminação por pragas (insetos, fungos, roedores)",B,"Ausência de microrganismos patogênicos (ex. Salmonella, E. coli) e pragas",Condições higiênico-sanitárias da matéria-prima e do ambiente,Inspeção visual e verificação de laudos de qualidade,No recebimento de cada lote,Funcionário responsável pelo recebimento,Rejeição do lote não-conforme,Planilha de controle de recebimento,Revisão periódica dos registros e laudos.
Recepção de Matérias-Primas,Resíduos de produtos de limpeza ou saneantes,Q,Ausência de substâncias químicas não permitidas,Integridade e limpeza da embalagem,Análise da documentação do fornecedor e inspeção visual,No recebimento de cada lote,Funcionário responsável pelo recebimento,Rejeição ou devolução do lote não-conforme,Planilha de controle de recebimento,Revisão periódica dos registros e inspeção do local.
Recepção de Matérias-Primas,"Fragmentos de sacarias (fiapos de juta, barbante)",F,Ausência de perigos físicos visíveis,Integridade e limpeza da embalagem,Inspeção visual,No recebimento de cada lote,Funcionário responsável pelo recebimento,Rejeição ou devolução do lote não-conforme,Planilha de controle de recebimento,Revisão periódica dos registros.
Pesagem,Contaminação por resíduos de saneantes ou lubrificantes,Q,Ausência de resíduos químicos visíveis na balança e utensílios,Limpeza da balança e utensílios,Inspeção visual antes de cada uso,Antes do início da pesagem,Funcionário responsável pela produção,Higienização imediata dos equipamentos e utensílios,Planilha de controle de higienização,Inspeção periódica do procedimento.
Pesagem,Fragmentos plásticos de utensílios,F,Ausência de fragmentos plásticos,Integridade física dos utensílios,Inspeção visual,Antes do início da pesagem,Funcionário responsável pela produção,Substituição imediata dos utensílios danificados,Relatório de manutenção,Inspeção periódica dos equipamentos e utensílios.
Mistura,Contaminação por manipuladores ou ambiente,B,Ausência de contaminação por manipuladores e ambientes,Higiene do manipulador e limpeza do ambiente/equipamento,Inspeção visual,A cada troca de turno e antes de cada operação,Funcionário responsável pela produção,Rejeição da massa e repetição do procedimento de higienização,Planilha de controle de produção,Revisão periódica dos registros.
Mistura,Contaminação com lubrificantes da batedeira,Q,Ausência de resíduos de lubrificantes,Condições de manutenção da batedeira,Inspeção visual,Diariamente antes do uso,Funcionário responsável pela produção,Parada imediata do equipamento para manutenção,Planilha de manutenção preventiva,Revisão periódica dos registros de manutenção.
Mistura,"Fragmentos de metal (parafusos, lascas) da batedeira",F,Ausência de perigos físicos,Integridade da batedeira,Inspeção visual,Diariamente antes do uso,Funcionário responsável pela produção,Parada imediata do equipamento para manutenção,Planilha de manutenção preventiva,Revisão periódica dos registros de manutenção.
Formação,Crescimento de bolores (mofo),B,Ausência de bolores e umidade excessiva na massa,Umidade e temperatura ambiente,Inspeção visual,Durante a formação,Funcionário responsável pela produção,Ajuste das condições ambientais e descarte da massa afetada,Planilha de controle de umidade e temperatura,Revisão periódica dos registros.
Formação,Contaminação por lubrificantes da laminadora,Q,Ausência de resíduos de lubrificantes,Condições de manutenção da laminadora,Inspeção visual,Diariamente antes do uso,Funcionário responsável pela produção,Parada imediata do equipamento para manutenção,Planilha de manutenção preventiva,Revisão periódica dos registros de manutenção.
