etapa,codigo,perigos,justificativa,probabilidade,severidade,risco,medidas preventivas,o perigo é significativo?
Recepção de Ingredientes,B,Contaminação por microrganismos (patogênicos e deteriorantes),"Matérias-primas como ovos podem estar contaminadas com microrganismos perigosos, especialmente se forem de origem clandestina [cite: 235].",Média,Alta,Médio,"Selecionar fornecedores confiáveis e inspecionar a qualidade e integridade dos ingredientes na recepção[cite: 834, 835].",Sim
Recepção de Ingredientes,Q,Resíduos de agrotóxicos ou saneantes,Ingredientes de origem agrícola podem conter resíduos de agrotóxicos. Veículos de transporte podem deixar resíduos de produtos de limpeza.,Média,Alta,Médio,Aprovar fornecedores que comprovem o controle de resíduos químicos. Inspecionar o produto e as condições de transporte[cite: 854].,Sim
Recepção de Ingredientes,F,"Objetos estranhos (metal, vidro, pedras, plástico)","Objetos estranhos podem ser introduzidos durante a colheita, processamento inicial ou embalagem do fornecedor[cite: 108].",Média,Alta,Médio,Inspeção visual dos ingredientes. Utilizar peneiras para farinhas e outros ingredientes secos. Recusar embalagens danificadas[cite: 867].,Sim
Pesagem,B,Não identificado,,,,,,
Pesagem,Q,Contaminação por resíduos de saneantes ou aditivos,"A balança e os utensílios de pesagem, se não forem limpos e mantidos adequadamente, podem transferir resíduos químicos para o produto.",Baixa,Média,Médio,Realizar a higienização regular da balança e utensílios. A balança deve ser calibrada para garantir a dosagem correta[cite: 963].,Não
Pesagem,F,Não identificado,,,,,,
Mistura,B,Contaminação por manipuladores ou ambiente,"A má higiene e comportamento do manipulador podem contaminar a massa. A falta de limpeza do equipamento também é um risco[cite: 580, 581].",Baixa,Baixa,Médio,Higiene pessoal e das mãos dos manipuladores. Higienização adequada do equipamento e utensílios. Uso de uniformes[cite: 587].,Não
Mistura,Q,Contaminação por lubrificantes da batedeira,"Gotículas de óleo ou graxa da batedeira podem cair na massa durante o processo de mistura, pois alguns produtos químicos são tóxicos[cite: 293].",Baixa,Média,Médio,Utilizar lubrificantes de grau alimentício. Realizar manutenção preventiva dos equipamentos para evitar vazamentos.,Não
Mistura,F,Fragmentos de metal ou plástico da batedeira,O desgaste e a quebra de peças da batedeira podem gerar fragmentos que se misturam à massa.,Baixa,Alta,Alto,Realizar manutenção preventiva e periódica dos equipamentos para evitar o desprendimento de peças[cite: 708]. Inspecionar visualmente o equipamento antes de cada uso.,Sim
Enformagem,B,Contaminação por manipuladores ou superfícies,A falta de higiene das mãos dos manipuladores e das formas pode introduzir microrganismos na massa.,Baixa,Baixa,Médio,Higienizar as mãos e as formas antes da enformagem. Assegurar que as formas estejam limpas e secas.,Não
Enformagem,Q,Não identificado,,,,,,
Enformagem,F,Não identificado,,,,,,
Forneamento,B,Sobrevivência de microrganismos,A temperatura inadequada no centro do produto pode não ser suficiente para eliminar todos os microrganismos patogênicos [cite: 1062].,Baixa,Alta,Alto,Garantir que a temperatura mínima de cozimento seja atingida em todas as partes do bolo (mínimo 70°C)[cite: 1063].,Sim
Forneamento,Q,Resíduos de produtos de limpeza ou fumaça,"Resíduos de produtos de limpeza ou fumaça de resíduos queimados no forno podem contaminar o produto assado[cite: 294, 295].",Baixa,Média,Médio,Realizar a limpeza e manutenção periódica do forno. Utilizar apenas produtos de limpeza aprovados e enxaguar bem as superfícies.,Não
Forneamento,F,Fragmentos de luminárias ou peças de equipamentos,Peças do forno (como lâmpadas ou isolamento) podem se soltar e cair sobre os bolos durante o forneamento [cite: 428].,Baixa,Alta,Alto,As luminárias devem ser dotadas de sistema de proteção contra quedas e explosões[cite: 428]. Realizar a manutenção preventiva dos equipamentos.,Sim
Resfriamento,B,Proliferação de bolores,"O resfriamento lento permite que a umidade se condense na superfície do produto, criando um ambiente ideal para o crescimento de bolores[cite: 2482, 1101].",Média,Baixa,Médio,"Resfriar os bolos rapidamente em ambientes limpos, arejados e livres de odores estranhos. Utilizar grades ou suportes para permitir a circulação de ar[cite: 2482].",Não
Resfriamento,Q,Não identificado,,,,,,
Resfriamento,F,Poeira e partículas do ar,O resfriamento em ambiente não controlado ou com ventilação sem filtro pode depositar poeira e partículas estranhas sobre o produto[cite: 2304].,Média,Baixa,Médio,Manter a área de resfriamento fechada e com higiene rigorosa. Usar fluxo de ar filtrado se possível[cite: 2306].,Não
Recheio e/ou Cobertura,B,"Contaminação por microrganismos (ovos crus, laticínios)","Ingredientes como ovos, cremes e laticínios, que não são submetidos a tratamento térmico, podem conter microrganismos perigosos [cite: 1052].",Média,Alta,Médio,Utilizar ovos pasteurizados ou em pó em preparações que não serão cozidas (como mousses e cremes)[cite: 1052]. Manter a temperatura de refrigeração para cremes e coberturas abaixo de 5°C.,Sim
Recheio e/ou Cobertura,Q,Não identificado,,,,,,
Recheio e/ou Cobertura,F,"Objetos estranhos (fragmentos de casca, fios de cabelo)",Fragmentos de casca de ovo ou outros objetos estranhos podem ser introduzidos durante o preparo dos recheios e coberturas.,Média,Baixa,Médio,Treinar manipuladores em higiene pessoal. Inspecionar os ingredientes antes do uso.,Não
Embalagem,B,Crescimento de bolores,"Embalar o produto ainda morno causa condensação de umidade, que propicia o crescimento de bolores e a perda de qualidade do produto [cite: 2482].",Baixa,Baixa,Médio,Embalar os bolos somente quando estiverem completamente frios[cite: 2482].,Não
Embalagem,Q,Não identificado,,,,,,
Embalagem,F,Não identificado,,,,,,
Expedição e Venda,B,Contaminação por manipulação inadequada ou pragas,"O bolo pode ser contaminado por manipuladores, pragas ou falta de proteção no ponto de venda. Produtos recheados ou com cobertura de creme são frequentemente envolvidos em surtos de doenças alimentares [cite: 1276].",Média,Moderada,,"Expor produtos em vitrines fechadas, a uma temperatura segura[cite: 1259, 1260]. Utilizar utensílios específicos para o manuseio. Treinar colaboradores em boas práticas de higiene e manuseio.",Sim
Expedição e Venda,Q,Não identificado,,,,,,
Expedição e Venda,F,Não identificado,,,,,,
