etapa,perigos,codigo,limite_critico,monitoramento_oque,monitoramento_como,monitoramento_quando,monitoramento_quem,acao_corretiva,registro,verificacao
Recepção de Ingredientes,Contaminação por microrganismos (patogênicos e deteriorantes),B,Ausência de microrganismos patogênicos e níveis aceitáveis de deteriorantes,Condições higiênico-sanitárias da matéria-prima e dos manipuladores,Inspeção visual e verificação de laudos de qualidade,No recebimento de cada lote,Funcionário responsável pela qualidade,Rejeição do lote não-conforme e/ou repetição da higienização,Planilha de controle da etapa Recepção de Ingredientes,Revisão periódica dos registros e laudos
Recepção de Ingredientes,Resíduos de agrotóxicos ou saneantes,Q,Ausência de substâncias não permitidas e/ou dentro dos limites legais,Integridade da embalagem e documentação do fornecedor,Análise da documentação do fornecedor e inspeção do rótulo,No recebimento de cada lote,Funcionário responsável pela qualidade,Rejeição ou devolução do lote não-conforme,Planilha de controle da etapa Recepção de Ingredientes,Revisão periódica dos registros e laudos
Recepção de Ingredientes,"Objetos estranhos (vidro, metal, pedras, plástico)",F,Ausência de perigos físicos visíveis,"Integridade e limpeza da embalagem, e ausência de perigos físicos na matéria-prima",Inspeção visual,No recebimento de cada lote,Funcionário responsável pela qualidade,Rejeição ou devolução do lote não-conforme,Planilha de controle da etapa Recepção de Ingredientes,Revisão periódica dos registros e inspeção do local
Pesagem,Não identificado,B,,,,,,,,
Pesagem,Contaminação por resíduos de saneantes ou lubrificantes,Q,Ausência de substâncias não permitidas e/ou dentro dos limites legais,Integridade da embalagem e documentação do fornecedor,Análise da documentação do fornecedor e inspeção do rótulo,No recebimento de cada lote,Funcionário responsável pela qualidade,Rejeição ou devolução do lote não-conforme,Planilha de controle da etapa Pesagem,Revisão periódica dos registros e laudos
Pesagem,Fragmentos plásticos de utensílios,F,Ausência de perigos físicos visíveis,"Integridade e limpeza da embalagem, e ausência de perigos físicos na matéria-prima",Inspeção visual,No recebimento de cada lote,Funcionário responsável pela qualidade,Rejeição ou devolução do lote não-conforme,Planilha de controle da etapa Pesagem,Revisão periódica dos registros e laudos
Mistura,Contaminação por manipuladores ou ambiente,B,Ausência de microrganismos patogênicos e níveis aceitáveis de deteriorantes,Condições higiênico-sanitárias do(s) Contaminação por manipuladores ou ambiente e dos manipuladores,Inspeção visual e verificação de laudos de qualidade,No recebimento de cada lote e/ou durante o processo,Funcionário responsável pela qualidade,Rejeição do lote não-conforme e/ou repetição da higienização,Planilha de controle da etapa Mistura,Revisão periódica dos registros e laudos
Mistura,Contaminação por lubrificantes da batedeira,Q,Ausência de substâncias não permitidas e/ou dentro dos limites legais,Integridade da embalagem e documentação do fornecedor,Análise da documentação do fornecedor e inspeção do rótulo,No recebimento de cada lote e/ou durante o processo,Funcionário responsável pela qualidade,Rejeição ou devolução do lote não-conforme,Planilha de controle da etapa Mistura,Revisão periódica dos registros e laudos
Mistura,"Fragmentos de metal (parafusos, lascas) da batedeira",F,Ausência de perigos físicos visíveis,"Integridade e limpeza da embalagem, e ausência de perigos físicos na matéria-prima",Inspeção visual,No recebimento de cada lote e/ou durante o processo,Funcionário responsável pela qualidade,Rejeição ou devolução do lote não-conforme,Planilha de controle da etapa Mistura,Revisão periódica dos registros e laudos
Enformagem,Contaminação por manipuladores ou superfícies,B,Ausência de microrganismos patogênicos e níveis aceitáveis de deteriorantes,Condições higiênico-sanitárias do(s) Contaminação por manipuladores ou superfícies e dos manipuladores,Inspeção visual e verificação de laudos de qualidade,No recebimento de cada lote e/ou durante o processo,Funcionário responsável pela qualidade,Rejeição do lote não-conforme e/ou repetição da higienização,Planilha de controle da etapa Enformagem,Revisão periódica dos registros e laudos
Enformagem,Não identificado,Q,,,,,,,,
Enformagem,Não identificado,F,,,,,,,,
Forneamento,Sobrevivência de microrganismos,B,Ausência de microrganismos patogênicos e níveis aceitáveis de deteriorantes,Condições higiênico-sanitárias do(s) Sobrevivência de microrganismos e dos manipuladores,Inspeção visual e verificação de laudos de qualidade,No recebimento de cada lote e/ou durante o processo,Funcionário responsável pela qualidade,Rejeição do lote não-conforme e/ou repetição da higienização,Planilha de controle da etapa Forneamento,Revisão periódica dos registros e laudos
Forneamento,Resíduos de produtos de limpeza ou fumaça,Q,Ausência de substâncias não permitidas e/ou dentro dos limites legais,Integridade da embalagem e documentação do fornecedor,Análise da documentação do fornecedor e inspeção do rótulo,No recebimento de cada lote e/ou durante o processo,Funcionário responsável pela qualidade,Rejeição ou devolução do lote não-conforme,Planilha de controle da etapa Forneamento,Revisão periódica dos registros e laudos
Forneamento,Fragmentos de luminárias ou peças de equipamentos,F,Ausência de perigos físicos visíveis,"Integridade e limpeza da embalagem, e ausência de perigos físicos na matéria-prima",Inspeção visual,No recebimento de cada lote e/ou durante o processo,Funcionário responsável pela qualidade,Rejeição ou devolução do lote não-conforme,Planilha de controle da etapa Forneamento,Revisão periódica dos registros e laudos
Resfriamento,Proliferação de bolores,B,Ausência de microrganismos patogênicos e níveis aceitáveis de deteriorantes,Condições higiênico-sanitárias do(s) Proliferação de bolores e dos manipuladores,Inspeção visual e verificação de laudos de qualidade,No recebimento de cada lote e/ou durante o processo,Funcionário responsável pela qualidade,Rejeição do lote não-conforme e/ou repetição da higienização,Planilha de controle da etapa Resfriamento,Revisão periódica dos registros e laudos
Resfriamento,Não identificado,Q,,,,,,,,
Resfriamento,Poeira e partículas do ar,F,Ausência de perigos físicos visíveis,"Integridade e limpeza da embalagem, e ausência de perigos físicos na matéria-prima",Inspeção visual,No recebimento de cada lote e/ou durante o processo,Funcionário responsável pela qualidade,Rejeição ou devolução do lote não-conforme,Planilha de controle da etapa Resfriamento,Revisão periódica dos registros e laudos
Recheio e/ou Cobertura,"Contaminação por microrganismos (ovos crus, laticínios)",B,Ausência de microrganismos patogênicos e níveis aceitáveis de deteriorantes,Condições higiênico-sanitárias do(s) Contaminação por microrganismos e dos manipuladores,Inspeção visual e verificação de laudos de qualidade,No recebimento de cada lote e/ou durante o processo,Funcionário responsável pela qualidade,Rejeição do lote não-conforme e/ou repetição da higienização,Planilha de controle da etapa Recheio e/ou Cobertura,Revisão periódica dos registros e laudos
Recheio e/ou Cobertura,Não identificado,Q,,,,,,,,
Recheio e/ou Cobertura,Não identificado,F,,,,,,,,
Embalagem,Crescimento de bolores,B,Ausência de microrganismos patogênicos e níveis aceitáveis de deteriorantes,Condições higiênico-sanitárias do(s) Crescimento de bolores e dos manipuladores,Inspeção visual e verificação de laudos de qualidade,No recebimento de cada lote e/ou durante o processo,Funcionário responsável pela qualidade,Rejeição do lote não-conforme e/ou repetição da higienização,Planilha de controle da etapa Embalagem,Revisão periódica dos registros e laudos
Embalagem,Não identificado,Q,,,,,,,,
Embalagem,Não identificado,F,,,,,,,,
Expedição e Venda,Contaminação por manipulação inadequada ou pragas,B,Ausência de microrganismos patogênicos e níveis aceitáveis de deteriorantes,Condições higiênico-sanitárias do(s) Contaminação por manipulação inadequada ou pragas e dos manipuladores,Inspeção visual e verificação de laudos de qualidade,No recebimento de cada lote e/ou durante o processo,Funcionário responsável pela qualidade,Rejeição do lote não-conforme e/ou repetição da higienização,Planilha de controle da etapa Expedição e Venda,Revisão periódica dos registros e laudos
Expedição e Venda,Não identificado,Q,,,,,,,,
Expedição e Venda,Não identificado,F,,,,,,,,
