"etapa","codigo","perigos","justificativa","probabilidade","severidade","risco","medidas preventivas","o perigo é significativo?"
"Recepção e descanso do gado","Q","Resíduos de antibióticos ou hormônios","Uso inadequado de medicamentos veterinários no gado, com desrespeito ao tempo de carência.","Baixa","Alta","Médio","Verificação da documentação do gado, controle de fornecedores, inspeção veterinária rigorosa.","Sim"
"Recepção e descanso do gado","F","Não identificado","","","","","",""
"Recepção e descanso do gado","B","Contaminação por E. coli, Salmonella ou outros patógenos","O gado pode ser portador de patógenos em seu trato gastrointestinal. A contaminação pode ocorrer por estresse, ambiente sujo ou contato com outros animais.","Média","Alta","Alto","Boas práticas de manejo pré-abate, inspeção veterinária, controle de densidade de animais, limpeza e sanitização das áreas de descanso.","Sim"
"Banho de aspersão","B","Contaminação da água utilizada no banho","A água suja pode espalhar patógenos para a superfície da carcaça, aumentando a carga microbiana.","Média","Média","Médio","Uso de água potável ou limpa, monitoramento da qualidade da água, manutenção adequada dos bicos de aspersão.","Sim"
"Banho de aspersão","F","Não identificado","","","","","",""
"Banho de aspersão","Q","Resíduos de produtos de limpeza","Resíduos de produtos químicos de limpeza e sanitização podem contaminar a água e, consequentemente, a carcaça.","Baixa","Baixa","Baixo","Uso de produtos aprovados para contato com alimentos, enxágue rigoroso dos equipamentos e das áreas de aspersão, controle da dosagem.","Não"
"Insensibilização","Q","Não identificado","","","","","",""
"Insensibilização","B","Contaminação cruzada","O contato da ferramenta de insensibilização com o animal e, posteriormente, com a carcaça, pode transferir patógenos.","Baixa","Média","Baixo","Higienização e sanitização adequadas das ferramentas e equipamentos, controle rigoroso da higiene do pessoal.","Não"
"Insensibilização","F","Fragmentos de metal","Desgaste de ferramentas ou pistolas de insensibilização pode gerar pequenos fragmentos metálicos.","Baixa","Alta","Médio","Manutenção preventiva das ferramentas, inspeção visual, uso de detectores de metal na linha de produção.","Sim"
"Sangria","Q","Resíduos de medicamentos","Possível presença de resíduos de medicamentos veterinários na corrente sanguínea do animal.","Baixa","Alta","Médio","Verificação do tempo de carência do gado, controle de fornecedores, rastreabilidade.","Sim"
"Sangria","B","Contaminação por contato com a pele","A incisão para sangria pode carregar microrganismos da pele do animal para a corrente sanguínea e, posteriormente, para a carne.","Média","Média","Médio","Limpeza e sanitização da pele da área da incisão, uso de facas esterilizadas, treinamento e supervisão do pessoal.","Sim"
"Sangria","F","Não identificado","","","","","",""
"Esfola","Q","Não identificado","","","","","",""
