etapa,perigos,codigo,limite_critico,monitoramento_oque,monitoramento_como,monitoramento_quando,monitoramento_quem,acao_corretiva,registro,verificacao
Recepção e Armazenamento,Proliferação de bolores e leveduras,B,Umidade e temperatura controladas; Ausência de bolores visíveis,Temperatura e umidade do ambiente,Termo-higrômetro,Diariamente,Operador de estoque,Ajustar a climatização e descartar matéria-prima danificada,Registro de Controle de Armazenamento,Revisão dos registros de temperatura e umidade
Recepção e Armazenamento,Resíduos de agrotóxicos,Q,Valores de resíduos abaixo dos limites máximos (LMR),Nível de resíduos de agrotóxicos,Análise laboratorial do laudo do fornecedor,Por lote de matéria-prima,Técnico de laboratório,Rejeitar o lote de matéria-prima e notificar o fornecedor,Ficha de Análise de Matéria-Prima,Revisão dos relatórios de análise
Recepção e Armazenamento,"Objetos estranhos (metal, vidro, pedra)",F,Ausência de objetos estranhos,Presença de objetos estranhos,Inspeção visual,No recebimento do lote,Operador de estoque,"Remover o contaminante e, se necessário, rejeitar o lote",Ficha de Inspeção de Matéria-Prima,Treinamento dos operadores de recebimento
Moagem do Malte,Contaminação por microrganismos,B,Ausência de crescimento microbiano em superfícies de contato,Limpeza e sanitização do moinho,Análise por swab de superfícies de contato,Antes de iniciar a produção,Operador de moagem,"Parar a moagem, limpar e sanitizar novamente o moinho",Registro de Saneamento do Equipamento,Revisão dos resultados de swab
Moagem do Malte,Contaminação por lubrificantes,Q,Ausência de vazamentos e uso de lubrificantes de grau alimentício,Integridade do moinho e tipo de lubrificante,Inspeção visual e verificação do tipo de lubrificante,Diariamente,Técnico de manutenção,Substituir o lubrificante ou reparar o vazamento. Descartar o malte contaminado.,Registro de Manutenção Preventiva,Revisão dos registros de manutenção
Moagem do Malte,Fragmentos de metal,F,Ausência de fragmentos de metal no malte moído,Desgaste do moinho,Inspeção visual e uso de ímãs,Diariamente,Operador de moagem,"Parar a moagem, remover o fragmento e inspecionar o equipamento",Registro de Inspeção do Equipamento,Manutenção preventiva do equipamento
Mostura,Contaminação bacteriana,B,Manutenção da temperatura de mostura (> 62°C),Temperatura da mostura,Medição por termômetro calibrado,Continuamente,Mestre Cervejeiro,Ajustar a temperatura do sistema. Descartar o lote se fora dos limites críticos,Registro de Mostura,Calibração dos termômetros. Revisão dos registros
Mostura,Resíduos de produtos de limpeza,Q,Ausência de resíduos de saneantes,Enxágue do tanque de mostura,Verificação por condutividade ou pH,Antes de cada mostura,Operador de linha,Refazer o ciclo de enxágue e reanalisar,Ficha de Verificação de Saneamento,Validação do ciclo de limpeza
Mostura,Não identificado,F,,,,,,,,
Fervura,Contaminação bacteriana,B,Tempo e temperatura de fervura adequados,Tempo e temperatura de fervura,Medição por termômetro calibrado,Continuamente,Mestre Cervejeiro,Ajustar os parâmetros de fervura,Registro de Fervura,Validação do processo de fervura
Fervura,Não identificado,Q,,,,,,,,
Fervura,Não identificado,F,,,,,,,,
Resfriamento e Aeração,Contaminação por microrganismos patógenos,B,Temperatura de resfriamento e sanitização do trocador de calor,Temperatura do mosto e sanitização do trocador de calor,Medição por termômetro calibrado e testes de swab,Continuamente e antes da produção,Mestre Cervejeiro,Ajustar a temperatura de resfriamento. Refazer o saneamento do trocador de calor,Registro de Resfriamento,Calibração do termômetro. Revisão dos resultados de swab
Resfriamento e Aeração,Resíduos de produtos de limpeza,Q,Ausência de resíduos,Enxágue do trocador de calor,Verificação por condutividade ou pH,Antes de cada resfriamento,Operador de linha,Refazer o ciclo de enxágue,Ficha de Verificação de Saneamento,Validação do ciclo de limpeza
Resfriamento e Aeração,Não identificado,F,,,,,,,,
Fermentação,Contaminação por leveduras selvagens,B,Viabilidade da levedura e controle de sanitização do fermentador,Contagem de células e sanitização do fermentador,Análise laboratorial e testes de swab,No pitch e antes de usar o fermentador,Técnico de laboratório,Descartar o fermentador e limpar/sanitizar novamente,Registro de Fermentação,Revisão dos registros de contagem de células e sanitização
Fermentação,Contaminação por lubrificantes,Q,Ausência de vazamentos,Integridade das peças,Inspeção visual,Diariamente,Técnico de manutenção,Reparar vazamentos. Descartar o lote,Registro de Manutenção,Revisão dos registros de manutenção
Fermentação,Fragmentos de metal ou plástico,F,Ausência de objetos estranhos,Integridade do fermentador e suas conexões,Inspeção visual,Antes de usar,Operador de linha,"Parar a linha, remover o fragmento, inspecionar o equipamento",Registro de Inspeção,Treinamento dos operadores
Filtração e Envasamento,Contaminação por patógenos,B,Ausência de patógenos no produto final,Esterilidade da linha de filtração e envase,Análise microbiológica do produto final,A cada lote,Técnico de laboratório,Reter e descartar o lote. Limpar e sanitizar novamente a linha,Ficha de Análise de Produto Final,Revisão dos resultados de análise
Filtração e Envasamento,Resíduos de produtos de limpeza,Q,Ausência de resíduos visíveis ou por testes químicos,Enxágue da envasadora e embalagens,Inspeção visual e testes de pH/condutividade,Antes de cada produção,Operador de linha,Refazer o ciclo de enxágue,Registro de Verificação de Saneamento,Validação do ciclo de limpeza
Filtração e Envasamento,"Fragmentos de vidro, metal ou plástico",F,Ausência de objetos estranhos,Integridade das embalagens e equipamentos,Inspeção visual e uso de detector de metal/raio-x,Continuamente na linha,Operador de linha,"Parar a linha, remover o produto contaminado e investigar a origem",Registro de Inspeção de Envase,Verificação da calibração dos detectores
