etapa,codigo,perigos,justificativa,probabilidade,severidade,risco,medidas preventivas,o perigo é significativo?
Recepção,B,Contaminação por microrganismos patógenos (Vibrio sp.),Cadeia de frio quebrada. Pescado proveniente de águas contaminadas.,Alta,Alta,Alto,Receber matéria-prima com temperatura interna abaixo de 4°C. Análise microbiológica da água de origem.,Sim
Recepção,Q,Biotoxinas marinhas ou contaminantes químicos,Bioacumulação de biotoxinas e poluentes na cadeia trófica. Contaminação por combustíveis durante a captura.,Média,Alta,Médio,Análise de laudos de biotoxinas e contaminantes da área de origem. Inspeção visual do pescado e odor.,Sim
Recepção,F,"Objetos estranhos (metal, plástico)",Contaminação na captura e transporte por objetos estranhos ou desgaste de equipamentos.,Média,Baixa,Médio,Inspeção visual rigorosa da matéria-prima no recebimento.,Sim
Descascamento e Limpeza,B,Proliferação de microrganismos,Manutenção do produto em temperaturas inadequadas e por tempo prolongado.,Média,Alta,Médio,Manter a temperatura do salão de processamento abaixo de 15°C. Controle de tempo e temperatura de exposição do produto.,Sim
Descascamento e Limpeza,Q,Resíduos de sulfitos,Uso incorreto ou sobredosagem de metabissulfito para evitar a melanose.,Média,Alta,Médio,Treinamento da equipe sobre o uso de sulfitos. Monitoramento dos níveis residuais por análise química.,Sim
Descascamento e Limpeza,F,Fragmentos de casca ou espinhos,Remoção ineficiente de fragmentos do exoesqueleto durante o processamento.,Média,Média,Médio,Treinamento da equipe de processamento. Inspeção visual do produto.,Sim
Cozimento,B,Sobrevivência de microrganismos,Cozimento incompleto do produto devido a falha no controle de tempo e temperatura.,Alta,Alta,Alto,Monitoramento e registro contínuo da temperatura interna do produto (acima de 70°C). Validação do processo térmico.,Sim
Cozimento,Q,Contaminação por resíduos químicos,Enxágue insuficiente de equipamentos de cozimento após a limpeza.,Baixa,Média,Médio,Protocolo de limpeza e enxágue validado. Verificação de resíduos químicos.,Sim
Cozimento,F,Não identificado,,,,,,
Embalagem e Congelamento,B,Contaminação por microrganismos,Falha na sanitização da envasadora ou na vedação da embalagem. Ambiente de embalagem não controlado.,Média,Alta,Médio,Limpeza e sanitização rigorosas e validadas. Inspeção visual das embalagens antes do uso.,Sim
Embalagem e Congelamento,Q,Resíduos de produtos de limpeza,Enxágue insuficiente das embalagens após o processo de sanitização.,Baixa,Média,Médio,Protocolo de limpeza e enxágue validado. Verificação de resíduos.,Sim
Embalagem e Congelamento,F,"Fragmentos de metal, plástico ou vidro",Desgaste da envasadora. Quebra de embalagens ou objetos estranhos na linha.,Alta,Alta,Alto,Uso de detector de metal e raio-X. Inspeção visual da linha. Manutenção preventiva de equipamentos.,Sim
