etapa,perigos,codigo,limite_critico,monitoramento_oque,monitoramento_como,monitoramento_quando,monitoramento_quem,acao_corretiva,registro,verificacao
Recepção,Contaminação por microrganismos patógenos (Vibrio sp.),B,Temperatura interna abaixo de 4°C. Ausência de patógenos no produto.,Temperatura do produto e análise microbiológica,Medição com termômetro e análise laboratorial,No recebimento de cada lote,Recebedor de mercadoria/Técnico,Rejeitar o lote. Notificar o fornecedor e investigar a causa.,Ficha de Recepção e Inspeção,Revisão dos registros e resultados de análise
Recepção,Contaminantes químicos e biotoxinas,Q,Valores de poluentes/toxinas abaixo dos limites legais,Nível de biotoxinas e contaminantes,Análise laboratorial de amostras,"Por lote ou periodicamente, conforme legislação",Técnico de laboratório,"Rejeitar o lote, notificar o fornecedor e autoridades competentes",Laudo de Análise de Biotoxinas,Revisão dos relatórios de análise
Recepção,Fragmentos de metal ou plástico,F,Ausência de objetos estranhos,Presença de objetos estranhos,Inspeção visual,No recebimento de cada lote,Recebedor de mercadoria,"Remover o objeto estranho, inspecionar o restante do lote",Ficha de Inspeção de Matéria-Prima,Treinamento dos operadores
Descascamento e Limpeza,Proliferação de microrganismos,B,Temperatura do produto abaixo de 7°C,Temperatura do produto e ambiente,Medição com termômetro calibrado e inspeção visual,A cada hora,Operador de processo,Ajustar a temperatura do ambiente. Descartar produto acima da temperatura limite.,Ficha de Monitoramento de Temperatura,Calibração dos termômetros. Revisão dos registros
Descascamento e Limpeza,Resíduos de sulfitos,Q,Nível residual de $SO_{2}$ no produto não ultrapassar 100 ppm,Concentração de $SO_{2}$ residual,Análise laboratorial,Por lote de produção,Técnico de laboratório,Ajustar a dosagem de sulfito e descartar o lote com níveis acima do limite,Registro de Controle de Aditivos,Revisão dos laudos de análise
Descascamento e Limpeza,Fragmentos de casca ou exoesqueleto,F,Ausência de fragmentos no produto,Presença de fragmentos de casca,Inspeção visual,Continuamente na linha,Operador de processo,Parar a linha e remover o contaminante. Descartar o produto afetado.,Registro de Inspeção de Processo,Treinamento dos operadores
Cozimento,Contaminação microbiana,B,Temperatura interna do produto atingindo 63°C por 15 segundos (ou equivalente),Temperatura interna do produto,Medição com termômetro de espeto calibrado,A cada 30 minutos ou por lote,Operador de cozimento,Ajustar o tempo/temperatura do cozimento. Descartar o lote se fora dos limites críticos.,Registro de Controle de Cozimento,Calibração do termômetro. Validação do processo térmico
Cozimento,Não identificado,Q,,,,,,,,
Cozimento,Não identificado,F,,,,,,,,
Embalagem e Congelamento,Contaminação por microrganismos,B,Ausência de patógenos no produto final. Embalagem íntegra.,Integridade da embalagem e ausência de patógenos,Inspeção visual e análise microbiológica do produto final,A cada lote,Operador de embalagem e Técnico,"Parar a linha, limpar e sanitizar. Descartar o lote. Reembalar.",Ficha de Análise de Produto Final,Revisão dos registros de saneamento e análise final
Embalagem e Congelamento,Resíduos de produtos de limpeza,Q,Ausência de resíduos visíveis,Enxágue da envasadora e embalagens,Verificação visual e testes de pH,Antes de iniciar o envase,Operador de linha,Refazer o ciclo de enxágue.,Ficha de Verificação de Saneamento,Revisão dos registros de saneamento
Embalagem e Congelamento,"Fragmentos de vidro, metal ou plástico",F,Ausência de objetos estranhos no produto,Presença de objetos estranhos,Inspeção visual e detector de metal,Continuamente na linha,Operador de linha,"Parar a linha, remover o produto contaminado e investigar a origem.",Registro de Inspeção de Envase,Verificação da calibração do detector de metal
