etapa,codigo,perigos,justificativa,probabilidade,severidade,risco,medidas preventivas,o perigo é significativo?
Recepção do Leite Cru,B,"Micro-organismos patogênicos (ex. E. coli, Salmonella), psicrotróficos e de toxinas",Leite cru tem microbiota natural e pode conter patógenos de vacas doentes ou por higiene inadequada. A temperatura de refrigeração parcial do leite pode contribuir para a multiplicação rápida de micro-organismos psicrotróficos.,Alta,Alta,Alto,"Controle de temperatura (até 5°C), análise de amostras, seleção de fornecedores, Boas Práticas de Ordenha (BPO)",Sim
Recepção do Leite Cru,Q,Resíduos de antibióticos,"Provenientes de animais em tratamento, o que pode ocorrer por falha no período de carência. A pasteurização não é suficiente para eliminá-los.",Média,Alta,Médio,"Realização de testes de detecção de antibióticos, descarte do leite de animais em tratamento",Sim
Recepção do Leite Cru,Q,Resíduos de produtos de limpeza ou agrotóxicos,Contaminação pode ser acidental ou intencional. A pasteurização não é suficiente para eliminar todos os contaminantes químicos.,Baixa,Alta,Médio,"Controle dos processos de limpeza e sanitização dos tanques de transporte, práticas agropecuárias adequadas",Sim
Recepção do Leite Cru,F,"Resíduos de materiais estranhos (cabelo, insetos, metais)","Pela adição acidental ou intencional. Pode ser proveniente da ordenha, transporte ou manuseio.",Baixa,Média,Baixo,"Inspeção visual da matéria-prima, treinamentos em Boas Práticas de Fabricação (BPF), inspeções",Não
Armazenamento sob Refrigeração,B,Multiplicação de micro-organismos,O leite é um substrato nutritivo. A menor temperatura (até 7°C) deve ser mantida para retardar o desenvolvimento de micro-organismos. A estocagem prolongada pode levar à produção de toxina estafilocócica.,Média,Média,Médio,"Manter a temperatura abaixo de 5°C, tempo de armazenamento não superior a 3 horas",Sim
Armazenamento sob Refrigeração,Q,Resíduos de produtos de limpeza ou alcalinos,Pode ocorrer contaminação acidental por falha na higienização dos tanques de armazenamento.,Baixa,Média,Baixo,"Manutenção preventiva e corretiva, controle dos processos de limpeza e sanitização",Não
Armazenamento sob Refrigeração,F,Não identificado,,,,,,
Pasteurização,B,Sobrevivência de micro-organismos patogênicos,"Falha no binômio tempo x temperatura pode resultar na não eliminação de patógenos tradicionais. A pasteurização não é 100% segura contra todos os patógenos, pois não elimina toxinas ou esporos bacterianos.",Alta,Alta,Alto,"Monitoramento do tempo e temperatura (72°C por 15 segundos), aferição dos equipamentos, manutenção preventiva",Sim
Pasteurização,Q,Não identificado,,,,,,
Pasteurização,F,Não identificado,,,,,,
Envase e Acondicionamento,B,Recontaminação por micro-organismos,"Ocorre após a pasteurização, por falha de higiene de equipamentos, manipuladores ou ambiente.",Média,Média,Médio,"Higiene de manipuladores e equipamentos, controle da qualidade do ar, programa de treinamento e BPF",Sim
Envase e Acondicionamento,Q,Resíduos de produtos de limpeza,Enxágue insuficiente de equipamentos ou falha no sistema de higienização das embalagens.,Baixa,Baixa,Baixo,Controle rigoroso dos procedimentos de limpeza e sanitização,Não
Envase e Acondicionamento,F,Fragmentos de plástico ou outros materiais estranhos,Pode ocorrer por falhas nos equipamentos de envase ou embalagens.,Baixa,Média,Baixo,Inspeção visual da integridade das embalagens e da linha de envase,Não
Resfriamento e Estocagem do produto final,B,Proliferação de micro-organismos,"Condições inadequadas de resfriamento ou armazenamento podem permitir a multiplicação de micro-organismos, reduzindo a vida útil e aumentando o risco.",Média,Média,Médio,Monitoramento e controle de temperatura da câmara fria (máx. 10°C) e dos veículos de transporte,Sim
Resfriamento e Estocagem do produto final,Q,Não identificado,,,,,,
Resfriamento e Estocagem do produto final,F,Não identificado,,,,,,
