etapa,codigo,perigos,Justificativa,probabilidade,severidade,risco,Medidas Preventivas,O Perigo É significativo?
Manejo de Colméias,B1,Clostridium botulinum (esporos),Inerentes ao campo devido à exposição dos favos a poeira e ao contato com o solo e possibilidade de desenvolvimento de C. botulinum em larvas mortas de abelhas. Mel contaminado com esporos pode provocar botulismo infantil quando ingeridos por crianças menores de 1 ano de idade.,Baixa,Alta,Médio,"BP Apícolas na sanidade (controle de doenças nas crias) e evitar contato dos favos com o solo. Essas medidas diminuem o risco, mas não eliminam a possibilidade de ocorrência de esporos no mel. PERIGO NÃO CONTROLADO NO ESTABELECIMENTO.",Sim
Manejo de Colméias,Q1,Antibióticos e acaricidas,"Utilizados na prevenção de enfermidades das abelhas e também ao ataque de pragas pela aplicação profilática, quando utilizados sem controles adequados, podem originar mel com teores acima do permitido.",Desprezível,Alta,Baixo,Não utilização de fármacos na produção.,Sim
Manejo de Colméias,Q2,Defensivos agrícolas,"Originados de néctar e pólen contaminados provenientes de áreas de agricultura intensiva. Se não houver um programa de controle e manejo, poderão originar mel com níveis superiores aos permitidos.",Desprezível,Alta,Baixo,Localizar o apiário em áreas distantes de lavouras onde não existem o manejo adequado dos defensivos agrícolas durante o período de floradas.,Sim
Manejo de Colméias,F1,Sujidades – grãos de areia e restos vegetais maiores que 1/25”,"Inerentes ao manuseio inadequado dos favos, havendo contato com o solo.",Média,Baixa,Baixo,Evitar o contato direto dos favos com o solo.,Não
Manejo de Colméias,QUAL1,Vestígios de cinza e fuligem,Proveniente do uso inadequado do fumigador.,Alta,Baixa,Médio,Aplicação das boas práticas apícolas utilizando adequadamente a fumaça durante o manuseio das colméias.,Sim
Manejo de Colméias,QUAL2,HMF elevado,"Exposição das colméias ao sol e em regiões quentes, com conseqüente aumento da temperatura interna, e exposição dos favos ao sol por muito tempo durante o manejo.",Desprezível,Alta,Baixo,"Em regiões quentes, sombrear as colméias e evitar a exposição dos favos ao sol.",Sim
Manejo de Colméias,QUAL3,Umidade elevada,Localização do apiário em ambientes úmidos favorecem o aumento da umidade do produto.,Desprezível,Alta,Baixo,Evitar a localização de apiários em áreas úmidas.,Sim
Coleta dos favos,B2,Clostridium botulinum (esporos),Inerentes ao campo devido à exposição dos favos à poeira e ao contato com o solo e possibilidade de desenvolvimento de C. botulinum em larvas mortas de abelhas.,Baixa,Alta,Médio,"BP Apícolas na sanidade (controle de doenças nas crias) e evitar contato dos favos com o solo. Essas medidas diminuem o risco, mas não eliminam a possibilidade de ocorrência de esporos no mel. PERIGO NÃO CONTROLADO NO ESTABELECIMENTO.",Sim
Coleta dos favos,Q1,Produtos químicos diversos,"Melgueiras e ou materiais apícolas previamente contaminados por armazenamento inadequado no galpão apícola. Média severidade, Médio risco.",Média,Média,Médio,Armazenar e manter higienizados adequadamente o material (melgueiras e outros) a ser utilizados na coleta de mel.,Sim
Coleta dos favos,QUAL1,Vestígios de cinza e fuligem,Proveniente do uso inadequado do fumigador.,Alta,Baixa,Médio,Aplicação das boas práticas apícolas utilizando adequadamente a fumaça durante o manuseio das colméias.,Sim
Coleta dos favos,F2,Sujidades (grãos de areia),Inerentes ao manuseio inadequado dos favos.,Média,Baixa,Baixo,Evitar o contato direto dos favos com o solo.,Não
Coleta dos favos,QUAL1,Vestígios de cinza e fuligem,Proveniente do uso inadequado do fumigador.,Alta,Baixa,Médio,Aplicação das boas práticas apícolas utilizando adequadamente a fumaça durante o manuseio das colméias.,Sim
Coleta dos favos,QUAL2,HMF elevado,Exposição das melgueiras e dos favos ao sol.,Desprezível,Alta,Baixo,Sombrear as colméias e evitar a exposição dos favos ao sol.,Sim
Coleta dos favos,QUAL3,Umidade elevada,Coleta de mel em dias chuvosos e de favos com mel não operculado.,Desprezível,Alta,Baixo,"Evitar coleta em dias chuvosos, coletar apenas os favos operculados (mel maduro).",Sim
Transporte dos favos,B3,Clostridium botulinum (esporos),Contaminação pela poeira durante o transporte e pelo uso de veículo não higienizado adequadamente.,Baixa,Alta,Médio,"BP Apícolas: proteger os favos, transportando-os em veículo higienizado e fechado ou coberto por lona plástica de uso exclusivo para esse fim. PERIGO NÃO CONTROLADO NO ESTABELECIMENTO.",Sim
Transporte dos favos,Q1,Produtos químicos diversos,Provenientes de resíduos de outros transportes em veículo mal higienizado.,Média,Baixa,Baixo,BP Apícolas: procedimentos de higienização da unidade de transporte do veículo.,Não
Transporte dos favos,F1,Sujidades,Utilização de veículo higienizado inadequadamente ou ausência de proteção das melgueiras à poeira e sujidades durante o transporte.,Média,Baixa,Baixo,BP Apícolas: procedimentos de higienização do veículo antes de carregá-lo com as melgueiras.,Não
Transporte dos favos,QUAL1,Vestígios de cinza e fuligem,"Proveniente da utilização inadequada de fumaça no processo de redução do número de abelhas nas melgueiras durante o carregamento. Baixa severidade, Médio risco.",Alta,Baixa,Médio,BP Apícolas: procedimentos de fumigação durante o carregamento.,Sim
Transporte dos favos,QUAL2,HMF elevado,Exposição das melgueiras ao sol e a temperaturas elevadas durante o transporte dos favos.,Desprezível,Alta,Baixo,BP Apícola: avaliação de presença de umidade em contato com as melgueiras e evitar exposição ao sol.,Sim
Transporte dos favos,QUAL3,Umidade elevada,Utilização de veículos molhados.,Desprezível,Alta,Baixo,BP Apícolas: programa de coleta que considere a pluviosidade do dia e favos operculados. Procedimentos de avaliação da unidade de transporte quanto à presença de umidade.,Sim
Recepção das melgueiras com os favos,B4,Clostridium botulinum (esporos),Contato das melgueiras com o chão na recepção pode aumentar o risco de contaminação por esporos de C. botulinum.,Desprezível,Alta,Baixo,BPF: procedimentos que evitem depositar as melgueiras com favos diretamente no chão e procedimentos de higienização adequada da área de recepção. PERIGO NÃO CONTROLADO NO ESTABELECIMENTO.,Sim
Recepção das melgueiras com os favos,Q2,Fármacos e defensivos agrícolas,Presença de resíduos de produtos químicos utilizados no apiário ou por contaminação nas áreas de coleta.,Baixa,Média,Baixo,BPF: programa de seleção de fornecedores com exigência de declaração de garantia.,Sim
Recepção das melgueiras com os favos,F3,Sujidades (grãos de areia maiores que 1/25”),Presentes no chão na recepção.,Média,Baixa,Baixo,BPF: manter o ambiente de recepção higienizado adequadamente e depositar as melgueiras sobre bandejas de proteção e estrados.,Não
Recepção das melgueiras com os favos,QUAL3,Umidade elevada,Ambiente de recepção úmido/molhado em função do processo de limpeza.,Desprezível,Alta,Baixo,BPF: evitar exposição das melgueiras em áreas molhadas.,Sim
Recepção das melgueiras com os favos,QUAL2,HMF elevado,Exposição prolongada das melgueiras ao sol.,Desprezível,Alta,Baixo,Evitar a exposição prolongada das melgueiras ao sol durante o descarregamento e na recepção.,Sim
Filtração do mel,Q1,Produtos químicos diversos,Presença de resíduos de produtos químicos utilizados para limpeza dos equipamentos.,Média,Baixa,Baixo,BPF: higienização adequada dos equipamentos e treinamento dos manipuladores para higienização adequada dos equipamentos.,Não
Filtração do mel,F4,sujidades (grãos de areia e madeira maiores que 1/25” ),Presença de fragmentos de madeira e outros devido às falhas no processo de filtração do mel e equipamento mal higienizado.,Média,Baixa,Baixo,BPF: manutenção e higienização adequada dos equipamentos e treinamento dos manipuladores para manutenção e higienização dos equipamentos (especialmente integridade da peneira).,Não
Filtração do mel,QUAL3,Umidade elevada,Utilização de equipamentos que não estejam convenientemente secos após higienização.,Desprezível,Alta,Baixo,BPF: higienização adequada dos equipamentos e treinamento dos manipuladores.,Sim
Decantação,Q1,Produtos químicos diversos,Presença de resíduos de produtos químicos utilizados para limpeza de equipamentos e utensílios.,Média,Baixa,Baixo,BPF: higienização adequada dos equipamentos e utensílios e treinamento dos manipuladores para higienização dos equipamentos e utensílios.,Não
Decantação,F3,Sujidades (grãos de areia maiores que 1/25”),Provenientes de equipamentos mal higienizados ou remanescentes da filtração quando o tempo de decantação não é adequado.,Média,Baixa,Baixo,BPF: higienização adequada dos equipamentos e utensílios e treinamento dos manipuladores. Ajustar o tempo de decantação para as características do mel.,Não
Decantação,QUAL3,Umidade elevada,"Não fechamento adequado do decantador, permitindo troca de umidade do mel com o ambiente.",,,,(Não listado),(Não listado)
