etapa,codigo,perigos,justificativa,probabilidade,severidade,risco,medidas preventivas,o perigo é significativo?
Recepção de Matérias-Primas,B,"Bactérias patogênicas, parasitas","Matérias-primas como carnes, ovos e vegetais podem estar contaminadas, especialmente se forem de origem clandestina. O transporte inadequado também é um risco.",Média,Alta,Moderado a Alto,"Adoção de um programa de seleção de fornecedores confiáveis, inspeção rigorosa na recepção, verificando a temperatura, integridade das embalagens e prazo de validade. Recusa de produtos fora das especificações.",Sim
Recepção de Matérias-Primas,Q,Resíduos de agrotóxicos,A falta de controle pode permitir a presença de resíduos químicos em alimentos.,Média,Alta,Moderado a Alto,Adoção de um programa de seleção de fornecedores confiáveis que garantam a qualidade dos produtos. Inspeção rigorosa na recepção.,Sim
Recepção de Matérias-Primas,F,"Fragmentos de vidro, metal, plásticos e insetos",Os perigos físicos podem estar presentes na matéria-prima ou em embalagens. O material de embalagem pode conter pragas.,Média,Alta,Moderado a Alto,Inspeção visual das embalagens e produtos na recepção. Recusa de embalagens danificadas ou produtos com sinais de contaminação.,Sim
Armazenamento,B,Multiplicação de microrganismos deteriorantes (bolores) e patogênicos (bactérias),"O armazenamento em ambientes inadequados, como escuros, úmidos e abafados, favorece o desenvolvimento de microrganismos. A farinha, por exemplo, absorve umidade e tem grande tendência a mofar.",Média,Média,Moderado,"Manter os produtos em temperaturas adequadas (congelamento ≤-18°C, refrigeração <5°C, ambiente ≤26°C). Seguir o princípio 'primeiro que vence, primeiro que sai' (PVPS). Manter os produtos afastados do chão e das paredes. Realizar a limpeza e o controle de pragas regularmente.",Sim
Armazenamento,Q,Não identificado,,,,,,
Armazenamento,F,"Contaminação por pragas urbanas (roedores, insetos)","O local de armazenamento pode atrair pragas, que transportam microrganismos causadores de doenças.",Média,Média,Moderado,"Adotar ações contínuas de controle de pragas, como o uso de ralos sifonados, telas milimétricas em aberturas e protetores na parte inferior das portas. Manter as áreas internas e externas limpas e sem materiais em desuso.",Sim
Preparação da Massa e Amassamento,B,Multiplicação microbiana devido a altas temperaturas da massa (>30°C),"A temperatura da massa é crucial, pois altas temperaturas podem acelerar a proliferação de microrganismos indesejados.",Baixa,Moderada,Baixo a Moderado,"Manter a temperatura da massa abaixo de 30°C, utilizando água refrigerada se necessário. A masseira deve ser higienizada adequadamente.",Não
Preparação da Massa e Amassamento,Q,Superdosagem de aditivos,O uso incorreto de aditivos pode gerar perigos químicos e danos à saúde do consumidor.,Baixa,Moderada,Baixo a Moderado,Seguir rigorosamente a formulação e as recomendações dos fabricantes para os aditivos. A balança deve estar calibrada para garantir a dosagem correta.,Não
Preparação da Massa e Amassamento,F,Não identificado,,,,,,
Fermentação,B,Contaminação da massa por bolores e bactérias do ambiente ou por manipuladores,"A fermentação em condições inadequadas, como em ambientes sem higiene, pode levar à contaminação da massa.",Baixa,Baixa,Baixo,Manter a sala ou os carrinhos de fermentação limpos e fechados. Proteger a massa da contaminação com plástico filme.,Não
Fermentação,Q,Não identificado,,,,,,
Fermentação,F,Não identificado,,,,,,
Forneamento,B,Sobrevivência de bactérias e esporos se a temperatura interna não for atingida,O tratamento térmico deve ser suficiente para eliminar microrganismos patogênicos. Temperaturas muito baixas ou tempos de cozimento insuficientes podem permitir a sobrevivência de microrganismos.,Baixa,Alta,Moderado,Garantir que o tratamento térmico atinja no mínimo 70°C em todas as partes do alimento. Fornos devem ser pré-aquecidos e a temperatura monitorada.,Sim
Forneamento,Q,Não identificado,,,,,,
Forneamento,F,Fragmentos de luminárias ou peças de equipamentos que se soltam e caem sobre o produto,"Peças de equipamentos e luminárias podem se desprender e cair no produto, causando contaminação física.",Baixa,Alta,Moderado,As luminárias devem ser dotadas de sistema de proteção contra quedas e explosões. Os equipamentos devem ser submetidos a manutenção preventiva e periódica.,Sim
Resfriamento,B,Multiplicação de microrganismos (principalmente bolores) se o resfriamento for lento ou em ambiente inadequado,"O resfriamento lento permite que o alimento permaneça na ""zona de risco"" de temperatura, onde os microrganismos podem se multiplicar. Resfriar em ambiente sem higiene, com poeira, ou sem ar filtrado, estimula o crescimento de bolores.",Média,Baixa,Baixo,Resfriar os pães rapidamente em ambientes limpos e arejados. O resfriamento deve ocorrer de 60°C para 10°C em no máximo 2 horas.,Não
Resfriamento,Q,Não identificado,,,,,,
Resfriamento,F,Não identificado,,,,,,
Embalagem,B,Crescimento de bolores se o pão for embalado ainda morno,"A embalagem do pão quente ou morno gera condensação, criando um ambiente ideal para o crescimento de bolores e a perda de qualidade do produto.",Baixa,Baixa,Baixo,"Embalar os produtos somente quando estiverem completamente frios, a aproximadamente 30°C.",Não
Embalagem,Q,Não identificado,,,,,,
Embalagem,F,Não identificado,,,,,,
Expedição e Venda,B,"Contaminação por manuseio inadequado, pragas ou falta de proteção","A exposição dos alimentos sem proteção pode levar à contaminação por poeira, insetos ou manuseio incorreto.",Média,Moderada,Moderado,"Expor produtos em vitrines fechadas, quentes ou frias. Utilizar pegadores específicos e luvas descartáveis para o manuseio. Manter as vitrines a temperaturas adequadas.",Sim
Expedição e Venda,Q,Não identificado,,,,,,
Expedição e Venda,F,Não identificado,,,,,,
