etapa,codigo,perigos,justificativa,probabilidade,severidade,risco,medidas preventivas,o perigo é significativo?
Recepção e Inspeção,B,"Contaminação por microrganismos patógenos (E. coli, Salmonella)",Uso de pescado de origem desconhecida ou em condições higiênicas inadequadas. Transporte em temperatura incorreta.,Alta,Alta,Alto,Monitoramento constante da temperatura da matéria-prima e do ambiente. Inspeção da origem e do transporte.,Sim
Recepção e Inspeção,Q,Biotoxinas marinhas e resíduos químicos,Presença de biotoxinas devido a florações de algas ou contaminantes ambientais. Falha no monitoramento da área de captura.,Média,Alta,Médio,Análise de laudos de biotoxinas e contaminantes da área de origem. Verificação com fornecedores.,Sim
Recepção e Inspeção,F,"Objetos estranhos (metal, plástico, pedras)","Contaminação durante a captura, manuseio e transporte. Desgaste de equipamentos.",Média,Média,Médio,Inspeção visual da matéria-prima. Treinamento da equipe de recebimento.,Sim
Evisceração e Limpeza,B,Contaminação cruzada por microrganismos,Rompiimento de vísceras durante a evisceração. Falha na higienização de equipamentos e utensílios.,Alta,Alta,Alto,Utilização de facas e utensílios limpos. Treinamento em técnicas de evisceração. Saneamento rigoroso do ambiente de trabalho.,Sim
Evisceração e Limpeza,Q,Resíduos de produtos de limpeza,Enxágue insuficiente de superfícies e utensílios após a sanitização.,Baixa,Média,Médio,Protocolo de limpeza validado com verificação de resíduos. Treinamento da equipe.,Sim
Evisceração e Limpeza,F,Espinhas e escamas no filé (em filés),Remoção ineficiente de espinhas e escamas durante o processamento.,Média,Baixa,Médio,Treinamento da equipe de filetagem. Inspeção visual do produto.,Sim
Filetagem e Porcionamento,B,Proliferação de microrganismos,Controle de temperatura inadequado no salão de processamento. Tempo prolongado de exposição do produto.,Média,Alta,Médio,Manutenção da temperatura ambiente abaixo de 15°C. Controle rigoroso do tempo de processamento.,Sim
Filetagem e Porcionamento,Q,Contaminação por lubrificantes,Vazamento de máquinas de filetagem ou fatiamento.,Baixa,Alta,Alto,Utilização de lubrificantes de grau alimentício. Manutenção preventiva do equipamento.,Sim
Filetagem e Porcionamento,F,Fragmentos de metal ou plástico,Desgaste das lâminas de corte ou de outras partes do equipamento.,Média,Alta,Médio,Manutenção preventiva do equipamento. Uso de detector de metais na linha de produção.,Sim
Embalagem e Congelamento,B,Contaminação por microrganismos,Falha na sanitização da envasadora. Má vedação da embalagem.,Média,Alta,Médio,Limpeza e sanitização rigorosas e validadas. Inspeção visual das embalagens.,Sim
Embalagem e Congelamento,Q,Resíduos de produtos de limpeza,Enxágue insuficiente das embalagens após a limpeza.,Baixa,Média,Médio,Protocolo de limpeza e enxágue validado. Verificação de resíduos.,Sim
Embalagem e Congelamento,F,"Fragmentos de metal, plástico ou vidro",Quebra de embalagens. Contaminação por objetos estranhos da linha de produção.,Alta,Alta,Alto,Inspeção visual da linha. Uso de detector de metal e raio-X no final da produção.,Sim
