etapa,perigos,tipo,limite_critico,monitoramento_oque,monitoramento_como,monitoramento_quando,monitoramento_quem,acao_corretiva,registro,verificacao
Recepção e Inspeção,Contaminação por microrganismos patógenos (ex: Salmonella),B,Temperatura interna abaixo de 4°C. Ausência de patógenos.,Temperatura do produto e condição visual/olfativa,Medição com termômetro e inspeção visual,No recebimento de cada lote,Recebedor de mercadoria,Rejeitar o lote. Notificar fornecedor. Descartar se contaminado.,Ficha de Recepção e Inspeção,Revisão dos registros de recepção
Recepção e Inspeção,Parasitas (Anisakis),B,Ausência de parasitas visíveis no pescado.,Presença de parasitas,Inspeção visual em 10% da amostra,No recebimento de cada lote,Recebedor de mercadoria,Condenar o produto. Descartar o lote. ,Registro de Inspeção de Parasitas,Treinamento dos operadores.
Recepção e Inspeção,"Contaminantes químicos (metais pesados, resíduos de antibióticos)",Q,Valores abaixo dos limites estabelecidos pela legislação,Nível de contaminantes,Análise laboratorial de amostras,Por lote ou periodicamente,Técnico de laboratório,Rejeitar o lote. Notificar o fornecedor e autoridades competentes.,Laudo de Análise de Contaminantes,Revisão dos resultados de análise.
Recepção e Inspeção,"Objetos estranhos (metal, plástico, pedras)",F,Ausência de objetos estranhos,Presença de objetos estranhos,Inspeção visual,No recebimento de cada lote,Recebedor de mercadoria,Remover o contaminante. Investigar a causa.,Ficha de Inspeção de Matéria-Prima,Treinamento dos operadores.
Evisceração e Filetagem,Contaminação cruzada por microrganismos,B,Temperatura do produto abaixo de 7°C. Ausência de patógenos.,Temperatura do produto e sanitização dos utensílios,Medição com termômetro e testes de swab,A cada hora e antes da produção,Operador de processo/Líder de setor,Ajustar a temperatura do ambiente. Refazer a sanitização dos equipamentos.,Ficha de Monitoramento de Temperatura e Saneamento,Revisão dos registros e testes de swab.
Evisceração e Filetagem,Resíduos de produtos de limpeza,Q,Ausência de resíduos visíveis ou por análise de pH/condutividade,Nível de resíduos de saneantes,Medição de pH ou condutividade,Antes de iniciar a produção,Operador de processo,Refazer o ciclo de enxágue. Descartar o produto afetado.,Registro de Verificação de Saneamento,Verificação da calibração do medidor de pH.
Evisceração e Filetagem,Fragmentos de espinhas e escamas,F,Ausência de fragmentos no filé,Presença de espinhas e escamas,Inspeção visual e manual,Continuamente na linha,Operador de filetagem,Remover os fragmentos. Parar a linha e inspecionar o equipamento.,Registro de Inspeção do Filé,Treinamento dos operadores.
Resfriamento e Congelamento,Proliferação de microrganismos,B,"Temperatura do produto em resfriamento entre -0,5°C e 2°C. Congelado a -18°C.",Temperatura do produto e tempo de exposição,Medição com termômetro calibrado e verificação de tempo,Continuamente,Operador de processo,Ajustar a temperatura do equipamento. Reter e reprocessar o lote (se possível) ou descartar.,Registro de Controle de Temperatura,Calibração dos termômetros. Revisão dos registros.
Resfriamento e Congelamento,Não identificado,Q,,,,,,,,
Resfriamento e Congelamento,"Fragmentos de vidro, metal ou plástico",F,Ausência de objetos estranhos,Presença de objetos estranhos,Inspeção visual e detector de metal,Continuamente na linha,Operador de linha,"Parar a linha, remover o produto contaminado e investigar a origem.",Registro de Inspeção de Envase,Verificação da calibração do detector de metal.
Embalagem,Contaminação por microrganismos,B,Ausência de patógenos no produto final. Embalagem íntegra.,Integridade da embalagem e ausência de patógenos,Inspeção visual e análise microbiológica do produto final,A cada lote,Operador de embalagem e Técnico,"Parar a linha, limpar e sanitizar. Descartar o lote. Reembalar.",Ficha de Análise de Produto Final,Revisão dos registros de saneamento e análise final.
Embalagem,Resíduos de produtos de limpeza,Q,Ausência de resíduos visíveis,Enxágue da envasadora e embalagens,Verificação visual e testes de pH,Antes de iniciar o envase,Operador de linha,Refazer o ciclo de enxágue.,Ficha de Verificação de Saneamento,Revisão dos registros de saneamento.
Embalagem,"Fragmentos de vidro, metal ou plástico",F,Ausência de objetos estranhos no produto,Presença de objetos estranhos,Inspeção visual e detector de metal,Continuamente na linha,Operador de linha,"Parar a linha, remover o produto contaminado e investigar a origem.",Registro de Inspeção de Envase,Verificação da calibração do detector de metal.
