etapa,codigo,perigos,justificativa,probabilidade,severidade,risco,medidas preventivas,o perigo é significativo?
Recebimento de matéria-prima (carne e ingredientes),B,Proliferação de microrganismos,"Temperatura inadequada durante o transporte ou estocagem, permitindo o crescimento de patógenos.",Média,Alta,Alto,"Controle de temperatura na recepção e estocagem, verificação da documentação de transporte e fornecedores.",Sim
Recebimento de matéria-prima (carne e ingredientes),Q,Resíduos de agrotóxicos ou antibióticos,"Presença de resíduos na matéria-prima proveniente do gado, devido a uso inadequado de medicamentos.",Baixa,Alta,Médio,"Rastreabilidade, verificação da documentação de tempo de carência, controle de fornecedores.",Sim
Recebimento de matéria-prima (carne e ingredientes),F,"Fragmentos de metal, vidro ou plástico","Contaminação na origem, devido a quebra de equipamentos ou embalagens.",Baixa,Média,Baixo,"Inspeção visual da matéria-prima, controle de fornecedores, uso de peneiras e/ou detector de metais.",Não
Moagem da carne,B,Proliferação de microrganismos,"O calor gerado pelo processo de moagem pode elevar a temperatura da carne, permitindo a proliferação bacteriana se o processo for lento.",Média,Média,Médio,"Controle da temperatura da carne antes da moagem e do ambiente de produção, tempo de processo limitado.",Sim
Moagem da carne,Q,Contaminação por lubrificantes e óleos,Vazamento de óleo ou graxa dos rolamentos e engrenagens do moedor.,Baixa,Média,Baixo,"Uso de lubrificantes de grau alimentício, manutenção preventiva do equipamento, inspeção visual do moedor.",Não
Moagem da carne,F,Fragmentos de metal,Desgaste do moedor ou quebra de peças.,Média,Alta,Alto,"Manutenção preventiva e inspeção do equipamento, uso de detector de metais após o processo.",Sim
Mistura (adição de aditivos e especiarias),B,Proliferação de microrganismos,Tempo e temperatura inadequados durante a mistura podem permitir o crescimento de patógenos.,Média,Alta,Alto,"Controle de temperatura da massa e do ambiente, limite de tempo de exposição da massa à temperatura ambiente.",Sim
Mistura (adição de aditivos e especiarias),Q,Dosagem incorreta de conservantes,Excesso de conservantes pode ser tóxico ou alterar as características do produto final.,Baixa,Alta,Médio,"Calibração de balanças, controle rigoroso da pesagem dos ingredientes, treinamento de pessoal.",Sim
Mistura (adição de aditivos e especiarias),F,"Objetos estranhos (plástico, madeira, etc.)",Presença de resíduos em ingredientes (especiarias) ou quebra de utensílios.,Baixa,Média,Baixo,"Inspeção de ingredientes e embalagens, controle de fornecedores.",Não
Conformação (formatação do produto),B,Contaminação por pessoal,Higiene inadequada dos manipuladores pode contaminar o produto durante a formação.,Média,Média,Médio,"Uso de EPIs, boas práticas de higiene pessoal, troca de luvas, treinamento e supervisão.",Sim
Conformação (formatação do produto),Q,Não identificado,,,,,,
Conformação (formatação do produto),F,Fragmentos de metal ou plástico,"Desgaste da máquina de conformação, quebra de peças plásticas.",Baixa,Alta,Médio,"Manutenção preventiva do equipamento, inspeção visual do produto e detector de metais após a etapa.",Sim
Cozimento / Fritura,B,Sobrevivência de microrganismos patogênicos,O tratamento térmico insuficiente é a principal causa de sobrevivência de patógenos.,Alta,Alta,Alto,Monitoramento contínuo da temperatura interna do produto e do tempo de cozimento para atingir o limite crítico.,Sim
Cozimento / Fritura,Q,Não identificado,,,,,,
Cozimento / Fritura,F,Não identificado,,,,,,
Resfriamento,B,Proliferação de microrganismos,Resfriamento inadequado (lento) após o cozimento permite o crescimento de esporulados como Clostridium perfringens.,Alta,Alta,Alto,"Resfriamento rápido após o cozimento, monitoramento da temperatura e do tempo de resfriamento.",Sim
Resfriamento,Q,Não identificado,,,,,,
Resfriamento,F,Não identificado,,,,,,
Embalagem,B,Contaminação por manipuladores ou ambiente,Falha na higiene pessoal ou do ambiente pode contaminar o produto já resfriado.,Média,Média,Médio,"Controle rigoroso da higiene pessoal, uso de EPIs, limpeza e sanitização do ambiente de embalagem.",Sim
Embalagem,Q,Não identificado,,,,,,
Embalagem,F,Fragmentos de plástico ou metal,Quebra de embalagens ou desgaste de equipamentos de selagem.,Baixa,Média,Baixo,"Inspeção das embalagens, manutenção preventiva do equipamento, inspeção visual do produto.",Não
Expedição e Transporte,B,Proliferação de microrganismos,Falha na manutenção da cadeia de frio durante o transporte pode permitir a multiplicação de microrganismos.,Média,Alta,Alto,"Monitoramento contínuo da temperatura da unidade de transporte, registro das temperaturas.",Sim
Expedição e Transporte,Q,Contaminação por combustível ou óleos,Vazamento de combustível ou óleo dos veículos de transporte.,Baixa,Média,Baixo,"Manutenção preventiva dos veículos, inspeção visual, segregação de produtos no veículo.",Não
Expedição e Transporte,F,Não identificado,,,,,,
