etapa,perigos,tipo,limite_critico,monitoramento_oque,monitoramento_como,monitoramento_quando,monitoramento_quem,acao_corretiva,registro,verificacao
Recebimento de matéria-prima (carne e ingredientes),Proliferação de microrganismos,B,Temperatura da massa < 7°C em 2 horas de processo,Temperatura da massa e tempo de exposição,Uso de termômetro e cronômetro,A cada 30 minutos,Operador da mistura,"Ajustar a temperatura do ambiente, resfriar a matéria-prima, descartar o lote se fora do limite",Ficha de Controle de Temperatura,Auditoria de processos e análise laboratorial de produto
Recebimento de matéria-prima (carne e ingredientes),Resíduos de agrotóxicos ou antibióticos,Q,Ausência de resíduos acima dos limites permitidos,Documentação do fornecedor,Verificação de certificados e notas fiscais,A cada recebimento,Responsável da qualidade,Rejeitar a matéria-prima ou separar o lote para análise,Ficha de Rastreabilidade,Análise laboratorial de amostras do fornecedor
Recebimento de matéria-prima (carne e ingredientes),"Fragmentos de metal, vidro ou plástico",F,"Ausência de partículas metálicas, não excedendo 2.0 mm",Vazamento de metal,Inspeção visual e uso de detector de metais,A cada lote produzido,Operador da linha,"Parar a linha, reparar o equipamento, reter e inspecionar o lote",Relatório de Inspeção Física,Calibração anual do detector de metais
Moagem da carne,Proliferação de microrganismos,B,Temperatura da massa < 7°C em 2 horas de processo,Temperatura da massa e tempo de exposição,Uso de termômetro e cronômetro,A cada 30 minutos,Operador da mistura,"Ajustar a temperatura do ambiente, resfriar a matéria-prima, descartar o lote se fora do limite",Ficha de Controle de Temperatura,Auditoria de processos e análise laboratorial de produto
Moagem da carne,Contaminação por lubrificantes e óleos,Q,Uso de lubrificante grau alimentício e ausência de vazamentos,Vazamentos de óleo/graxa,Inspeção visual do equipamento,A cada turno,Responsável da manutenção,Reparar o equipamento e fazer a limpeza da área,Ordem de Serviço de Manutenção,Revisão de plano de manutenção preventiva
Moagem da carne,Fragmentos de metal,F,"Ausência de partículas metálicas, não excedendo 2.0 mm",Vazamento de metal,Inspeção visual e uso de detector de metais,A cada lote produzido,Operador da linha,"Parar a linha, reparar o equipamento, reter e inspecionar o lote",Relatório de Inspeção Física,Calibração anual do detector de metais
Mistura (adição de aditivos e especiarias),Proliferação de microrganismos,B,Temperatura da massa < 7°C em 2 horas de processo,Temperatura da massa e tempo de exposição,Uso de termômetro e cronômetro,A cada 30 minutos,Operador da mistura,"Ajustar a temperatura do ambiente, resfriar a matéria-prima, descartar o lote se fora do limite",Ficha de Controle de Temperatura,Auditoria de processos e análise laboratorial de produto
Mistura (adição de aditivos e especiarias),Dosagem incorreta de conservantes,Q,Dosagem do aditivo dentro dos limites legais,Peso dos ingredientes,Pesagem em balança calibrada,A cada lote,Operador de mistura,Ajustar a dosagem e descartar o lote superdosado,Registro de Mistura,Calibração anual da balança e auditoria de registros
Mistura (adição de aditivos e especiarias),"Objetos estranhos (plástico, madeira, etc.)",F,Ausência de objetos estranhos,Aparência visual do produto,Inspeção visual,A cada lote,Supervisor de produção,"Notificar o operador, descartar o lote contaminado",Relatório de Não Conformidade,Auditoria de higiene pessoal
Conformação (formatação do produto),Contaminação por pessoal,B,"Higiene adequada do manipulador, luvas sem furos",Aparência visual do manipulador,"Inspeção visual do uniforme, luvas e mãos",Início do turno e a cada retorno do banheiro,Supervisor de produção,"Treinar o funcionário, substituir a luva e reprocessar o produto, se for o caso",Ficha de Controle de Higiene,Auditoria interna de BPF
Conformação (formatação do produto),Não identificado,Q,,,,,,,,
Conformação (formatação do produto),Fragmentos de metal ou plástico,F,"Ausência de partículas metálicas, não excedendo 2.0 mm",Vazamento de metal,Inspeção visual e uso de detector de metais,A cada lote produzido,Operador da linha,"Parar a linha, reparar o equipamento, reter e inspecionar o lote",Relatório de Inspeção Física,Calibração anual do detector de metais
Cozimento / Fritura,Sobrevivência de microrganismos patogênicos,B,Temperatura interna do produto ≥ 72°C por 15 segundos,Temperatura interna e tempo de cozimento,Uso de termômetro espeto e cronômetro,A cada lote,Supervisor de produção,"Aumentar tempo e/ou temperatura, reprocessar ou descartar o lote",Relatório de Cozimento,Verificação com termômetro calibrado e análise laboratorial
Cozimento / Fritura,Não identificado,Q,,,,,,,,
Cozimento / Fritura,Não identificado,F,,,,,,,,
Resfriamento,Proliferação de microrganismos,B,Temperatura da massa < 7°C em 2 horas de processo,Temperatura da massa e tempo de exposição,Uso de termômetro e cronômetro,A cada 30 minutos,Operador da mistura,"Ajustar a temperatura do ambiente, resfriar a matéria-prima, descartar o lote se fora do limite",Ficha de Controle de Temperatura,Auditoria de processos e análise laboratorial de produto
Resfriamento,Não identificado,Q,,,,,,,,
Resfriamento,Não identificado,F,,,,,,,,
Embalagem,Contaminação por manipuladores ou ambiente,B,"Ausência de contaminação visível, luvas íntegras",Higiene pessoal e condição das luvas,Inspeção visual,No início e a cada retorno do banheiro,Supervisor de produção,"Treinar o funcionário, substituir a luva e reprocessar o produto, se for o caso",Ficha de Controle de Higiene,Auditoria interna de BPF
Embalagem,Não identificado,Q,,,,,,,,
Embalagem,Fragmentos de plástico ou metal,F,"Ausência de partículas metálicas, não excedendo 2.0 mm",Vazamento de metal,Inspeção visual e uso de detector de metais,A cada lote produzido,Operador da linha,"Parar a linha, reparar o equipamento, reter e inspecionar o lote",Relatório de Inspeção Física,Calibração anual do detector de metais
Expedição e Transporte,Proliferação de microrganismos,B,Temperatura da massa < 7°C em 2 horas de processo,Temperatura da massa e tempo de exposição,Uso de termômetro e cronômetro,A cada 30 minutos,Operador da mistura,"Ajustar a temperatura do ambiente, resfriar a matéria-prima, descartar o lote se fora do limite",Ficha de Controle de Temperatura,Auditoria de processos e análise laboratorial de produto
Expedição e Transporte,Contaminação por combustível ou óleos,Q,Ausência de vazamentos,Aparência visual do veículo,Inspeção visual,A cada carga,Responsável da expedição,Notificar transportadora e rejeitar o veículo,Ficha de Inspeção do Veículo,Auditoria de transportadoras
Expedição e Transporte,Não identificado,F,,,,,,,,
