etapa,perigos,tipo,limite_critico,monitoramento_oque,monitoramento_como,monitoramento_quando,monitoramento_quem,acao_corretiva,registro,verificacao
Coleta da própolis,Contaminação por microrganismos presentes no ambiente ou nas mãos dos manipuladores,B,Ausência de crescimento fúngico e umidade < 8%,Teor de umidade e aparência visual,Secagem controlada e análise laboratorial de umidade,Após coleta e durante a secagem,Responsável técnico da produção,Nova secagem ou descarte do lote contaminado,Boletim de análise microbiológica e umidade,Revisão dos registros e inspeções mensais
Coleta da própolis,Resíduos de defensivos agrícolas na superfície da colmeia,Q,Ausência de resíduos de agrotóxicos ou solventes acima do permitido,Níveis de pesticidas e solventes,Análise cromatográfica conforme IN 01/2000,Por amostragem em cada lote recebido,Laboratório externo credenciado,Desclassificação do lote e notificação ao fornecedor,Laudo de resíduos de solventes/agrotóxicos,Controle de fornecedores e auditorias semestrais
Coleta da própolis,Fragmentos de madeira ou resíduos da colmeia,F,Ausência de corpos estranhos visíveis,Integridade do produto e ferramentas,Inspeção visual e peneiramento,Durante o processamento e embalagem,Operador e conferente final,Descarte do lote e manutenção das ferramentas,Registro de inspeção física,Checklist diário e revisão dos POPs
Limpeza inicial,Proliferação de bolores em própolis úmida,B,Ausência de crescimento fúngico e umidade < 8%,Teor de umidade e aparência visual,Secagem controlada e análise laboratorial de umidade,Após coleta e durante a secagem,Responsável técnico da produção,Nova secagem ou descarte do lote contaminado,Boletim de análise microbiológica e umidade,Revisão dos registros e inspeções mensais
Limpeza inicial,Resíduos de detergentes usados na limpeza dos utensílios,Q,Ausência de resíduos de detergente detectável,Resíduos de detergente em utensílios e superfície da própolis,Teste com fitas reagentes e enxágue adequado,Após a limpeza e antes do contato com a própolis,Supervisor de higienização,Repetição da higienização e novo teste,Check-list de higienização,Auditoria dos POPs e inspeções visuais
Limpeza inicial,Pelos ou cabelos,F,Ausência de corpos estranhos visíveis,Integridade do produto e ferramentas,Inspeção visual e peneiramento,Durante o processamento e embalagem,Operador e conferente final,Descarte do lote e manutenção das ferramentas,Registro de inspeção física,Checklist diário e revisão dos POPs
Trituração,Não identificado,B,Ausência de crescimento fúngico e umidade < 8%,Teor de umidade e aparência visual,Secagem controlada e análise laboratorial de umidade,Após coleta e durante a secagem,Responsável técnico da produção,Nova secagem ou descarte do lote contaminado,Boletim de análise microbiológica e umidade,Revisão dos registros e inspeções mensais
Trituração,Contaminação por óleos industriais dos equipamentos,Q,Ausência de resíduos de agrotóxicos ou solventes acima do permitido,Níveis de pesticidas e solventes,Análise cromatográfica conforme IN 01/2000,Por amostragem em cada lote recebido,Laboratório externo credenciado,Desclassificação do lote e notificação ao fornecedor,Laudo de resíduos de solventes/agrotóxicos,Controle de fornecedores e auditorias semestrais
Trituração,Fragmentos metálicos do triturador,F,Ausência de corpos estranhos visíveis,Integridade do produto e ferramentas,Inspeção visual e peneiramento,Durante o processamento e embalagem,Operador e conferente final,Descarte do lote e manutenção das ferramentas,Registro de inspeção física,Checklist diário e revisão dos POPs
Extração alcoólica,Contaminação microbiológica por solvente contaminado,B,Ausência de crescimento fúngico e umidade < 8%,Teor de umidade e aparência visual,Secagem controlada e análise laboratorial de umidade,Após coleta e durante a secagem,Responsável técnico da produção,Nova secagem ou descarte do lote contaminado,Boletim de análise microbiológica e umidade,Revisão dos registros e inspeções mensais
Extração alcoólica,Resíduos de solvente no produto final,Q,Ausência de resíduos de agrotóxicos ou solventes acima do permitido,Níveis de pesticidas e solventes,Análise cromatográfica conforme IN 01/2000,Por amostragem em cada lote recebido,Laboratório externo credenciado,Desclassificação do lote e notificação ao fornecedor,Laudo de resíduos de solventes/agrotóxicos,Controle de fornecedores e auditorias semestrais
Extração alcoólica,Não identificado,F,Ausência de corpos estranhos visíveis,Integridade do produto e ferramentas,Inspeção visual e peneiramento,Durante o processamento e embalagem,Operador e conferente final,Descarte do lote e manutenção das ferramentas,Registro de inspeção física,Checklist diário e revisão dos POPs
