etapa,codigo,perigos,justificativa,probabilidade,severidade,risco,medidas preventivas,o perigo é significativo?
Recepção do leite,B,"Salmonella, Listeria monocytogenes, Brucella spp.","Microrganismos patogênicos comuns no leite cru, com potencial de causar doenças graves.",Alta,Alta,Alto,"Recebimento de leite de fornecedores certificados, com laudos e refrigeração adequada.",Sim
Recepção do leite,F,"Fragmentos de palha, terra, pedras",Sujidades físicas do transporte e ordenha manual.,Média,Média,Médio,Filtragem imediata e inspeção visual na chegada.,Não
Recepção do leite,Q,Resíduos de medicamentos veterinários,Uso de antibióticos e antiparasitários em vacas leiteiras pode contaminar o leite.,Média,Alta,Médio,Controle de carência de medicamentos e testes de resíduos no leite.,Sim
Filtragem e medição do leite,B,Contaminação por coliformes,Condições higiênicas inadequadas podem permitir multiplicação microbiana antes da pasteurização.,Média,Média,Médio,Higienização de utensílios e agilidade no início do processamento.,Não
Filtragem e medição do leite,F,Fragmentos de filtro danificado,Filtros danificados ou mal instalados podem liberar fragmentos no leite.,Baixa,Baixa,Médio,Inspeção visual diária e troca preventiva dos filtros.,Não
Filtragem e medição do leite,Q,Contaminação cruzada por detergentes,Resíduos de limpeza inadequadamente enxaguados nos tanques e medidores.,Baixa,Alta,Alto,Enxágue completo dos utensílios antes do uso com leite.,Não
Pasteurização,B,Microrganismos termorresistentes (ex: Coxiella burnetii),Aquecimento insuficiente pode não eliminar todos os patógenos.,Média,Alta,Médio,Controle e verificação automática de tempo e temperatura de pasteurização.,Sim
Pasteurização,F,Partículas metálicas da serpentina,Desgaste ou corrosão interna de equipamentos aquecedores.,Baixa,Média,Médio,Manutenção preventiva dos equipamentos de pasteurização.,Não
Pasteurização,Q,Contaminação por óleo térmico,Vazamentos internos do sistema podem contaminar o leite.,Baixa,Alta,Alto,Equipamento selado com material atóxico e inspeções técnicas periódicas.,Não
Adição de culturas e coalho,B,Contaminação microbiana dos insumos,Culturas ou coalho contaminados podem introduzir patógenos.,Baixa,Alta,Alto,Compra de insumos certificados e armazenamento em temperatura adequada.,Não
Adição de culturas e coalho,F,Fragmentos de embalagem de cultura,Embalagens mal abertas ou rompidas manualmente.,Baixa,Baixa,Médio,Abertura cuidadosa e inspeção do conteúdo antes da aplicação.,Não
Adição de culturas e coalho,Q,Contaminação por resíduos químicos dos utensílios,Uso de utensílios recém-lavados sem enxágue completo.,Média,Alta,Médio,Procedimento padrão de enxágue e verificação antes do uso.,Sim
Dessoragem e moldagem,B,Contaminação por Staphylococcus aureus,Manipulação manual ou com superfícies mal higienizadas.,Média,Alta,Médio,Higienização adequada das mãos e equipamentos; uso de luvas.,Sim
Dessoragem e moldagem,F,Fragmentos de pano de dessoragem,Rasgos no tecido de dessoragem podem soltar fibras.,Baixa,Baixa,Médio,"Uso de panos próprios para alimentos, inspecionados antes do uso.",Não
Dessoragem e moldagem,Q,Detergente residual do tanque,Restos de produto de limpeza após lavagem.,Baixa,Alta,Alto,Enxágue com água potável após higienização dos equipamentos.,Não
Prensagem,B,Crescimento de microrganismos na massa,Tempo prolongado ou ambiente quente favorece proliferação.,Média,Alta,Médio,"Controle de tempo, temperatura e higiene do ambiente.",Sim
Prensagem,F,Quebra de molas ou peças da prensa,Partes soltas podem cair na massa.,Baixa,Média,Médio,Manutenção periódica e inspeção após montagem.,Não
Prensagem,Q,Lubrificante industrial na prensa,Uso incorreto de óleo não alimentar nos rolamentos.,Baixa,Alta,Alto,Uso de lubrificantes alimentícios certificados.,Não
Salga,B,Clostridium spp. na salmoura reutilizada,Ambiente salino pode abrigar esporos resistentes.,Média,Alta,Médio,Troca periódica da salmoura e monitoramento microbiológico.,Sim
Salga,F,Cristais ou grânulos duros no sal,Fragmentos que não se dissolvem podem estar presentes.,Baixa,Baixa,Médio,Dissolução completa do sal e filtração da salmoura.,Não
Salga,Q,Uso de sal iodado ou contaminado,Alguns sais inadequados podem conter resíduos ou aditivos não permitidos.,Baixa,Alta,Alto,Aquisição de sal alimentar certificado.,Não
Maturação,B,"Listeria monocytogenes, fungos indesejáveis",Condições inadequadas favorecem crescimento de patógenos durante semanas.,Alta,Alta,Alto,"Controle contínuo de umidade, temperatura e ventilação.",Sim
Maturação,F,Queda de fragmentos da prateleira ou armário,Prateleiras enferrujadas ou desgastadas podem liberar partículas.,Baixa,Média,Médio,Revestimento adequado e inspeções periódicas dos locais de maturação.,Não
Maturação,Q,Gás desinfetante residual na câmara,Câmaras higienizadas com agentes químicos podem reter vapores.,Baixa,Alta,Alto,Aeração completa da câmara antes da reintrodução dos queijos.,Não
Embalagem e rotulagem,B,Contaminação cruzada por manipulação inadequada,Manuseio de queijo sem higienização das mãos ou troca de luvas.,Média,Alta,Médio,Higienização pessoal e treinamento dos manipuladores.,Sim
Embalagem e rotulagem,F,Fragmentos de plástico ou papel colante do rótulo,Etapa final pode deixar fragmentos na embalagem.,Baixa,Baixa,Médio,Inspeção visual e uso de materiais de qualidade.,Não
Embalagem e rotulagem,Q,Tinta tóxica na rotulagem,Rótulos impressos com tinta não alimentícia.,Baixa,Alta,Alto,Compra de rótulos certificados e de fornecedores homologados.,Não
Armazenamento do produto,B,Crescimento de Listeria monocytogenes,Queijos mal refrigerados continuam permitindo crescimento microbiano.,Média,Alta,Médio,Controle de temperatura e rastreabilidade do lote.,Sim
Armazenamento do produto,F,Quebra de bandeja ou caixa plástica,Contaminação física por fragmentos de embalagem durante empilhamento.,Baixa,Média,Médio,Verificação das condições das embalagens antes da armazenagem.,Não
Armazenamento do produto,Q,Vapores de produtos de limpeza utilizados no ambiente,Produtos mal armazenados próximos ao queijo podem evaporar e contaminar o alimento.,Baixa,Alta,Alto,Isolamento dos produtos químicos e ventilação adequada.,Não
