etapa,perigo,tipo,limite_critico,monitoramento_oque,monitoramento_como,monitoramento_quando,monitoramento_quem,acao_corretiva,registro,verificacao
Recepção do leite,"Salmonella, Listeria, Brucella spp.",B,Ausência de patógenos em amostras de leite cru,Contagem microbiológica,Análise laboratorial,A cada lote recebido,Responsável técnico,Rejeição do lote e comunicação ao fornecedor,Planilha de entrada de leite,Auditoria de registros e reconfirmação laboratorial
Recepção do leite,"Fragmentos (palha, terra, pedras)",F,Ausência de fragmentos visíveis após filtragem,Condição física do leite,Inspeção visual,A cada chegada de transporte,Recebedor do leite,Refiltragem ou descarte parcial,Formulário de inspeção visual,Supervisão diária do controle de recepção
Recepção do leite,Resíduos de medicamentos veterinários,Q,Ausência de resíduos acima dos LMR,Análise de resíduos,Laboratório externo,A cada semana,Responsável técnico,Interrupção do uso e rastreio da origem,Relatório de análise laboratorial,Verificação de laudos e rastreabilidade
Pasteurização,Coxiella burnetii / microrganismos termorresistentes,B,72°C por 15 segundos,Tempo e temperatura,Termorregistrador,Em tempo real,Operador da pasteurizadora,Reprocessamento do leite e registro da falha,Registro contínuo do equipamento,Verificação por amostragem dos registros
Pasteurização,Partículas metálicas,F,Ausência de partículas após inspeção,Condição da serpentina,Inspeção visual,Diariamente,Manutenção,Retirada do equipamento de linha e substituição,Registro de inspeção,Verificação pela chefia de produção
Pasteurização,Contaminação por óleo térmico,Q,Zero presença de óleo no leite,Integridade do equipamento,Inspeção e teste,Semanal,Técnico de manutenção,Manutenção corretiva e bloqueio de lote,Ficha de manutenção,Avaliação da manutenção preventiva
Prensagem,Contaminação microbiológica por contato,B,Superfície sanitizada (ATP < limite permitido),Higienização da prensa,Swab + ATP,Antes de cada uso,Operador de linha,Nova sanitização e liberação somente após validação,Registro de higienização da prensa,Auditoria e verificação com swabs
Prensagem,Fragmento de prensa,F,Ausência de corpos estranhos,Estado físico da prensa,Inspeção visual,Antes de cada batelada,Operador de produção,Substituição da peça defeituosa,Check-list de inspeção,Verificação cruzada pelo encarregado
Prensagem,Lubrificante industrial,Q,Lubrificante atóxico com selo NSF H1,Especificação do lubrificante,Conferência técnica,Trimestral,Supervisor de manutenção,Substituir lubrificante por versão alimentar,Ficha técnica do produto utilizado,Verificação documental e inspeção técnica
Salga,Clostridium spp.,B,<10² UFC/mL na salmoura,Contagem microbiológica,Análise laboratorial,Mensal,Analista de qualidade,Substituição completa da salmoura,Registro de controle da salmoura,Verificação dos laudos e amostras internas
Maturação,Listeria monocytogenes,B,Ausência em 25g de produto,Presença de patógenos,Análise laboratorial,Quinzenal,Analista de microbiologia,"Interrupção da maturação, isolamento do lote",Planilha de análise de maturação,Conferência dos resultados por supervisão
Embalagem e rotulagem,Contaminação por manipulação,B,Higienização das mãos realizada e EPI completo,Prática de higiene dos operários,Observação direta,A cada turno,Encarregado de embalagem,Substituição de luvas/EPI e reforço no treinamento,Check-list de higiene,Supervisão direta durante o processo
Armazenamento do produto,Listeria monocytogenes,B,Temperatura < 8°C,Temperatura da câmara,Termômetro calibrado,2x ao dia,Responsável pelo estoque,Ajuste imediato do equipamento e avaliação do lote,Planilha de temperatura diária,Conferência de registros e aferição técnica
