etapa,codigo,perigos,justificativa,probabilidade,severidade,risco,medidas preventivas,o perigo é significativo?
Recepção do leite,B,"Salmonella, Listeria monocytogenes, Brucella spp.","Microrganismos patogênicos comuns no leite cru, com potencial de causar doenças graves.",Alta,Alta,Alto,"Recebimento de leite de fornecedores certificados, com laudos e refrigeração adequada.",SIM
Recepção do leite,F,"Fragmentos de palha, terra, pedras",Sujidades físicas do transporte e ordenha manual.,Média,Média,Moderado,Filtragem imediata e inspeção visual na chegada.,NÃO
Recepção do leite,Q,Resíduos de medicamentos veterinários,Uso de antibióticos e antiparasitários em vacas leiteiras pode contaminar o leite.,Média,Alta,Alto,Controle de carência de medicamentos e testes de resíduos no leite.,SIM
Filtragem e medição do leite,B,Contaminação por coliformes,Condições higiênicas inadequadas podem permitir multiplicação microbiana antes da pasteurização.,Média,Média,Moderado,Higienização de utensílios e agilidade no início do processamento.,NÃO
Filtragem e medição do leite,F,Fragmentos de filtro danificado,Filtros danificados ou mal instalados podem liberar fragmentos no leite.,Baixa,Baixa,Baixo,Inspeção visual diária e troca preventiva dos filtros.,NÃO
Filtragem e medição do leite,Q,Contaminação cruzada por detergentes,Resíduos de limpeza inadequadamente enxaguados nos tanques e medidores.,Baixa,Alta,Moderado,Enxágue completo dos utensílios antes do uso com leite.,NÃO
Pasteurização,B,Microrganismos termorresistentes (ex: Coxiella burnetii),Aquecimento insuficiente pode não eliminar todos os patógenos.,Média,Alta,Alto,Controle e verificação automática de tempo e temperatura de pasteurização.,SIM
Pasteurização,F,Partículas metálicas da serpentina,Desgaste ou corrosão interna de equipamentos aquecedores.,Baixa,Média,Moderado,Manutenção preventiva dos equipamentos de pasteurização.,NÃO
Pasteurização,Q,Contaminação por óleo térmico,Vazamentos internos do sistema podem contaminar o leite.,Baixa,Alta,Moderado,Equipamento selado com material atóxico e inspeções técnicas periódicas.,NÃO
Adição de culturas e coalho,B,Contaminação microbiana dos insumos,Culturas ou coalho contaminados podem introduzir patógenos.,Baixa,Alta,Moderado,Compra de insumos certificados e armazenamento em temperatura adequada.,NÃO
Adição de culturas e coalho,F,Fragmentos de embalagem de cultura,Embalagens mal abertas ou rompidas manualmente.,Baixa,Baixa,Baixo,Abertura cuidadosa e inspeção do conteúdo antes da aplicação.,NÃO
Adição de culturas e coalho,Q,Contaminação por resíduos químicos dos utensílios,Uso de utensílios recém-lavados sem enxágue completo.,Média,Alta,Alto,Procedimento padrão de enxágue e verificação antes do uso.,SIM
Dessoragem e moldagem,B,Contaminação por Staphylococcus aureus,Manipulação manual ou com superfícies mal higienizadas.,Média,Alta,Alto,Higienização adequada das mãos e equipamentos; uso de luvas.,SIM
Dessoragem e moldagem,F,Fragmentos de pano de dessoragem,Rasgos no tecido de dessoragem podem soltar fibras.,Baixa,Baixa,Baixo,"Uso de panos próprios para alimentos, inspecionados antes do uso.",NÃO
