etapa,perigos,codigo,limite_critico,monitoramento_oque,monitoramento_como,monitoramento_quando,monitoramento_quem,acao_corretiva,registro,verificacao
Tratamento de Água,Contaminação por microrganismos patógenos (E. coli),B,Ausência de coliformes totais e E. coli,Qualidade microbiológica da água tratada,Análise laboratorial de amostras,Diariamente,Técnico de laboratório,Parar a produção. Reavaliar o processo de tratamento e descartar o lote afetado.,Ficha de Análise Microbiológica da Água,Revisão dos resultados de análise
Tratamento de Água,Resíduos de produtos químicos de tratamento (cloro),Q,"Cloro residual dentro dos limites legais (ex: 0,2 - 2,0 mg/L)",Concentração de cloro residual,Medição por sensor ou kit de teste,Continuamente,Operador da estação de tratamento,"Ajustar a dosagem de cloro. Reanalisar e, se necessário, descartar a água.",Registro de Monitoramento de Cloro,Calibração do equipamento de medição
Tratamento de Água,Partículas sólidas,F,Nível de turbidez abaixo de 1 NTU,Nível de turbidez,Medição por turbidímetro online,Continuamente,Operador da estação de tratamento,Ajustar o sistema de filtração da água,Registro de Monitoramento de Turbidez,Manutenção e calibração do turbidímetro
Preparo do Xarope,Proliferação de microrganismos,B,"Ausência de bolores, leveduras e bactérias patogênicas",Limpeza e sanitização dos tanques. Qualidade das matérias-primas.,Análise microbiológica de superfícies e matérias-primas,Antes de cada ciclo de produção,Técnico de laboratório/Operador,"Parar a produção, limpar e sanitizar novamente o equipamento. Descartar matérias-primas contaminadas.",Ficha de Saneamento e Inspeção de Matérias-Primas,Revisão dos registros de saneamento
Preparo do Xarope,Contaminação por alérgenos,Q,Ausência de alérgenos não declarados,Limpeza e segregação de ingredientes,Análise de swabs de superfície,Entre produções de diferentes xaropes,Técnico de controle de qualidade,Limpar e sanitizar novamente. Segregar ingredientes e produtos.,Ficha de Controle de Alérgenos,Validação do protocolo de limpeza para alérgenos
Preparo do Xarope,Fragmentos de plástico ou metal,F,Ausência de objetos estranhos,Integridade das embalagens de matéria-prima e equipamentos,Inspeção visual,No recebimento e durante o preparo,Operador de linha,Remover o contaminante. Investigar a origem do fragmento.,Registro de Inspeção de Materiais,Treinamento dos operadores
Carbonatação,Contaminação por gases tóxicos (ex: benzeno),Q,Gás de grau alimentício com laudo de qualidade,Pureza do CO2,Análise do laudo do fornecedor,Por lote de CO2,Gerente de produção,Rejeitar o lote de CO2. Investigar o fornecedor e o laudo,Ficha de Controle de Qualidade do CO2,Revisão dos certificados do fornecedor
Carbonatação,Não identificado,B,,,,,,,,
Carbonatação,Não identificado,F,,,,,,,,
Envasamento e Envase,Contaminação por microrganismos,B,Ausência de patógenos no produto final,Limpeza e sanitização da linha e das embalagens,Testes de swab de superfície e análise microbiológica do produto final,A cada troca de produto e por lote,Operador de linha e Técnico de laboratório,"Parar a linha, limpar e sanitizar novamente. Descartar o lote afetado.",Registro de Saneamento e Análise de Produto Final,Análise de dados de monitoramento e resultados de teste
Envasamento e Envase,Resíduos de produtos de limpeza,Q,Ausência de resíduos,Enxágue da envasadora e embalagens,Verificação visual e testes de pH,Antes de iniciar o envase,Operador de linha,Repetir o ciclo de enxágue,Ficha de Verificação de Saneamento,Revisão dos registros de saneamento
Envasamento e Envase,"Fragmentos de vidro, metal ou plástico",F,Ausência de objetos estranhos,Presença de objetos estranhos,Inspeção visual e detector de metal,Continuamente na linha,Operador de linha,Parar a linha. Remover o contaminante. Investigar a origem do fragmento.,Registro de Inspeção de Envase,Verificação da calibração do detector de metal
