etapa,codigo,perigos,justificativa,probabilidade,severidade,risco,medidas preventivas,o perigo é significativo?
Recepção do Leite Cru,B,Micro-organismos patogênicos e toxinas,O leite cru tem microbiota natural e pode ser um substrato para o crescimento de micro-organismos. A temperatura inadequada pode levar à produção de toxinas que não são eliminadas em etapas posteriores. A qualidade da matéria-prima deficiente não garante a qualidade do produto final. ,Alta,Alta,Alto,"Controle de temperatura (abaixo de 5°C), análise de amostras",Sim
Recepção do Leite Cru,Q,Resíduos de antibióticos,"A pasteurização não elimina resíduos de antibióticos que podem estar presentes no leite de animais em tratamento, representando um perigo químico.",Média,Alta,Médio,Realização de testes para verificação de antibióticos,Sim
Recepção do Leite Cru,Q,Resíduos de produtos de limpeza,Contaminação acidental ou intencional por produtos de limpeza.,Baixa,Média,Médio,Controle dos processos de limpeza e sanitização,Sim
Recepção do Leite Cru,F,Não identificado,,,,,,
Armazenamento sob Refrigeração,B,Multiplicação de micro-organismos,O desenvolvimento de micro-organismos presentes no leite pode modificar suas características físico-químicas e sensoriais. A baixa temperatura por um período curto garantirá que toxinas não sejam produzidas.,Média,Média,Médio,Manter a temperatura abaixo de 3°C por no máximo 3 horas,Sim
Armazenamento sob Refrigeração,Q,Não identificado,,,,,,
Armazenamento sob Refrigeração,F,Não identificado,,,,,,
Pasteurização,B,Sobrevivência de micro-organismos patogênicos,"O binômio tempo x temperatura deve ser controlado. Um processo ineficiente não elimina os micro-organismos presentes naturalmente no leite, comprometendo o produto. A pasteurização não elimina toxinas ou esporos bacterianos.",Alta,Alta,Alto,"Monitoramento do tempo e temperatura (75°C por 15 segundos ou 72-75°C por 16-20 segundos), aferição dos equipamentos, manutenção preventiva",Sim
Pasteurização,Q,Não identificado,,,,,,
Pasteurização,F,Não identificado,,,,,,
Coagulação,B,Proliferação de micro-organismos,"A temperatura do processo (20-30°C) é ótima para o crescimento de bactérias, e a contaminação ambiental pode encontrar um meio nutritivo. Embora a fusão posterior elimine micro-organismos, ela não elimina as toxinas produzidas.",Média,Alta,Médio,"Controle de qualidade das matérias-primas (cultura láctica, coalho), controle de temperatura",Sim
Coagulação,Q,Perigo químico (ingredientes),A adição de ingredientes para a coagulação deve ser devidamente pesada e documentada. Erros na dosagem podem resultar em perigo químico.,Média,Baixa,Médio,Controle de pesagem e documentação dos ingredientes,Sim
Coagulação,F,Não identificado,,,,,,
Fusão,B,Sobrevivência de micro-organismos,Esta etapa de tratamento térmico é a última a garantir a segurança e estabilidade microbiológica do produto. O binômio temperatura/tempo deve ser criticamente controlado.,Alta,Alta,Alto,Controle de tempo e temperatura (90°C por 15 minutos ou 95°C por 15 segundos) da massa,Sim
Fusão,Q,Perigo químico (ingredientes de fusão),"A adição de ingredientes como sal de fusão, sorbato de potássio e sal deve ser controlada para evitar perigos químicos.",Média,Média,Médio,"Controle de pesagem e documentação dos ingredientes, inspeção da procedência",Sim
Fusão,F,Não identificado,,,,,,
Envase e Acondicionamento,B,Recontaminação por micro-organismos,"Risco de contaminação cruzada por manipuladores, ar ou embalagens após o tratamento térmico de fusão.",Baixa,Média,Médio,"Higienização das embalagens, envase a 90°C, inversão para esterilização da tampa",Não
Envase e Acondicionamento,Q,Não identificado,,,,,,
Envase e Acondicionamento,F,Fragmentos de embalagem ou outros materiais,"Pode ocorrer falha no processo de envase, levando a resíduos de fita de soldagem ou outros materiais estranhos.",Baixa,Média,Médio,Inspeção visual da integridade das embalagens e da linha de envase,Não
Resfriamento e Estocagem do produto final,B,Proliferação de micro-organismos,O produto deve ser resfriado rapidamente até atingir uma temperatura inferior a 10°C para interromper a multiplicação microbiana.,Baixa,Baixa,Médio,Monitoramento e controle da temperatura de resfriamento e armazenamento,Não
Resfriamento e Estocagem do produto final,Q,Não identificado,,,,,,
Resfriamento e Estocagem do produto final,F,Não identificado,,,,,,
