etapa,perigos,tipo,limite_critico,monitoramento_oque,monitoramento_como,monitoramento_quando,monitoramento_quem,acao_corretiva,registro,verificacao
Recepção e Seleção,Contaminação por microrganismos patógenos,B,Ausência de E. coli e Salmonella,Qualidade microbiológica das frutas,Análise laboratorial de amostras,Por lote de matéria-prima,Técnico de laboratório,Rejeitar o lote de frutas e notificar o fornecedor,Ficha de Análise de Matéria-Prima,Revisão dos resultados de análise
Recepção e Seleção,Resíduos de agrotóxicos,Q,Resíduos abaixo dos limites máximos (LMR),Nível de resíduos de agrotóxicos,Análise laboratorial de amostras,Por lote de matéria-prima,Técnico de laboratório,Rejeitar o lote de frutas e notificar o fornecedor,Ficha de Análise de Agrotóxicos,Revisão dos relatórios de análise
Recepção e Seleção,Objetos estranhos,F,"Ausência de pedras, folhas ou insetos",Presença de objetos estranhos,Inspeção visual,No recebimento do lote,Operador da recepção,Remover o contaminante e reclassificar o lote,Ficha de Inspeção de Matéria-Prima,Revisão dos registros de inspeção
Lavagem/Sanitização,Contaminação por microrganismos patógenos,B,"Redução de 99,9% da carga microbiana da superfície",Eficácia da lavagem e sanitização,Testes de swab ou enxágue de frutas,Antes de iniciar a produção,Técnico de laboratório,Repetir o ciclo de lavagem. Ajustar a concentração do sanitizante,Registro de Saneamento da Matéria-Prima,Validação do protocolo de sanitização
Lavagem/Sanitização,Resíduos de produtos de limpeza,Q,Ausência de resíduos visíveis ou por análise de pH/condutividade,Nível de resíduos,Medição de pH ou condutividade,A cada ciclo de enxágue,Operador da linha,Repetir o ciclo de enxágue,Registro de Verificação de Saneamento,Verificação da calibração do medidor de pH
Lavagem/Sanitização,Não identificado,F,,,,,,,,
Trituração e Prensagem,Contaminação por microrganismos,B,Valores microbiológicos dentro dos limites de tolerância,Limpeza e sanitização do equipamento,Análise por swab de superfícies de contato,Antes de iniciar a produção,Operador de linha,"Parar a linha, limpar e sanitizar novamente o equipamento",Registro de Saneamento do Equipamento,Revisão dos resultados de swab
Trituração e Prensagem,Contaminação por lubrificantes,Q,Ausência de vazamentos de lubrificantes,Integridade dos componentes mecânicos,Inspeção visual e manutenção preventiva,Diariamente,Técnico de manutenção,Substituir componentes danificados e limpar a área afetada,Registro de Manutenção Preventiva,Revisão dos registros de manutenção
Trituração e Prensagem,Fragmentos de metal ou plástico,F,Ausência de fragmentos visíveis no suco,Integridade do equipamento,Inspeção visual e manual do equipamento,Antes e durante a operação,Operador de linha,Parar a linha. Remover o contaminante e inspecionar o equipamento,Registro de Inspeção do Equipamento,Treinamento dos operadores
Filtração e Envasamento,Contaminação por microrganismos,B,Ausência de patógenos no produto final,Parâmetros de pasteurização (se aplicável) e sanitização da linha,"Verificação de tempo e temperatura, e testes microbiológicos do produto final",A cada ciclo de pasteurização e por lote de envase,Operador da linha e Técnico de laboratório,"Parar a linha, ajustar os parâmetros de pasteurização. Descartar o lote afetado",Registro de Pasteurização e Envase,Validação do processo de pasteurização. Análise do produto final
Filtração e Envasamento,Resíduos de produtos de limpeza,Q,Ausência de resíduos,Enxágue da envasadora e embalagens,Verificação visual e testes químicos,Antes de iniciar o envase,Operador de linha,Repetir o ciclo de enxágue,Registro de Verificação de Saneamento,Revisão dos registros de saneamento
Filtração e Envasamento,"Fragmentos de vidro, metal ou plástico",F,Ausência de objetos estranhos,Presença de objetos estranhos,Inspeção visual e detector de metal,Continuamente na linha,Operador de linha,Parar a linha. Remover o contaminante. Investigar a origem do fragmento,Registro de Inspeção de Envase,Verificação da calibração do detector de metal
