tempo_decantacao_h,temperatura_decantacao_c,tanque_limpio_sanitizado,cobertura_anti_pragas,remocao_espuma_impurezas,material_tanque_inox_grau_alimentar,claridade_visual_nota,lote_identificado,probabilidade
61.4,27.2,0,0,1,1,0.0,0,2
23.3,29.3,1,0,0,0,0.0,0,1
71.7,25.2,0,0,1,1,0.0,1,2
56.5,26.8,0,0,1,1,1.0,0,2
59.3,33.2,0,1,1,1,1.0,0,3
38.0,33.2,0,1,1,0,1.0,1,3
43.8,20.7,1,0,1,1,0.0,1,1
60.5,32.2,0,0,0,0,1.0,1,3
12.2,18.8,0,0,1,1,1.0,1,1
33.2,30.8,0,0,1,1,2.0,1,2
49.6,25.8,0,0,1,0,1.0,1,2
29.6,31.2,1,0,0,1,1.0,1,2
62.3,30.1,1,1,1,1,1.0,0,3
48.6,31.1,0,0,1,1,1.0,0,3
60.0,30.2,0,1,0,0,0.0,1,3
59.5,34.2,0,0,0,0,1.0,1,3
43.4,25.8,1,0,1,1,2.0,1,1
56.9,29.0,0,0,1,1,2.0,1,2
63.1,32.6,1,0,1,0,1.0,1,3
71.4,30.3,0,1,0,1,1.0,0,3
55.2,31.1,0,0,1,1,1.0,0,3
42.6,34.3,0,0,0,0,1.0,0,3
50.2,34.1,1,1,1,0,1.0,0,3
42.0,29.8,1,1,0,0,1.0,1,2
17.4,32.1,1,0,1,1,1.0,1,2
8.8,33.4,1,1,1,0,1.0,1,3
71.6,19.4,1,0,1,0,1.0,0,2
69.9,27.5,1,0,1,0,0.0,0,2
23.4,24.8,0,0,1,0,1.0,1,0
50.0,20.0,0,1,1,1,2.0,1,2
32.7,24.0,0,1,0,1,2.0,0,1
10.4,27.3,1,1,1,0,1.0,0,1
63.2,20.2,0,1,1,1,0.0,1,2
26.0,19.0,1,1,0,0,0.0,0,0
56.4,27.5,1,0,0,0,0.0,1,2
69.2,20.2,0,1,1,0,1.0,1,2
53.4,23.8,0,0,0,0,0.0,1,2
21.1,23.2,0,0,1,0,1.0,0,0
18.7,18.5,1,1,0,1,1.0,0,0
52.3,18.3,0,0,1,1,1.0,0,2
26.5,19.9,0,0,0,0,1.0,1,0
58.5,23.7,1,0,0,0,1.0,0,2
67.1,34.1,1,0,0,0,1.0,0,3
53.0,25.8,1,1,1,1,1.0,1,2
61.6,34.1,1,1,1,0,2.0,1,3
71.2,21.4,1,1,0,1,2.0,1,2
62.4,20.9,1,0,0,0,1.0,1,2
43.6,24.0,0,1,1,0,1.0,0,1
12.1,21.1,1,1,1,1,0.0,0,1
25.0,33.2,0,1,1,0,2.0,0,2
23.1,34.6,1,1,1,0,1.0,1,2
23.7,25.6,1,0,1,0,0.0,0,0
52.6,24.0,1,1,1,0,1.0,1,2
15.7,18.2,1,1,0,1,0.0,1,0
