malha_peneira_microns,integridade_peneira_sem_rasgos,frequencia_troca_peneira_h,higienizacao_peneira_pos_lote,contagem_residuos_retidos_pct,protecao_contra_poeira,separacao_fluxo,lote_identificado,probabilidade
910.0,0,15.9,0,0.99,0,0,0,3
1021.0,1,17.9,1,4.04,1,0,0,3
884.0,1,8.9,0,0.06,1,1,0,0
849.0,0,18.8,1,1.95,0,1,1,0
986.0,0,22.7,0,4.4,1,0,1,3
669.0,0,23.9,1,4.68,1,1,0,0
345.0,1,16.3,0,4.21,0,0,0,3
625.0,1,5.4,0,4.46,0,0,1,3
520.0,1,7.8,0,1.84,1,0,1,3
275.0,0,17.9,1,3.54,1,0,1,3
936.0,1,2.8,0,1.28,1,0,0,3
762.0,0,20.5,0,4.52,1,0,1,3
789.0,1,14.4,1,0.27,0,0,0,3
628.0,1,19.4,0,3.2,1,0,0,3
829.0,1,16.1,1,1.67,1,0,1,3
820.0,1,1.1,1,1.7,0,0,0,3
480.0,1,13.3,1,3.53,1,1,0,0
329.0,0,5.6,0,0.89,0,1,0,0
649.0,0,3.7,1,1.91,0,1,0,0
911.0,0,14.1,0,0.26,1,0,1,3
809.0,0,13.9,0,4.86,1,0,0,3
870.0,0,8.8,1,2.99,1,1,0,0
715.0,0,8.7,0,0.75,0,1,1,0
562.0,0,3.2,1,4.61,1,1,0,0
332.0,1,22.9,0,2.1,0,0,1,3
1053.0,0,20.4,1,3.75,0,0,0,3
315.0,0,8.0,0,1.16,1,0,1,3
480.0,0,20.4,0,3.23,1,1,1,0
290.0,1,16.8,1,4.69,0,0,1,3
790.0,0,4.8,1,1.14,1,0,1,3
1184.0,0,6.0,0,0.12,0,1,0,0
434.0,0,9.8,1,3.8,0,0,1,3
724.0,0,16.0,1,2.92,0,1,0,0
1127.0,0,13.0,0,3.37,1,0,1,3
813.0,0,19.3,1,2.61,1,0,1,3
289.0,0,2.1,1,2.51,0,0,1,3
1115.0,0,4.2,0,3.92,0,0,0,3
563.0,0,15.8,0,2.15,0,1,1,0
1160.0,1,17.4,0,2.72,0,0,1,3
346.0,0,5.8,0,1.63,1,0,0,3
1109.0,1,21.4,1,3.76,1,1,1,0
1138.0,1,17.3,0,2.75,1,1,0,0
922.0,1,5.0,1,3.85,1,0,1,3
910.0,0,17.3,0,0.28,1,0,1,3
1129.0,0,6.3,1,1.49,0,1,1,0
607.0,0,4.8,1,3.85,0,0,0,3
1058.0,0,22.5,1,1.14,1,0,0,3
864.0,0,2.7,1,0.88,1,0,1,3
532.0,1,7.4,0,4.6,0,1,1,0
220.0,1,8.8,0,3.62,0,1,1,0
957.0,1,15.5,0,2.31,1,1,1,0
681.0,0,22.2,1,3.07,1,1,1,0
1005.0,0,10.2,1,4.3,1,0,1,3
645.0,0,16.9,0,1.37,1,0,1,3
302.0,1,9.8,1,1.05,0,1,0,0
761.0,0,20.4,1,2.92,1,1,1,0
831.0,0,20.2,0,1.24,0,1,1,0
658.0,1,16.7,0,1.34,1,0,0,3
362.0,1,8.3,1,4.38,1,1,1,0
305.0,0,4.7,1,0.44,0,1,0,0
477.0,1,9.9,1,2.63,1,1,0,0
891.0,1,13.2,0,1.88,0,1,1,0
692.0,0,9.0,1,3.06,0,0,0,3
717.0,0,7.5,1,0.82,0,0,0,3
614.0,0,7.1,1,2.92,1,0,0,3
932.0,0,16.5,0,3.69,1,1,1,0
1096.0,0,20.3,0,1.99,0,0,0,3
728.0,1,12.7,1,1.12,0,1,0,0
1146.0,0,17.5,1,3.09,1,0,0,3
451.0,0,5.8,1,4.78,1,1,1,0
892.0,1,3.4,1,5.0,0,1,0,0
1132.0,1,7.9,0,0.61,1,0,0,3
1160.0,0,4.7,1,0.07,0,1,1,0
285.0,1,3.4,0,2.93,0,1,0,0
784.0,0,14.2,0,1.48,1,0,1,3
306.0,1,5.3,0,3.93,0,1,0,0
503.0,1,15.3,0,4.24,1,1,0,0
841.0,0,15.2,0,1.71,1,1,1,0
1183.0,1,1.0,1,4.84,1,1,1,0
1079.0,0,21.9,0,1.58,1,1,0,0
595.0,0,3.3,1,0.7,1,0,0,3
528.0,1,2.1,1,1.81,1,0,0,3
797.0,0,21.5,1,3.95,1,1,0,0
223.0,1,6.1,1,4.54,1,1,0,0
890.0,0,12.8,1,4.01,0,0,1,3
288.0,0,14.1,1,4.4,1,0,0,3
237.0,0,3.0,0,1.65,0,0,0,3
452.0,0,4.7,1,4.29,0,0,0,3
456.0,1,9.6,1,4.17,1,0,0,3
952.0,1,11.6,1,3.51,1,0,1,3
903.0,1,15.5,0,4.47,0,0,0,3
264.0,0,19.1,1,1.61,1,1,1,0
594.0,0,12.9,1,2.23,0,0,0,3
861.0,0,4.8,1,1.22,0,0,1,3
356.0,1,16.1,0,2.79,1,0,0,3
782.0,0,13.1,1,0.27,0,1,1,0
656.0,1,13.4,1,0.14,1,0,0,3
754.0,0,18.4,0,0.43,1,1,0,0
