malha_peneira_microns,integridade_peneira_sem_rasgos,frequencia_troca_peneira_h,higienizacao_peneira_pos_lote,contagem_residuos_retidos_pct,protecao_contra_poeira,separacao_fluxo,lote_identificado,probabilidade
221.0,0,14.4,1,1.16,1,1,1,1
980.0,1,6.4,0,2.34,0,0,0,2
910.0,1,14.0,1,2.31,1,1,1,1
839.0,1,23.8,0,3.48,1,1,1,1
430.0,0,4.9,1,2.0,0,0,0,2
1096.0,0,5.1,0,2.47,1,0,0,2
555.0,0,7.4,1,1.28,0,0,1,2
471.0,0,13.4,0,3.82,1,1,1,2
343.0,0,11.9,0,0.26,1,1,1,1
752.0,0,18.6,1,0.61,1,1,1,2
981.0,1,22.1,0,2.01,0,0,0,2
386.0,0,17.2,0,1.75,1,1,0,2
690.0,0,13.8,1,2.55,1,1,0,2
1094.0,1,3.7,0,0.36,1,0,1,1
927.0,0,5.8,1,1.97,0,1,1,3
448.0,1,18.3,0,3.93,0,0,0,1
603.0,1,14.9,0,2.6,0,1,0,1
310.0,0,1.3,0,0.41,1,1,0,1
273.0,0,15.4,0,1.69,1,1,1,2
908.0,1,10.9,1,2.79,1,1,1,1
309.0,0,20.2,0,1.86,0,0,0,2
855.0,0,10.1,0,1.16,0,1,1,2
1077.0,1,12.6,0,1.35,0,0,0,2
289.0,0,15.3,1,0.74,1,1,1,1
418.0,1,15.3,1,2.23,1,1,1,0
244.0,1,22.9,0,0.05,1,1,1,0
823.0,1,11.8,1,3.96,1,1,0,1
468.0,0,20.0,0,1.48,1,0,1,1
785.0,0,19.5,1,4.68,0,1,1,3
958.0,1,19.3,1,0.33,1,0,1,1
568.0,0,2.0,0,4.4,0,1,1,2
358.0,1,11.5,1,0.36,1,0,1,0
274.0,0,18.0,1,3.8,0,1,0,2
790.0,1,11.3,0,3.06,0,0,1,1
265.0,1,14.0,0,3.31,0,1,0,1
891.0,1,22.7,1,1.77,0,0,1,1
258.0,0,16.2,0,0.15,0,0,0,2
482.0,1,21.2,0,2.71,1,1,1,0
1002.0,0,13.5,0,2.15,1,0,1,2
1002.0,0,3.2,1,1.62,0,0,1,3
484.0,1,16.7,0,1.82,0,0,1,1
687.0,0,12.8,1,4.26,1,1,0,2
813.0,0,16.5,0,0.8,0,1,1,2
772.0,1,17.0,1,4.2,0,1,1,2
1085.0,1,16.8,1,0.32,1,1,1,1
731.0,0,19.1,1,3.68,1,0,1,2
816.0,0,22.0,1,1.84,1,0,1,2
869.0,0,16.5,0,0.78,0,0,1,2
585.0,0,12.2,1,1.29,0,0,0,2
1040.0,0,15.0,1,2.95,0,1,1,3
364.0,1,15.7,0,3.96,1,0,0,1
910.0,1,6.8,0,3.44,0,1,1,2
359.0,0,13.7,1,2.02,1,1,1,2
424.0,0,20.2,1,3.91,1,1,1,2
996.0,1,4.9,0,1.09,0,1,0,1
838.0,0,4.5,0,3.72,0,1,1,3
826.0,1,18.4,1,2.91,1,1,0,1
561.0,1,23.3,1,4.6,1,0,0,1
