fornecedor_auditado,laudo_residuos_agrotoxicos,temperatura_recebimento_c,tempo_desde_coleta_h,integridade_containers,sujeira_visivel_externa,umidade_lote_pct,documentacao_lote_ok,transporte_segregado_de_quimicos,lacre_viagem_integro,lote_identificado,probabilidade
0,1,31.1,52.1,1,0,20.5,0,0,1,0,2
1,0,21.2,27.0,0,1,23.2,1,1,1,0,2
1,0,33.8,61.6,0,0,18.2,0,1,1,0,2
0,0,26.3,18.9,0,1,16.2,1,0,0,1,0
0,1,12.9,39.7,1,1,22.2,1,1,1,1,2
1,0,32.1,14.9,1,1,21.6,0,1,0,1,2
0,0,22.2,36.7,1,0,20.4,0,0,0,0,1
1,0,13.5,12.7,0,1,22.5,0,1,1,0,1
0,1,13.8,13.3,1,0,22.7,1,1,0,1,1
0,1,27.2,44.9,0,1,20.7,0,1,0,0,2
1,0,11.2,20.5,0,1,23.7,0,0,0,1,2
1,0,17.2,14.1,0,0,21.8,0,0,0,1,1
1,0,13.5,67.1,1,1,21.4,0,0,1,0,2
1,1,21.0,5.0,1,1,18.9,0,1,0,1,0
1,1,20.4,41.6,1,0,16.0,0,1,0,0,1
1,0,23.0,40.4,1,0,17.9,1,1,1,0,1
1,0,17.0,19.5,0,0,22.1,0,1,0,0,1
0,1,10.8,33.7,1,0,21.7,0,0,1,1,2
1,1,25.4,8.1,0,1,18.6,1,0,0,1,0
0,0,19.3,52.5,1,1,21.0,0,1,0,0,2
1,0,26.3,17.5,0,1,17.6,0,1,1,1,0
0,1,12.7,15.5,1,0,18.1,1,1,1,0,0
0,1,10.3,24.0,1,1,23.6,0,1,0,1,2
1,1,16.2,65.2,1,1,19.3,1,1,0,1,1
1,0,21.4,57.8,1,1,18.0,0,1,1,1,1
1,0,19.9,68.3,0,0,19.9,0,1,1,1,2
0,1,30.3,47.6,0,0,19.1,0,1,1,0,2
1,1,19.4,48.4,1,1,21.8,0,0,0,0,2
1,1,23.3,35.6,1,1,23.7,0,1,1,1,2
0,0,24.8,65.4,0,0,20.7,1,1,0,0,2
0,1,10.5,37.8,1,1,20.7,1,0,0,1,1
0,0,22.9,26.9,0,1,18.9,0,1,0,0,1
0,0,18.6,46.8,1,1,20.5,1,1,0,1,2
1,1,20.5,40.2,0,0,18.6,1,1,1,1,1
1,1,12.5,10.7,0,1,16.0,1,1,0,1,0
0,1,29.6,29.5,1,0,22.9,1,0,1,0,2
1,1,33.6,23.9,1,1,19.4,0,0,1,1,2
1,0,10.6,61.3,1,0,19.9,0,0,1,0,2
0,1,25.0,28.5,1,0,16.7,1,1,1,0,0
1,0,29.1,59.5,1,1,22.7,1,1,0,0,3
0,0,17.1,33.0,0,1,17.4,1,1,1,0,1
1,1,29.7,54.7,1,1,19.3,0,0,0,1,2
1,1,25.8,11.5,1,1,22.7,1,0,0,1,1
0,1,33.2,66.7,1,1,19.7,0,1,0,0,2
0,0,34.5,35.6,1,1,23.4,1,1,1,1,3
1,1,11.1,20.2,0,0,17.7,0,1,0,1,0
0,0,21.1,18.9,1,1,21.7,0,1,1,1,1
1,1,23.7,20.6,1,0,23.8,1,1,0,0,2
1,1,13.7,27.7,0,1,20.4,1,1,1,1,1
1,1,18.4,52.2,1,0,21.5,0,0,1,0,2
1,0,34.7,68.5,0,0,19.1,0,1,1,1,2
0,0,10.4,48.8,1,1,22.0,0,1,1,0,2
0,0,21.3,40.3,1,0,23.3,0,1,1,1,2
0,1,31.1,33.4,0,1,21.6,1,0,1,0,2
0,1,18.1,60.0,1,0,23.5,0,1,0,0,2
0,0,22.0,61.5,0,0,20.7,0,1,0,0,2
1,1,34.5,22.5,1,1,20.6,1,0,1,0,2
0,1,21.9,68.7,1,1,18.4,1,0,0,0,1
1,0,13.3,29.7,0,1,21.7,0,0,1,1,2
1,0,11.3,58.0,0,1,23.1,1,1,1,0,2
1,1,33.6,69.7,0,1,21.2,1,0,1,0,3
1,1,16.6,51.3,0,0,17.9,1,0,0,0,1
0,0,22.6,13.3,0,1,20.4,0,0,0,0,1
1,1,12.3,43.0,0,0,22.0,1,0,1,0,2
0,1,20.6,10.3,0,0,23.5,1,1,0,1,1
0,1,33.3,57.2,0,0,17.3,1,1,1,0,2
1,1,22.6,21.7,0,0,17.0,1,1,0,1,0
0,1,34.3,50.7,0,0,19.3,0,1,0,0,2
0,0,16.5,65.7,1,1,17.0,1,0,0,1,1
0,0,22.6,14.7,1,0,23.8,1,1,0,0,2
1,0,31.5,29.5,0,1,19.4,1,0,1,1,2
0,1,21.2,47.3,1,1,20.3,1,1,1,1,2
0,0,17.0,31.4,0,0,17.8,0,0,0,1,1
0,0,31.4,14.2,1,0,19.6,1,1,1,1,1
1,1,19.7,4.0,0,1,23.9,1,0,0,1,2
0,0,23.3,30.5,0,1,19.9,1,0,1,1,1
0,0,34.4,47.4,1,0,16.1,1,0,1,1,2
0,0,14.7,42.2,0,1,17.9,1,1,1,0,1
1,0,17.5,12.9,1,0,23.8,0,0,1,1,2
1,0,10.8,33.5,0,1,23.9,1,1,1,1,2
1,1,19.8,27.9,0,0,17.7,1,0,0,0,0
0,0,15.0,21.2,0,1,20.9,0,1,0,1,1
0,0,27.0,53.0,1,0,16.6,0,0,1,1,1
1,1,14.5,23.7,0,0,20.6,0,0,1,0,1
1,0,26.9,39.8,1,0,17.0,0,0,1,0,1
1,1,16.6,66.6,1,0,22.5,1,1,1,0,2
0,1,18.9,39.7,1,0,23.5,0,0,0,1,2
0,1,18.7,45.2,1,0,17.4,1,0,0,1,1
1,0,27.9,7.1,1,0,19.7,0,1,1,0,1
1,0,21.7,14.5,1,1,16.8,0,1,0,1,0
0,1,19.0,9.1,0,1,18.7,1,1,0,0,0
1,0,31.3,55.5,0,1,16.5,0,1,1,1,2
1,1,24.3,60.5,1,0,18.1,1,1,0,0,1
0,0,15.3,15.1,0,0,23.9,1,1,1,1,2
1,0,32.5,17.3,1,0,16.4,0,1,1,0,1
0,1,18.6,24.6,0,0,22.9,0,0,0,1,2
0,1,11.0,43.4,0,0,16.6,1,0,1,1,1
1,1,22.4,45.5,0,1,20.2,1,0,1,1,2
1,1,13.1,50.1,0,0,19.6,0,1,1,0,2
0,0,16.0,65.4,1,0,23.5,1,0,1,0,2
1,1,28.7,22.7,1,1,17.6,0,1,0,0,1
0,1,13.3,48.1,0,1,17.4,0,0,1,0,1
1,0,30.2,41.2,0,0,22.0,1,0,1,0,2
0,0,33.4,23.4,1,0,21.8,0,0,0,1,2
1,1,25.2,65.5,0,1,21.6,0,0,0,0,2
1,0,27.8,8.7,1,0,16.2,1,1,0,0,0
1,1,27.8,51.8,1,1,18.1,1,0,0,0,1
1,0,34.8,53.0,0,0,22.7,0,0,0,0,3
0,0,18.5,66.1,0,0,20.8,1,0,1,1,2
1,0,14.1,38.3,0,0,20.8,1,0,1,0,2
0,0,23.0,24.5,0,0,18.4,0,1,1,0,0
1,1,23.3,59.9,0,0,18.1,0,1,1,0,1
1,1,14.4,56.0,1,0,23.6,1,0,0,1,2
