fornecedor_auditado,laudo_residuos_agrotoxicos,temperatura_recebimento_c,tempo_desde_coleta_h,integridade_containers,sujeira_visivel_externa,umidade_lote_pct,documentacao_lote_ok,transporte_segregado_de_quimicos,lacre_viagem_integro,lote_identificado,probabilidade
0,0,26.5,11.6,1,0,19.9,0,0,0,1,0
1,0,19.1,57.9,1,0,18.7,1,1,0,1,0
1,1,15.7,71.2,0,1,18.6,0,1,1,0,3
1,0,12.1,27.2,1,1,16.2,1,1,1,0,2
0,0,12.5,62.6,1,1,21.4,1,0,1,0,2
1,0,34.0,55.4,0,1,20.9,0,1,0,0,3
1,1,29.7,65.8,0,0,21.4,0,0,1,0,2
0,1,16.1,31.7,0,1,23.5,0,0,1,0,3
0,1,23.2,9.1,1,1,19.8,0,0,0,1,2
0,0,27.9,10.3,1,1,23.1,0,1,1,0,2
1,1,18.8,55.4,1,0,19.6,1,0,0,1,0
1,0,21.0,62.4,0,0,19.8,0,1,0,0,2
0,1,28.0,34.0,0,0,21.1,1,1,1,1,2
1,0,15.7,6.2,1,0,17.7,0,0,1,0,0
1,0,23.2,6.7,0,1,17.7,0,1,1,1,3
1,1,15.3,43.9,1,1,20.1,1,1,0,0,2
1,1,10.1,66.3,0,0,16.5,1,0,0,1,2
1,0,27.3,30.0,1,1,17.9,0,1,1,1,2
0,0,27.7,47.5,0,1,22.3,1,0,1,1,3
1,0,34.9,39.9,0,1,19.7,1,1,1,1,3
0,1,14.5,64.3,0,1,16.2,0,0,1,1,3
1,0,28.5,60.3,0,1,16.5,1,0,1,1,3
0,0,33.7,16.0,1,0,23.4,0,0,1,0,0
0,0,26.1,49.4,1,1,23.7,0,0,0,0,2
1,0,34.1,61.3,1,0,21.1,1,0,0,1,0
1,1,34.9,67.1,0,1,17.5,1,1,1,0,3
1,0,30.0,43.3,1,1,18.9,1,1,1,1,2
1,1,35.0,14.3,1,0,18.4,0,0,1,1,0
1,1,25.6,41.1,0,1,22.3,0,1,1,0,3
1,0,22.4,48.6,0,1,20.3,1,0,0,1,3
1,1,32.9,21.1,0,0,22.2,0,0,1,1,2
0,1,30.8,70.1,0,0,18.9,1,1,1,0,2
1,1,12.8,18.1,1,0,23.0,1,0,1,1,0
0,0,17.6,65.8,0,0,19.4,1,1,0,1,2
1,0,16.5,31.8,0,0,19.3,1,0,0,0,2
0,1,31.4,2.0,0,1,19.9,0,0,0,1,3
0,0,15.8,40.0,0,1,20.7,1,1,0,1,3
0,0,17.6,46.0,1,0,23.2,0,0,0,1,0
0,1,23.0,62.9,0,0,19.7,0,0,0,0,2
1,0,11.9,39.8,1,0,23.4,0,1,0,1,0
1,1,34.0,8.6,1,0,19.1,1,1,1,1,0
1,1,22.3,66.9,1,1,18.6,1,1,1,0,2
0,0,14.8,41.6,0,0,18.4,1,1,0,1,2
0,1,16.8,21.0,1,1,16.2,0,0,0,1,2
0,1,30.0,64.9,0,1,22.8,1,1,1,0,3
1,1,25.9,10.5,0,0,16.6,1,1,0,1,2
1,0,21.6,8.8,0,0,18.7,1,1,0,0,2
0,1,18.3,39.5,0,1,18.0,0,0,0,1,3
0,1,32.5,45.7,0,1,22.0,0,1,1,0,3
1,1,29.3,37.8,1,1,23.5,0,1,0,1,2
1,0,28.0,67.0,1,0,22.5,1,1,1,0,0
0,1,21.2,20.4,0,0,18.6,0,1,1,1,2
0,0,34.5,71.3,0,1,19.6,0,0,0,0,3
1,0,27.8,3.4,0,1,18.0,0,1,1,1,3
1,1,20.6,10.3,0,0,23.4,0,1,1,1,2
1,0,34.0,15.0,0,1,16.9,1,1,0,0,3
1,0,32.4,7.6,1,0,23.6,1,1,1,0,0
1,1,28.5,32.7,1,1,22.5,0,0,0,1,2
0,0,29.2,62.6,1,1,21.7,0,0,0,0,2
1,1,20.6,59.5,0,1,22.2,0,0,0,1,3
0,0,22.7,54.1,1,1,18.7,0,1,1,1,2
0,1,14.8,2.5,0,1,18.4,1,1,1,1,3
0,1,24.9,62.6,1,1,19.1,0,1,0,0,2
1,0,19.2,29.8,1,1,17.5,0,0,0,0,2
0,1,18.7,53.2,0,0,22.0,1,0,1,0,2
0,0,33.7,52.9,1,0,19.8,1,1,1,1,0
1,1,14.1,14.4,0,0,23.1,0,0,0,1,2
0,0,30.7,38.1,0,1,23.0,1,0,1,1,3
1,1,17.0,66.8,1,1,17.2,1,0,1,0,2
1,1,10.7,20.4,1,1,17.8,1,0,0,0,2
1,0,11.0,52.1,1,1,19.3,0,1,0,1,2
1,0,20.7,69.1,0,0,17.0,0,1,0,0,2
1,1,21.4,27.2,0,1,21.5,0,1,1,0,3
1,1,18.0,29.1,0,1,21.9,0,0,0,1,3
1,1,26.7,33.7,1,0,21.8,0,1,1,0,0
0,0,22.1,58.6,0,1,19.8,1,1,0,0,3
0,1,11.9,32.7,1,0,22.7,0,0,1,1,0
1,0,18.7,36.0,0,0,20.8,1,0,0,0,2
0,1,12.5,17.6,0,1,23.9,1,1,1,1,3
0,1,11.6,71.2,0,0,22.5,0,0,1,1,2
0,1,15.2,64.5,0,1,21.8,0,0,1,0,3
1,0,27.5,44.0,1,1,17.0,0,0,0,1,2
1,0,27.4,69.2,0,1,22.7,0,1,1,1,3
1,1,31.5,50.1,0,0,18.4,0,0,0,0,2
1,0,28.9,69.1,1,1,19.4,0,0,0,0,2
1,0,23.4,13.3,1,1,19.7,1,1,1,0,2
1,0,17.8,17.8,1,0,18.7,0,0,1,1,0
1,1,10.1,64.0,0,0,16.9,0,0,1,0,2
1,0,26.2,31.4,1,0,17.6,0,0,1,0,0
1,1,17.2,28.0,0,1,22.4,1,0,0,1,3
0,0,16.3,54.8,1,0,21.2,1,1,1,1,0
0,1,34.4,46.1,1,1,23.5,0,1,1,0,2
0,0,14.4,26.1,1,1,22.6,1,1,1,1,2
1,0,10.8,29.9,1,0,19.2,1,0,0,0,0
1,1,33.7,30.6,1,0,22.3,0,0,1,0,0
1,0,17.7,10.8,0,1,20.6,0,0,1,1,3
1,0,19.8,18.1,1,1,18.3,0,0,1,0,2
0,1,12.0,39.6,0,0,23.8,0,1,1,1,2
0,1,20.1,56.7,1,1,23.4,1,0,0,1,2
0,1,34.3,31.3,1,0,16.9,0,1,0,0,0
1,0,27.4,28.8,0,0,22.7,0,1,1,0,2
0,1,21.8,47.5,0,1,16.6,0,0,0,1,3
0,0,17.7,13.0,1,1,23.4,0,0,1,1,2
1,1,19.2,28.7,1,0,21.0,1,1,0,1,0
0,1,25.3,16.6,0,0,17.3,0,1,0,0,2
1,1,16.4,47.6,1,1,22.5,0,1,1,0,2
1,1,13.8,9.9,1,0,20.1,1,1,0,0,0
1,1,27.4,33.3,0,1,16.5,0,0,0,1,3
0,0,31.7,43.7,0,0,22.4,0,0,1,1,2
0,1,32.5,60.4,1,0,22.3,1,0,1,0,0
0,1,31.0,52.7,0,1,19.9,0,1,0,0,3
0,1,23.3,68.0,0,0,21.8,0,1,0,0,2
1,0,29.7,49.6,1,0,16.3,0,0,0,1,0
1,1,33.2,26.4,1,1,18.5,0,0,1,0,2
0,0,10.6,18.2,1,1,21.4,0,0,1,1,2
0,1,20.3,6.0,1,0,17.8,0,1,0,0,0
0,1,15.1,21.4,0,1,19.6,1,0,0,0,3
0,1,34.9,11.6,1,1,23.5,0,0,1,1,2
1,1,33.2,27.8,1,0,22.6,0,1,0,0,0
0,0,30.1,51.2,1,0,20.5,1,0,0,1,0
0,0,17.4,50.4,1,1,20.6,0,1,1,0,2
0,0,33.8,24.3,1,1,23.1,0,1,0,1,2
1,1,10.7,37.6,0,1,22.9,0,0,1,0,3
0,1,14.7,17.2,0,0,16.7,1,1,0,1,2
0,1,25.4,37.2,1,1,19.7,1,1,0,1,2
1,1,29.8,37.7,0,0,17.5,0,0,1,0,2
1,1,32.1,23.1,1,1,16.7,0,0,1,0,2
0,0,17.5,20.2,0,1,18.3,0,0,0,1,3
1,1,19.8,70.6,1,1,20.9,0,1,0,1,2
0,1,21.4,39.6,0,0,22.4,1,1,0,1,2
0,0,10.7,41.3,1,1,23.3,1,0,0,0,2
1,1,31.6,2.5,1,1,19.4,1,1,0,0,2
0,1,18.4,14.7,0,1,19.4,0,0,1,0,3
1,1,15.0,27.0,0,0,17.2,1,0,0,1,2
0,1,20.2,69.6,1,1,17.6,1,1,0,1,2
1,1,27.8,14.3,1,0,16.8,0,0,1,1,0
0,0,31.8,23.2,1,1,23.8,1,1,1,0,2
1,0,15.4,71.3,0,0,17.0,0,1,0,0,2
1,1,14.3,35.7,0,1,22.1,1,1,0,0,3
1,0,33.6,24.3,0,1,18.5,1,0,1,0,3
0,1,23.8,46.4,1,0,20.3,1,0,0,0,0
1,0,19.1,36.7,0,1,23.0,1,0,1,0,3
0,1,15.0,69.0,0,0,23.5,1,1,1,1,2
1,1,34.9,7.8,1,0,17.9,0,0,1,1,0
1,1,28.0,57.3,1,0,23.3,1,0,1,1,0
0,0,15.4,21.5,0,1,18.0,0,0,0,1,3
0,1,12.3,58.5,0,0,22.4,1,1,1,1,2
1,1,15.0,61.3,0,1,16.1,1,1,1,1,3
1,0,16.2,61.4,1,0,20.3,1,1,0,1,0
0,1,12.8,62.7,0,0,21.8,0,0,1,1,2
0,0,15.7,52.3,1,1,22.7,0,1,0,1,2
0,1,12.9,12.0,1,0,22.7,1,1,0,0,0
1,0,19.4,5.6,0,1,18.4,1,0,1,0,3
0,1,22.2,25.9,0,0,22.8,1,0,0,1,2
1,1,21.4,36.7,1,1,18.6,1,1,0,0,2
0,1,30.7,23.2,1,0,17.9,0,0,0,1,0
1,1,16.3,54.0,1,0,16.0,1,0,1,0,0
0,1,32.2,52.6,0,1,17.9,0,1,0,1,3
0,1,32.7,70.0,1,1,16.9,1,0,1,1,2
1,0,34.0,30.0,0,1,21.4,1,1,0,0,3
1,1,14.5,57.0,0,1,17.2,1,1,0,0,3
0,0,16.1,53.9,1,0,20.7,1,0,0,0,0
0,1,25.6,71.2,1,1,17.0,1,1,0,1,2
0,1,13.5,56.2,1,1,21.6,1,0,1,0,2
1,1,12.1,21.9,0,0,18.3,1,0,0,1,2
0,0,11.8,3.1,1,0,18.5,1,1,0,0,0
1,0,25.2,69.8,0,0,21.1,0,0,1,1,2
0,1,30.1,52.1,0,1,23.5,0,1,0,0,3
1,1,16.5,58.9,0,0,23.9,1,0,0,0,2
1,0,33.3,57.5,1,1,18.9,0,1,1,0,2
0,0,29.8,53.5,0,0,23.6,0,1,0,1,2
0,1,11.9,54.6,1,0,20.9,1,1,0,1,0
1,1,20.2,67.1,1,1,23.3,0,0,1,1,2
0,0,11.7,66.0,1,1,16.2,0,0,0,1,2
0,0,32.9,28.5,1,1,16.3,0,1,0,1,2
0,1,28.6,4.2,0,0,16.6,1,1,0,0,2
0,0,27.2,4.7,0,1,22.4,1,1,1,1,3
0,0,27.1,33.3,0,1,17.1,0,0,0,0,3
0,0,17.1,60.4,1,1,17.4,1,0,1,0,2
0,1,33.3,61.3,0,0,20.7,0,0,1,1,2
0,0,33.1,30.3,0,1,23.7,1,1,0,0,3
0,0,28.5,23.1,1,1,20.5,0,1,0,1,2
0,0,21.7,37.5,0,1,21.9,0,0,0,1,3
1,1,11.2,60.3,1,1,17.5,1,0,1,1,2
0,1,10.7,46.6,0,0,23.3,1,1,1,1,2
1,0,13.5,11.8,0,1,16.4,1,0,1,1,3
1,1,24.9,27.4,0,1,18.3,1,0,1,1,3
1,1,30.0,40.9,0,1,19.6,1,0,0,0,3
1,1,33.7,39.7,0,0,17.8,0,1,0,1,2
0,1,14.4,60.1,0,1,21.3,0,1,1,0,3
1,0,16.9,67.3,0,0,21.4,1,0,0,0,2
0,1,11.4,9.0,0,0,17.7,1,1,1,1,2
0,1,34.7,17.7,0,0,16.1,1,1,1,1,2
1,1,29.5,29.5,1,1,16.6,1,1,1,1,2
0,1,22.0,22.7,1,0,16.0,1,0,0,1,0
0,1,24.4,30.6,0,0,23.2,0,0,0,1,2
1,1,24.1,4.9,1,0,21.0,1,1,1,0,0
1,1,16.4,6.6,0,1,17.1,1,0,1,1,3
1,0,14.6,60.7,0,1,16.7,0,1,1,1,3
1,0,17.4,9.2,0,1,22.5,1,1,0,0,3
1,0,16.2,59.7,0,1,22.5,0,1,1,1,3
0,1,23.9,23.5,0,0,23.4,0,1,0,0,2
0,0,17.7,23.6,1,1,17.3,0,0,1,0,2
0,0,28.2,9.1,1,0,20.2,0,0,1,0,0
0,0,24.2,2.9,0,0,17.0,0,0,1,0,2
1,1,23.3,26.9,0,0,22.4,1,0,0,1,2
1,1,33.8,60.5,1,1,19.3,1,1,1,0,2
1,0,18.1,66.4,1,0,21.6,0,0,0,1,0
1,1,25.9,6.3,0,1,16.2,0,0,1,1,3
1,0,10.0,4.2,1,1,22.2,1,0,0,0,2
0,0,28.4,13.1,0,1,17.8,0,0,0,0,3
0,1,22.6,55.6,1,0,22.7,1,1,1,0,0
0,0,15.2,16.3,1,1,17.5,0,0,0,0,2
1,0,10.0,18.2,0,1,22.3,0,1,0,1,3
1,1,27.7,64.2,1,0,17.1,0,0,0,0,0
0,0,26.6,63.2,1,0,21.3,0,1,0,0,0
0,1,26.6,48.9,1,0,22.2,1,1,0,1,0
0,0,20.9,13.5,1,0,19.1,1,0,1,1,0
0,1,26.0,28.7,1,1,18.0,1,1,0,1,2
1,1,24.3,18.5,0,0,18.8,0,0,0,0,2
1,1,16.0,49.0,1,1,18.4,0,1,1,0,2
1,0,23.0,56.6,1,0,21.1,0,1,0,1,0
0,1,22.9,11.9,1,1,16.4,1,0,0,1,2
0,0,30.6,64.9,0,1,16.3,0,0,1,1,3
1,1,20.8,34.4,1,0,18.3,1,1,1,0,0
0,1,20.9,57.7,0,0,18.2,1,1,1,0,2
0,1,34.6,5.6,1,0,17.4,0,1,0,0,0
0,1,32.4,27.2,0,1,21.7,0,1,1,1,3
0,1,16.1,3.0,0,1,16.2,0,0,1,1,3
0,0,32.8,52.3,1,1,23.4,0,0,0,1,2
0,1,13.4,7.6,0,0,22.1,1,1,1,0,2
0,1,31.3,25.7,0,0,19.2,1,0,0,0,2
1,0,14.6,56.7,0,1,22.9,1,1,0,0,3
1,0,20.6,54.4,0,0,20.9,0,0,1,0,2
1,1,34.6,46.8,0,0,20.6,1,1,1,0,2
0,1,12.4,50.6,0,0,18.5,1,1,0,1,2
1,1,31.0,47.6,1,1,21.3,1,0,0,1,2
1,0,22.4,46.9,0,0,17.1,0,0,1,1,2
0,0,12.8,26.5,0,1,20.2,0,1,0,1,3
0,0,33.8,4.0,0,1,16.9,1,0,0,1,3
1,0,23.7,32.9,1,0,19.6,0,0,1,0,0
0,0,32.0,5.2,1,0,20.9,0,0,1,0,0
0,0,31.7,34.8,0,0,17.2,0,1,1,0,2
0,1,10.4,34.5,0,0,17.8,0,1,0,1,2
0,0,16.6,14.5,0,1,22.5,1,1,0,1,3
0,0,18.4,56.9,1,1,18.0,0,1,1,1,2
0,0,23.4,51.3,0,0,16.8,1,1,1,0,2
1,1,11.8,41.2,1,0,18.6,1,1,0,0,0
0,1,19.7,66.8,1,1,23.5,0,1,1,0,2
1,0,30.4,22.1,1,1,21.6,1,1,1,0,2
0,1,14.3,20.3,1,0,20.6,0,1,0,0,0
1,1,27.5,14.8,1,1,22.7,0,0,0,0,2
1,0,21.5,40.1,0,0,21.3,1,0,0,0,2
0,1,11.8,16.4,0,1,22.5,0,0,1,1,3
0,1,14.4,62.8,0,1,21.3,0,0,0,1,3
1,0,13.5,23.3,1,1,22.9,0,0,0,0,2
0,1,25.5,36.4,0,1,21.0,1,1,1,0,3
1,0,12.2,39.1,0,0,18.1,0,1,0,1,2
0,0,30.6,23.5,1,0,16.3,0,0,1,0,0
0,0,30.2,53.7,0,0,16.8,0,1,0,0,2
0,0,12.0,50.4,0,0,20.1,1,1,1,1,2
1,1,32.2,55.3,0,1,23.8,1,0,0,1,3
