feature,importance_mean,importance_std
tampa_correta,0.445152944539737,0.022552290908416418
estado_embalagem,0.4427502634896361,0.026778904178258515
vedacao_adequada,0.4332830446096021,0.029258261086396824
aspecto_visual,0.3521386738612843,0.01776435350109693
treinamento_equipe,0.001415094339622658,0.0011554196899920784
tipo_embalagem,0.0,0.0
local_envase,0.0,0.0
higienizacao_previa,0.0,0.0
manipulador_higiene,0.0,0.0
umidade_mel,0.0,0.0
temperatura_envase,0.0,0.0
uso_epi,0.0,0.0
cristalizacao,0.0,0.0
rotulo_presente,0.0,0.0
data_validade_legivel,0.0,0.0
informacoes_completas,0.0,0.0
lote_identificado,0.0,0.0
registro_lote,0.0,0.0
historico_reclamacoes,0.0,0.0
tempo_exposicao_ar,0.0,0.0
