feature,importance_mean,importance_std
estado_embalagem,0.46906132674339435,0.01834789376181761
vedacao_adequada,0.42044139568478,0.01816252384929181
tampa_correta,0.41412352707533434,0.022644574721332994
aspecto_visual,0.3970174014346239,0.023263257076929167
tempo_exposicao_ar,0.00025510204081632406,0.0007653061224489721
tipo_embalagem,0.0,0.0
local_envase,0.0,0.0
higienizacao_previa,0.0,0.0
manipulador_higiene,0.0,0.0
umidade_mel,0.0,0.0
temperatura_envase,0.0,0.0
uso_epi,0.0,0.0
cristalizacao,0.0,0.0
rotulo_presente,0.0,0.0
data_validade_legivel,0.0,0.0
informacoes_completas,0.0,0.0
lote_identificado,0.0,0.0
registro_lote,0.0,0.0
treinamento_equipe,0.0,0.0
historico_reclamacoes,0.0,0.0
